Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
4,Savanna Formation,#7dc975,584872043,368288534,216583509,63.0%
15,Pasture,#edde8e,195054907,114220735,80834172,58.6%
21,Mosaic of Uses,#ffefc3,132831367,18008430,114822937,13.6%
3,Forest Formation,#1f8d49,119675934,76680187,42995747,64.1%
12,Grassland,#d6bc74,37483280,22385926,15097354,59.7%
0,No data,#ffffff,28977916,28968181,9735,100.0%
33,River Lake and Ocean,#259fe4,11416369,7184485,4231884,62.9%
29,Rocky Outcrop,#ffaa5f,8808510,8724468,84042,99.0%
11,Wetland,#519799,6820424,4753361,2067063,69.7%
25,Other non Vegetated Areas,#db4d4f,4449210,1391095,3058115,31.3%
9,Forest Plantation,#7a5900,3384277,2167340,1216937,64.0%
41,Other Temporary Crops,#f54ca9,2883569,64851,2818718,2.2%
24,Urban Area,#d4271e,1443584,1428271,15313,98.9%
5,Mangrove,#04381d,835740,714732,121008,85.5%
48,Other Perennial Crops,#e6ccff,711709,51403,660306,7.2%
46,Coffee,#d68fe2,633607,83376,550231,13.2%
23,Beach and Sand,#ffa07a,465140,316127,149013,68.0%
49,Wooded Sandbank Vegetation,#02d659,227356,144079,83277,63.4%
50,Herbaceous Sandbank Vegetation,#ad5100,174963,147213,27750,84.1%
20,Sugar Cane,#db7093,88005,62275,25730,70.8%
32,Hypersaline Tidal Flat,#fc8114,82656,32695,49961,39.6%
30,Mining,#9c0027,28962,22059,6903,76.2%
39,Soybean,#f5b3c8,15219,5592,9627,36.7%
31,Aquaculture,#091077,14325,9523,4802,66.5%
