From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,4270172,1.38%
3,Forest Formation,5,Mangrove,19538,0.01%
3,Forest Formation,9,Forest Plantation,1288334,0.42%
3,Forest Formation,11,Wetland,159051,0.05%
3,Forest Formation,12,Grassland,36614,0.01%
3,Forest Formation,15,Pasture,3384560,1.10%
3,Forest Formation,20,Sugar Cane,369,0.00%
3,Forest Formation,21,Mosaic of Uses,7014028,2.27%
3,Forest Formation,23,Beach and Sand,84,0.00%
3,Forest Formation,24,Urban Area,5178,0.00%
3,Forest Formation,25,Other non Vegetated Areas,24678,0.01%
3,Forest Formation,29,Rocky Outcrop,5423,0.00%
3,Forest Formation,30,Mining,1763,0.00%
3,Forest Formation,31,Aquaculture,146,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,1193,0.00%
3,Forest Formation,33,River Lake and Ocean,270069,0.09%
3,Forest Formation,39,Soybean,2117,0.00%
3,Forest Formation,41,Other Temporary Crops,35527,0.01%
3,Forest Formation,46,Coffee,44212,0.01%
3,Forest Formation,48,Other Perennial Crops,32493,0.01%
3,Forest Formation,49,Wooded Sandbank Vegetation,110,0.00%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,49,0.00%
3,Forest Formation,62,Cotton,8,0.00%
4,Savanna Formation,3,Forest Formation,3832987,1.24%
4,Savanna Formation,5,Mangrove,24,0.00%
4,Savanna Formation,9,Forest Plantation,1236442,0.40%
4,Savanna Formation,11,Wetland,377394,0.12%
4,Savanna Formation,12,Grassland,2470221,0.80%
4,Savanna Formation,15,Pasture,27917846,9.05%
4,Savanna Formation,20,Sugar Cane,25558,0.01%
4,Savanna Formation,21,Mosaic of Uses,33432669,10.84%
4,Savanna Formation,23,Beach and Sand,1714,0.00%
4,Savanna Formation,24,Urban Area,43471,0.01%
4,Savanna Formation,25,Other non Vegetated Areas,915163,0.30%
4,Savanna Formation,29,Rocky Outcrop,15141,0.00%
4,Savanna Formation,30,Mining,7228,0.00%
4,Savanna Formation,31,Aquaculture,2,0.00%
4,Savanna Formation,32,Hypersaline Tidal Flat,59,0.00%
4,Savanna Formation,33,River Lake and Ocean,845084,0.27%
4,Savanna Formation,39,Soybean,618763,0.20%
4,Savanna Formation,41,Other Temporary Crops,3006922,0.97%
4,Savanna Formation,46,Coffee,89861,0.03%
4,Savanna Formation,48,Other Perennial Crops,232275,0.08%
4,Savanna Formation,62,Cotton,4935,0.00%
5,Mangrove,3,Forest Formation,21359,0.01%
5,Mangrove,4,Savanna Formation,29,0.00%
5,Mangrove,9,Forest Plantation,768,0.00%
5,Mangrove,11,Wetland,5282,0.00%
5,Mangrove,15,Pasture,97,0.00%
5,Mangrove,21,Mosaic of Uses,4330,0.00%
5,Mangrove,23,Beach and Sand,23,0.00%
5,Mangrove,24,Urban Area,132,0.00%
5,Mangrove,25,Other non Vegetated Areas,27,0.00%
5,Mangrove,31,Aquaculture,28,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,5368,0.00%
5,Mangrove,33,River Lake and Ocean,58981,0.02%
5,Mangrove,41,Other Temporary Crops,2,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,5427,0.00%
5,Mangrove,50,Herbaceous Sandbank Vegetation,57,0.00%
9,Forest Plantation,3,Forest Formation,348477,0.11%
9,Forest Plantation,4,Savanna Formation,562097,0.18%
9,Forest Plantation,5,Mangrove,878,0.00%
9,Forest Plantation,11,Wetland,37799,0.01%
9,Forest Plantation,12,Grassland,26023,0.01%
9,Forest Plantation,15,Pasture,302494,0.10%
9,Forest Plantation,20,Sugar Cane,163,0.00%
9,Forest Plantation,21,Mosaic of Uses,155958,0.05%
9,Forest Plantation,23,Beach and Sand,11,0.00%
9,Forest Plantation,24,Urban Area,904,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,9293,0.00%
9,Forest Plantation,29,Rocky Outcrop,98,0.00%
9,Forest Plantation,30,Mining,16,0.00%
9,Forest Plantation,32,Hypersaline Tidal Flat,1,0.00%
9,Forest Plantation,33,River Lake and Ocean,475,0.00%
9,Forest Plantation,39,Soybean,1719,0.00%
9,Forest Plantation,41,Other Temporary Crops,12422,0.00%
9,Forest Plantation,46,Coffee,554,0.00%
9,Forest Plantation,48,Other Perennial Crops,119,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,3537,0.00%
9,Forest Plantation,50,Herbaceous Sandbank Vegetation,18,0.00%
9,Forest Plantation,62,Cotton,3,0.00%
11,Wetland,3,Forest Formation,153144,0.05%
11,Wetland,4,Savanna Formation,386935,0.13%
11,Wetland,5,Mangrove,4743,0.00%
11,Wetland,9,Forest Plantation,41440,0.01%
11,Wetland,12,Grassland,71034,0.02%
11,Wetland,15,Pasture,135376,0.04%
11,Wetland,20,Sugar Cane,5,0.00%
11,Wetland,21,Mosaic of Uses,152879,0.05%
11,Wetland,23,Beach and Sand,4044,0.00%
11,Wetland,24,Urban Area,6422,0.00%
11,Wetland,25,Other non Vegetated Areas,16523,0.01%
11,Wetland,29,Rocky Outcrop,2878,0.00%
11,Wetland,30,Mining,146,0.00%
11,Wetland,31,Aquaculture,706,0.00%
11,Wetland,32,Hypersaline Tidal Flat,6003,0.00%
11,Wetland,33,River Lake and Ocean,167226,0.05%
11,Wetland,39,Soybean,2496,0.00%
11,Wetland,41,Other Temporary Crops,8798,0.00%
11,Wetland,46,Coffee,756,0.00%
11,Wetland,48,Other Perennial Crops,299,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,298,0.00%
11,Wetland,50,Herbaceous Sandbank Vegetation,932,0.00%
11,Wetland,62,Cotton,1,0.00%
