From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,3,Forest Formation,327675
15,Pasture,0,No data,721
15,Pasture,21,Mosaic of Uses,8764511
15,Pasture,11,Wetland,71809
15,Pasture,33,River Lake and Ocean,78545
15,Pasture,9,Forest Plantation,412214
15,Pasture,46,Coffee,534487
15,Pasture,29,Rocky Outcrop,8345
15,Pasture,24,Urban Area,71054
15,Pasture,49,Wooded Sandbank Vegetation,3728
15,Pasture,4,Savanna Formation,5278
15,Pasture,48,Other Perennial Crops,11285
15,Pasture,50,Herbaceous Sandbank Vegetation,9884
15,Pasture,41,Other Temporary Crops,156513
15,Pasture,25,Other non Vegetated Areas,19285
15,Pasture,5,Mangrove,23
15,Pasture,23,Beach and Sand,4762
15,Pasture,32,Hypersaline Tidal Flat,6
15,Pasture,20,Sugar Cane,23109
15,Pasture,30,Mining,8
15,Pasture,31,Aquaculture,2
3,Forest Formation,15,Pasture,644306
3,Forest Formation,0,No data,2267
3,Forest Formation,21,Mosaic of Uses,2004383
3,Forest Formation,11,Wetland,1466
3,Forest Formation,33,River Lake and Ocean,31024
3,Forest Formation,9,Forest Plantation,213743
3,Forest Formation,46,Coffee,73230
3,Forest Formation,29,Rocky Outcrop,1574
3,Forest Formation,24,Urban Area,1617
3,Forest Formation,49,Wooded Sandbank Vegetation,262
3,Forest Formation,4,Savanna Formation,139
3,Forest Formation,48,Other Perennial Crops,1151
3,Forest Formation,50,Herbaceous Sandbank Vegetation,2
3,Forest Formation,41,Other Temporary Crops,2373
3,Forest Formation,25,Other non Vegetated Areas,1090
3,Forest Formation,5,Mangrove,2112
3,Forest Formation,23,Beach and Sand,3
3,Forest Formation,32,Hypersaline Tidal Flat,98
3,Forest Formation,30,Mining,1
0,No data,15,Pasture,636
0,No data,3,Forest Formation,2370
0,No data,21,Mosaic of Uses,2694
0,No data,11,Wetland,2
0,No data,33,River Lake and Ocean,82
0,No data,9,Forest Plantation,9
0,No data,46,Coffee,21
0,No data,29,Rocky Outcrop,148
0,No data,24,Urban Area,5
0,No data,4,Savanna Formation,21
0,No data,41,Other Temporary Crops,2
0,No data,25,Other non Vegetated Areas,4
21,Mosaic of Uses,15,Pasture,7452306
21,Mosaic of Uses,3,Forest Formation,2235858
21,Mosaic of Uses,0,No data,3197
21,Mosaic of Uses,11,Wetland,75020
21,Mosaic of Uses,33,River Lake and Ocean,159194
21,Mosaic of Uses,9,Forest Plantation,268134
21,Mosaic of Uses,46,Coffee,258207
21,Mosaic of Uses,29,Rocky Outcrop,9760
21,Mosaic of Uses,24,Urban Area,48167
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,20822
21,Mosaic of Uses,4,Savanna Formation,14394
21,Mosaic of Uses,48,Other Perennial Crops,6649
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,3913
21,Mosaic of Uses,41,Other Temporary Crops,57126
21,Mosaic of Uses,25,Other non Vegetated Areas,24893
21,Mosaic of Uses,5,Mangrove,571
21,Mosaic of Uses,23,Beach and Sand,7115
21,Mosaic of Uses,32,Hypersaline Tidal Flat,255
21,Mosaic of Uses,20,Sugar Cane,921
21,Mosaic of Uses,30,Mining,17
21,Mosaic of Uses,31,Aquaculture,1
