From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,125,0.00%
3,Forest Formation,5,Mangrove,1901,0.01%
3,Forest Formation,9,Forest Plantation,192369,0.82%
3,Forest Formation,11,Wetland,1319,0.01%
3,Forest Formation,15,Pasture,579876,2.47%
3,Forest Formation,21,Mosaic of Uses,1803945,7.68%
3,Forest Formation,23,Beach and Sand,3,0.00%
3,Forest Formation,24,Urban Area,1456,0.01%
3,Forest Formation,25,Other non Vegetated Areas,981,0.00%
3,Forest Formation,29,Rocky Outcrop,1416,0.01%
3,Forest Formation,30,Mining,1,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,88,0.00%
3,Forest Formation,33,River Lake and Ocean,27921,0.12%
3,Forest Formation,41,Other Temporary Crops,2135,0.01%
3,Forest Formation,46,Coffee,65907,0.28%
3,Forest Formation,48,Other Perennial Crops,1036,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,236,0.00%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,2,0.00%
4,Savanna Formation,3,Forest Formation,140,0.00%
4,Savanna Formation,9,Forest Plantation,3,0.00%
4,Savanna Formation,15,Pasture,14566,0.06%
4,Savanna Formation,21,Mosaic of Uses,9475,0.04%
4,Savanna Formation,29,Rocky Outcrop,1,0.00%
4,Savanna Formation,33,River Lake and Ocean,254,0.00%
4,Savanna Formation,41,Other Temporary Crops,16,0.00%
4,Savanna Formation,46,Coffee,37,0.00%
4,Savanna Formation,48,Other Perennial Crops,2,0.00%
5,Mangrove,3,Forest Formation,1970,0.01%
5,Mangrove,9,Forest Plantation,294,0.00%
5,Mangrove,11,Wetland,1061,0.00%
5,Mangrove,15,Pasture,20,0.00%
5,Mangrove,21,Mosaic of Uses,434,0.00%
5,Mangrove,23,Beach and Sand,1,0.00%
5,Mangrove,24,Urban Area,127,0.00%
5,Mangrove,25,Other non Vegetated Areas,16,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,946,0.00%
5,Mangrove,33,River Lake and Ocean,3298,0.01%
5,Mangrove,49,Wooded Sandbank Vegetation,1116,0.00%
9,Forest Plantation,3,Forest Formation,131042,0.56%
9,Forest Plantation,4,Savanna Formation,3,0.00%
9,Forest Plantation,5,Mangrove,300,0.00%
9,Forest Plantation,11,Wetland,9915,0.04%
9,Forest Plantation,15,Pasture,63144,0.27%
9,Forest Plantation,20,Sugar Cane,27,0.00%
9,Forest Plantation,21,Mosaic of Uses,109492,0.47%
9,Forest Plantation,23,Beach and Sand,19,0.00%
9,Forest Plantation,24,Urban Area,669,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,112,0.00%
9,Forest Plantation,32,Hypersaline Tidal Flat,12,0.00%
9,Forest Plantation,33,River Lake and Ocean,425,0.00%
9,Forest Plantation,41,Other Temporary Crops,461,0.00%
9,Forest Plantation,46,Coffee,490,0.00%
9,Forest Plantation,48,Other Perennial Crops,3,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,5933,0.03%
9,Forest Plantation,50,Herbaceous Sandbank Vegetation,199,0.00%
11,Wetland,3,Forest Formation,1345,0.01%
11,Wetland,5,Mangrove,1025,0.00%
11,Wetland,9,Forest Plantation,7888,0.03%
11,Wetland,15,Pasture,136308,0.58%
11,Wetland,20,Sugar Cane,15,0.00%
11,Wetland,21,Mosaic of Uses,76343,0.32%
11,Wetland,23,Beach and Sand,5339,0.02%
11,Wetland,24,Urban Area,2478,0.01%
11,Wetland,25,Other non Vegetated Areas,1517,0.01%
11,Wetland,31,Aquaculture,4,0.00%
11,Wetland,32,Hypersaline Tidal Flat,1487,0.01%
11,Wetland,33,River Lake and Ocean,44852,0.19%
11,Wetland,41,Other Temporary Crops,21591,0.09%
11,Wetland,46,Coffee,318,0.00%
11,Wetland,48,Other Perennial Crops,5,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,346,0.00%
11,Wetland,50,Herbaceous Sandbank Vegetation,214,0.00%
15,Pasture,3,Forest Formation,294907,1.25%
15,Pasture,4,Savanna Formation,4751,0.02%
15,Pasture,5,Mangrove,21,0.00%
15,Pasture,9,Forest Plantation,370993,1.58%
15,Pasture,11,Wetland,64628,0.27%
15,Pasture,20,Sugar Cane,20798,0.09%
15,Pasture,21,Mosaic of Uses,7888059,33.56%
15,Pasture,23,Beach and Sand,4285,0.02%
15,Pasture,24,Urban Area,63949,0.27%
15,Pasture,25,Other non Vegetated Areas,17357,0.07%
15,Pasture,29,Rocky Outcrop,7510,0.03%
15,Pasture,30,Mining,8,0.00%
15,Pasture,31,Aquaculture,2,0.00%
15,Pasture,32,Hypersaline Tidal Flat,5,0.00%
15,Pasture,33,River Lake and Ocean,70690,0.30%
15,Pasture,41,Other Temporary Crops,140862,0.60%
15,Pasture,46,Coffee,481039,2.05%
15,Pasture,48,Other Perennial Crops,10156,0.04%
15,Pasture,49,Wooded Sandbank Vegetation,3355,0.01%
15,Pasture,50,Herbaceous Sandbank Vegetation,8896,0.04%
20,Sugar Cane,9,Forest Plantation,63,0.00%
20,Sugar Cane,11,Wetland,2,0.00%
20,Sugar Cane,15,Pasture,1429,0.01%
20,Sugar Cane,21,Mosaic of Uses,246,0.00%
20,Sugar Cane,41,Other Temporary Crops,21,0.00%
21,Mosaic of Uses,3,Forest Formation,2012273,8.56%
21,Mosaic of Uses,4,Savanna Formation,12955,0.06%
21,Mosaic of Uses,5,Mangrove,513,0.00%
21,Mosaic of Uses,9,Forest Plantation,241321,1.03%
21,Mosaic of Uses,11,Wetland,67518,0.29%
21,Mosaic of Uses,15,Pasture,6707075,28.54%
21,Mosaic of Uses,20,Sugar Cane,829,0.00%
21,Mosaic of Uses,23,Beach and Sand,6403,0.03%
21,Mosaic of Uses,24,Urban Area,43350,0.18%
21,Mosaic of Uses,25,Other non Vegetated Areas,22404,0.10%
21,Mosaic of Uses,29,Rocky Outcrop,8784,0.04%
21,Mosaic of Uses,30,Mining,16,0.00%
21,Mosaic of Uses,31,Aquaculture,1,0.00%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,229,0.00%
21,Mosaic of Uses,33,River Lake and Ocean,143275,0.61%
21,Mosaic of Uses,41,Other Temporary Crops,51413,0.22%
21,Mosaic of Uses,46,Coffee,232387,0.99%
21,Mosaic of Uses,48,Other Perennial Crops,5984,0.03%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,18740,0.08%
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,3522,0.01%
23,Beach and Sand,9,Forest Plantation,25,0.00%
23,Beach and Sand,11,Wetland,6480,0.03%
23,Beach and Sand,15,Pasture,4580,0.02%
23,Beach and Sand,21,Mosaic of Uses,7789,0.03%
23,Beach and Sand,24,Urban Area,2102,0.01%
23,Beach and Sand,25,Other non Vegetated Areas,5098,0.02%
23,Beach and Sand,33,River Lake and Ocean,4270,0.02%
23,Beach and Sand,41,Other Temporary Crops,4,0.00%
23,Beach and Sand,49,Wooded Sandbank Vegetation,73,0.00%
23,Beach and Sand,50,Herbaceous Sandbank Vegetation,13237,0.06%
24,Urban Area,3,Forest Formation,75,0.00%
24,Urban Area,5,Mangrove,137,0.00%
24,Urban Area,9,Forest Plantation,4,0.00%
24,Urban Area,11,Wetland,41,0.00%
24,Urban Area,15,Pasture,871,0.00%
24,Urban Area,21,Mosaic of Uses,1818,0.01%
24,Urban Area,23,Beach and Sand,1208,0.01%
24,Urban Area,25,Other non Vegetated Areas,267,0.00%
24,Urban Area,32,Hypersaline Tidal Flat,85,0.00%
24,Urban Area,33,River Lake and Ocean,3944,0.02%
24,Urban Area,41,Other Temporary Crops,9,0.00%
24,Urban Area,46,Coffee,3,0.00%
24,Urban Area,49,Wooded Sandbank Vegetation,47,0.00%
24,Urban Area,50,Herbaceous Sandbank Vegetation,4,0.00%
25,Other non Vegetated Areas,3,Forest Formation,1026,0.00%
25,Other non Vegetated Areas,5,Mangrove,21,0.00%
25,Other non Vegetated Areas,9,Forest Plantation,1009,0.00%
25,Other non Vegetated Areas,11,Wetland,1810,0.01%
25,Other non Vegetated Areas,15,Pasture,12941,0.06%
25,Other non Vegetated Areas,21,Mosaic of Uses,15546,0.07%
25,Other non Vegetated Areas,23,Beach and Sand,4355,0.02%
25,Other non Vegetated Areas,24,Urban Area,1675,0.01%
25,Other non Vegetated Areas,29,Rocky Outcrop,61,0.00%
25,Other non Vegetated Areas,32,Hypersaline Tidal Flat,3,0.00%
25,Other non Vegetated Areas,33,River Lake and Ocean,10845,0.05%
25,Other non Vegetated Areas,41,Other Temporary Crops,113,0.00%
25,Other non Vegetated Areas,46,Coffee,1,0.00%
25,Other non Vegetated Areas,49,Wooded Sandbank Vegetation,114,0.00%
25,Other non Vegetated Areas,50,Herbaceous Sandbank Vegetation,225,0.00%
29,Rocky Outcrop,3,Forest Formation,1368,0.01%
29,Rocky Outcrop,9,Forest Plantation,28,0.00%
29,Rocky Outcrop,15,Pasture,7398,0.03%
29,Rocky Outcrop,21,Mosaic of Uses,11837,0.05%
29,Rocky Outcrop,24,Urban Area,18,0.00%
29,Rocky Outcrop,25,Other non Vegetated Areas,118,0.00%
29,Rocky Outcrop,33,River Lake and Ocean,862,0.00%
