From_Class,From_Label,To_Class,To_Label,Count
4,Savanna Formation,15,Pasture,29406305
4,Savanna Formation,3,Forest Formation,6916032
4,Savanna Formation,21,Mosaic of Uses,10907587
4,Savanna Formation,11,Wetland,1119790
4,Savanna Formation,12,Grassland,1212813
4,Savanna Formation,41,Other Temporary Crops,405603
4,Savanna Formation,25,Other non Vegetated Areas,964405
4,Savanna Formation,33,River Lake and Ocean,419135
4,Savanna Formation,39,Soybean,333039
4,Savanna Formation,6,Floodable Forest,53
4,Savanna Formation,29,Rocky Outcrop,5773
4,Savanna Formation,24,Urban Area,91054
4,Savanna Formation,9,Forest Plantation,123263
4,Savanna Formation,46,Coffee,9555
4,Savanna Formation,48,Other Perennial Crops,12690
4,Savanna Formation,47,Citrus,13247
4,Savanna Formation,20,Sugar Cane,8736
4,Savanna Formation,30,Mining,15982
4,Savanna Formation,40,Rice,870
4,Savanna Formation,62,Cotton,9
15,Pasture,4,Savanna Formation,13482536
15,Pasture,3,Forest Formation,1677129
15,Pasture,21,Mosaic of Uses,32833807
15,Pasture,11,Wetland,706684
15,Pasture,12,Grassland,855737
15,Pasture,41,Other Temporary Crops,6512762
15,Pasture,25,Other non Vegetated Areas,1119859
15,Pasture,33,River Lake and Ocean,363447
15,Pasture,39,Soybean,8894054
15,Pasture,6,Floodable Forest,70635
15,Pasture,29,Rocky Outcrop,2367
15,Pasture,24,Urban Area,249145
15,Pasture,9,Forest Plantation,475529
15,Pasture,46,Coffee,228078
15,Pasture,48,Other Perennial Crops,19162
15,Pasture,47,Citrus,19050
15,Pasture,20,Sugar Cane,723875
15,Pasture,30,Mining,9038
15,Pasture,40,Rice,3496
15,Pasture,62,Cotton,254
3,Forest Formation,4,Savanna Formation,4948562
3,Forest Formation,15,Pasture,6020172
3,Forest Formation,21,Mosaic of Uses,6215868
3,Forest Formation,11,Wetland,613552
3,Forest Formation,12,Grassland,43187
3,Forest Formation,41,Other Temporary Crops,161289
3,Forest Formation,25,Other non Vegetated Areas,109921
3,Forest Formation,33,River Lake and Ocean,561054
3,Forest Formation,39,Soybean,94447
3,Forest Formation,6,Floodable Forest,11373
3,Forest Formation,29,Rocky Outcrop,1254
3,Forest Formation,24,Urban Area,10125
3,Forest Formation,9,Forest Plantation,335528
3,Forest Formation,46,Coffee,33394
3,Forest Formation,48,Other Perennial Crops,7162
3,Forest Formation,47,Citrus,5615
3,Forest Formation,20,Sugar Cane,8397
3,Forest Formation,30,Mining,2571
3,Forest Formation,40,Rice,41
3,Forest Formation,0,No data,1
21,Mosaic of Uses,4,Savanna Formation,7801720
21,Mosaic of Uses,15,Pasture,34769573
21,Mosaic of Uses,3,Forest Formation,4757063
21,Mosaic of Uses,11,Wetland,832079
21,Mosaic of Uses,12,Grassland,631115
21,Mosaic of Uses,41,Other Temporary Crops,5123345
21,Mosaic of Uses,25,Other non Vegetated Areas,521668
21,Mosaic of Uses,33,River Lake and Ocean,410055
21,Mosaic of Uses,39,Soybean,6282477
21,Mosaic of Uses,29,Rocky Outcrop,2084
21,Mosaic of Uses,24,Urban Area,138750
21,Mosaic of Uses,9,Forest Plantation,285663
21,Mosaic of Uses,46,Coffee,175977
21,Mosaic of Uses,48,Other Perennial Crops,17165
21,Mosaic of Uses,47,Citrus,10697
21,Mosaic of Uses,20,Sugar Cane,1705495
21,Mosaic of Uses,30,Mining,3182
21,Mosaic of Uses,40,Rice,15694
21,Mosaic of Uses,62,Cotton,1139
11,Wetland,4,Savanna Formation,1004471
11,Wetland,15,Pasture,1079703
11,Wetland,3,Forest Formation,746954
11,Wetland,21,Mosaic of Uses,966433
11,Wetland,12,Grassland,229767
11,Wetland,41,Other Temporary Crops,25159
11,Wetland,25,Other non Vegetated Areas,56028
11,Wetland,33,River Lake and Ocean,384108
11,Wetland,39,Soybean,32200
11,Wetland,6,Floodable Forest,51839
11,Wetland,29,Rocky Outcrop,388
