Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
4,Savanna Formation,#7dc975,245964763,111606529,134358234,45.4%
15,Pasture,#edde8e,186293110,79655232,106637878,42.8%
3,Forest Formation,#1f8d49,104837917,59551282,45286635,56.8%
21,Mosaic of Uses,#ffefc3,87153983,2015761,85138222,2.3%
11,Wetland,#519799,30075466,21980226,8095240,73.1%
12,Grassland,#d6bc74,21547664,10639970,10907694,49.4%
41,Other Temporary Crops,#f54ca9,14239981,107429,14132552,0.8%
25,Other non Vegetated Areas,#db4d4f,8623980,302899,8321081,3.5%
33,River Lake and Ocean,#259fe4,6451583,3707367,2744216,57.5%
39,Soybean,#f5b3c8,6203582,1289715,4913867,20.8%
6,Floodable Forest,#007785,2297717,1450150,847567,63.1%
29,Rocky Outcrop,#ffaa5f,1489316,1476085,13231,99.1%
24,Urban Area,#d4271e,1384468,1378142,6326,99.5%
9,Forest Plantation,#7a5900,1049210,690071,359139,65.8%
46,Coffee,#d68fe2,196881,46526,150355,23.6%
48,Other Perennial Crops,#e6ccff,117472,2751,114721,2.3%
47,Citrus,#9932cc,44378,1086,43292,2.4%
20,Sugar Cane,#db7093,29597,786,28811,2.7%
30,Mining,#9c0027,17198,16350,848,95.1%
40,Rice,#c71585,12,0,12,0.0%
