From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,20893931,1.63%
3,Forest Formation,6,Floodable Forest,48021,0.00%
3,Forest Formation,9,Forest Plantation,1416675,0.11%
3,Forest Formation,11,Wetland,2590554,0.20%
3,Forest Formation,12,Grassland,182349,0.01%
3,Forest Formation,15,Pasture,25418507,1.98%
3,Forest Formation,20,Sugar Cane,35454,0.00%
3,Forest Formation,21,Mosaic of Uses,26244780,2.05%
3,Forest Formation,24,Urban Area,42752,0.00%
3,Forest Formation,25,Other non Vegetated Areas,464114,0.04%
3,Forest Formation,29,Rocky Outcrop,5296,0.00%
3,Forest Formation,30,Mining,10856,0.00%
3,Forest Formation,33,River Lake and Ocean,2368895,0.18%
3,Forest Formation,39,Soybean,398780,0.03%
3,Forest Formation,40,Rice,177,0.00%
3,Forest Formation,41,Other Temporary Crops,680999,0.05%
3,Forest Formation,46,Coffee,141000,0.01%
3,Forest Formation,47,Citrus,23709,0.00%
3,Forest Formation,48,Other Perennial Crops,30241,0.00%
3,Forest Formation,62,Cotton,2,0.00%
4,Savanna Formation,3,Forest Formation,29201025,2.28%
4,Savanna Formation,6,Floodable Forest,225,0.00%
4,Savanna Formation,9,Forest Plantation,520446,0.04%
4,Savanna Formation,11,Wetland,4728003,0.37%
4,Savanna Formation,12,Grassland,5120766,0.40%
4,Savanna Formation,15,Pasture,124159956,9.67%
4,Savanna Formation,20,Sugar Cane,36889,0.00%
4,Savanna Formation,21,Mosaic of Uses,46054258,3.59%
4,Savanna Formation,24,Urban Area,384453,0.03%
4,Savanna Formation,25,Other non Vegetated Areas,4071934,0.32%
4,Savanna Formation,29,Rocky Outcrop,24376,0.00%
4,Savanna Formation,30,Mining,67480,0.01%
4,Savanna Formation,33,River Lake and Ocean,1769683,0.14%
4,Savanna Formation,39,Soybean,1406166,0.11%
4,Savanna Formation,40,Rice,3674,0.00%
4,Savanna Formation,41,Other Temporary Crops,1712547,0.13%
4,Savanna Formation,46,Coffee,40344,0.00%
4,Savanna Formation,47,Citrus,55932,0.00%
4,Savanna Formation,48,Other Perennial Crops,53580,0.00%
4,Savanna Formation,62,Cotton,41,0.00%
6,Floodable Forest,3,Forest Formation,77482,0.01%
6,Floodable Forest,4,Savanna Formation,121,0.00%
6,Floodable Forest,9,Forest Plantation,323,0.00%
6,Floodable Forest,11,Wetland,129946,0.01%
6,Floodable Forest,12,Grassland,52,0.00%
6,Floodable Forest,15,Pasture,770754,0.06%
6,Floodable Forest,21,Mosaic of Uses,1,0.00%
6,Floodable Forest,24,Urban Area,24,0.00%
6,Floodable Forest,25,Other non Vegetated Areas,10,0.00%
6,Floodable Forest,33,River Lake and Ocean,62862,0.00%
6,Floodable Forest,39,Soybean,7653,0.00%
6,Floodable Forest,41,Other Temporary Crops,81148,0.01%
9,Forest Plantation,3,Forest Formation,735560,0.06%
9,Forest Plantation,4,Savanna Formation,270831,0.02%
9,Forest Plantation,6,Floodable Forest,53,0.00%
9,Forest Plantation,11,Wetland,37736,0.00%
9,Forest Plantation,12,Grassland,41619,0.00%
9,Forest Plantation,15,Pasture,426976,0.03%
9,Forest Plantation,20,Sugar Cane,2754,0.00%
9,Forest Plantation,21,Mosaic of Uses,369319,0.03%
9,Forest Plantation,24,Urban Area,3105,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,10655,0.00%
9,Forest Plantation,30,Mining,50,0.00%
9,Forest Plantation,33,River Lake and Ocean,2079,0.00%
9,Forest Plantation,39,Soybean,72095,0.01%
9,Forest Plantation,41,Other Temporary Crops,118627,0.01%
9,Forest Plantation,46,Coffee,571,0.00%
9,Forest Plantation,47,Citrus,629,0.00%
9,Forest Plantation,48,Other Perennial Crops,172,0.00%
9,Forest Plantation,62,Cotton,30,0.00%
11,Wetland,3,Forest Formation,3153809,0.25%
11,Wetland,4,Savanna Formation,4241100,0.33%
11,Wetland,6,Floodable Forest,218878,0.02%
11,Wetland,9,Forest Plantation,21040,0.00%
11,Wetland,12,Grassland,970131,0.08%
11,Wetland,15,Pasture,4558747,0.36%
11,Wetland,20,Sugar Cane,9176,0.00%
11,Wetland,21,Mosaic of Uses,4080498,0.32%
11,Wetland,24,Urban Area,9605,0.00%
11,Wetland,25,Other non Vegetated Areas,236563,0.02%
11,Wetland,29,Rocky Outcrop,1642,0.00%
11,Wetland,30,Mining,2005,0.00%
11,Wetland,33,River Lake and Ocean,1621790,0.13%
11,Wetland,39,Soybean,135959,0.01%
11,Wetland,40,Rice,403,0.00%
11,Wetland,41,Other Temporary Crops,106228,0.01%
11,Wetland,46,Coffee,2206,0.00%
11,Wetland,47,Citrus,4228,0.00%
11,Wetland,48,Other Perennial Crops,2971,0.00%
11,Wetland,62,Cotton,5,0.00%
12,Grassland,3,Forest Formation,99650,0.01%
12,Grassland,4,Savanna Formation,4313769,0.34%
12,Grassland,6,Floodable Forest,103,0.00%
12,Grassland,9,Forest Plantation,71616,0.01%
12,Grassland,11,Wetland,693966,0.05%
12,Grassland,15,Pasture,6405569,0.50%
12,Grassland,20,Sugar Cane,1776,0.00%
12,Grassland,21,Mosaic of Uses,5577781,0.43%
12,Grassland,24,Urban Area,95095,0.01%
12,Grassland,25,Other non Vegetated Areas,2003943,0.16%
12,Grassland,29,Rocky Outcrop,3561,0.00%
12,Grassland,30,Mining,11187,0.00%
12,Grassland,33,River Lake and Ocean,140572,0.01%
12,Grassland,39,Soybean,782325,0.06%
12,Grassland,40,Rice,84,0.00%
12,Grassland,41,Other Temporary Crops,2000002,0.16%
12,Grassland,46,Coffee,1600,0.00%
12,Grassland,47,Citrus,777,0.00%
12,Grassland,48,Other Perennial Crops,613,0.00%
12,Grassland,62,Cotton,1617,0.00%
15,Pasture,3,Forest Formation,7081212,0.55%
15,Pasture,4,Savanna Formation,56926265,4.44%
15,Pasture,6,Floodable Forest,298239,0.02%
15,Pasture,9,Forest Plantation,2007790,0.16%
15,Pasture,11,Wetland,2983777,0.23%
15,Pasture,12,Grassland,3613112,0.28%
15,Pasture,20,Sugar Cane,3056363,0.24%
15,Pasture,21,Mosaic of Uses,138631631,10.80%
15,Pasture,24,Urban Area,1051946,0.08%
15,Pasture,25,Other non Vegetated Areas,4728295,0.37%
15,Pasture,29,Rocky Outcrop,9998,0.00%
15,Pasture,30,Mining,38163,0.00%
15,Pasture,33,River Lake and Ocean,1534558,0.12%
15,Pasture,39,Soybean,37552675,2.93%
15,Pasture,40,Rice,14765,0.00%
15,Pasture,41,Other Temporary Crops,27498331,2.14%
15,Pasture,46,Coffee,962999,0.08%
15,Pasture,47,Citrus,80434,0.01%
15,Pasture,48,Other Perennial Crops,80908,0.01%
15,Pasture,62,Cotton,1076,0.00%
20,Sugar Cane,3,Forest Formation,15150,0.00%
20,Sugar Cane,4,Savanna Formation,16612,0.00%
20,Sugar Cane,9,Forest Plantation,1514,0.00%
20,Sugar Cane,11,Wetland,9030,0.00%
20,Sugar Cane,12,Grassland,988,0.00%
20,Sugar Cane,15,Pasture,1113330,0.09%
20,Sugar Cane,21,Mosaic of Uses,2363080,0.18%
20,Sugar Cane,24,Urban Area,1482,0.00%
