From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,4,Savanna Formation,61870704
15,Pasture,3,Forest Formation,17025414
15,Pasture,21,Mosaic of Uses,389263927
15,Pasture,0,No data,14094
15,Pasture,12,Grassland,6230515
15,Pasture,41,Other Temporary Crops,41485675
15,Pasture,33,River Lake and Ocean,3329687
15,Pasture,20,Sugar Cane,14021827
15,Pasture,11,Wetland,2715603
15,Pasture,29,Rocky Outcrop,126850
15,Pasture,25,Other non Vegetated Areas,3736901
15,Pasture,9,Forest Plantation,9399484
15,Pasture,24,Urban Area,3810102
15,Pasture,46,Coffee,9457807
15,Pasture,39,Soybean,22888818
15,Pasture,48,Other Perennial Crops,632216
15,Pasture,47,Citrus,569848
15,Pasture,49,Wooded Sandbank Vegetation,15810
15,Pasture,23,Beach and Sand,6961
15,Pasture,50,Herbaceous Sandbank Vegetation,64057
15,Pasture,30,Mining,123565
15,Pasture,5,Mangrove,40
15,Pasture,31,Aquaculture,4276
15,Pasture,32,Hypersaline Tidal Flat,17
15,Pasture,40,Rice,14324
15,Pasture,62,Cotton,1307
4,Savanna Formation,15,Pasture,97965126
4,Savanna Formation,3,Forest Formation,22999694
4,Savanna Formation,21,Mosaic of Uses,54083758
4,Savanna Formation,0,No data,4947
4,Savanna Formation,12,Grassland,6256632
4,Savanna Formation,41,Other Temporary Crops,1874116
4,Savanna Formation,33,River Lake and Ocean,1391069
4,Savanna Formation,20,Sugar Cane,69372
4,Savanna Formation,11,Wetland,3392946
4,Savanna Formation,29,Rocky Outcrop,76364
4,Savanna Formation,25,Other non Vegetated Areas,3419434
4,Savanna Formation,9,Forest Plantation,5182471
4,Savanna Formation,24,Urban Area,449444
4,Savanna Formation,46,Coffee,159569
4,Savanna Formation,39,Soybean,849624
4,Savanna Formation,48,Other Perennial Crops,259813
4,Savanna Formation,47,Citrus,288944
4,Savanna Formation,30,Mining,64124
4,Savanna Formation,40,Rice,3567
4,Savanna Formation,62,Cotton,29
3,Forest Formation,15,Pasture,33713039
3,Forest Formation,4,Savanna Formation,17773425
3,Forest Formation,21,Mosaic of Uses,75670006
3,Forest Formation,0,No data,47257
3,Forest Formation,12,Grassland,319929
3,Forest Formation,41,Other Temporary Crops,577740
3,Forest Formation,33,River Lake and Ocean,2499109
3,Forest Formation,20,Sugar Cane,594815
3,Forest Formation,11,Wetland,3480083
3,Forest Formation,29,Rocky Outcrop,49111
3,Forest Formation,25,Other non Vegetated Areas,533104
3,Forest Formation,9,Forest Plantation,8691917
3,Forest Formation,24,Urban Area,143826
3,Forest Formation,46,Coffee,1627653
3,Forest Formation,39,Soybean,280726
3,Forest Formation,48,Other Perennial Crops,265064
3,Forest Formation,47,Citrus,411979
3,Forest Formation,49,Wooded Sandbank Vegetation,1752
3,Forest Formation,23,Beach and Sand,7
3,Forest Formation,30,Mining,124021
3,Forest Formation,5,Mangrove,4370
3,Forest Formation,31,Aquaculture,175
3,Forest Formation,32,Hypersaline Tidal Flat,313
3,Forest Formation,40,Rice,177
21,Mosaic of Uses,15,Pasture,331617043
21,Mosaic of Uses,4,Savanna Formation,43011975
21,Mosaic of Uses,3,Forest Formation,77431576
21,Mosaic of Uses,0,No data,54979
21,Mosaic of Uses,12,Grassland,3382654
21,Mosaic of Uses,41,Other Temporary Crops,35396769
21,Mosaic of Uses,33,River Lake and Ocean,6213344
21,Mosaic of Uses,20,Sugar Cane,60060435
21,Mosaic of Uses,11,Wetland,5635411
21,Mosaic of Uses,29,Rocky Outcrop,151932
21,Mosaic of Uses,25,Other non Vegetated Areas,3169961
21,Mosaic of Uses,9,Forest Plantation,9454229
21,Mosaic of Uses,24,Urban Area,4384230
21,Mosaic of Uses,46,Coffee,6165476
21,Mosaic of Uses,39,Soybean,26158635
21,Mosaic of Uses,48,Other Perennial Crops,829043
21,Mosaic of Uses,47,Citrus,1832635
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,210994
21,Mosaic of Uses,23,Beach and Sand,65816
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,94509
21,Mosaic of Uses,30,Mining,116125
21,Mosaic of Uses,5,Mangrove,4301
21,Mosaic of Uses,31,Aquaculture,9805
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1700
21,Mosaic of Uses,40,Rice,65896
21,Mosaic of Uses,62,Cotton,1817
0,No data,15,Pasture,13316
0,No data,4,Savanna Formation,5350
0,No data,3,Forest Formation,50142
0,No data,21,Mosaic of Uses,43521
0,No data,12,Grassland,27
0,No data,41,Other Temporary Crops,88
0,No data,33,River Lake and Ocean,997
0,No data,20,Sugar Cane,86
0,No data,11,Wetland,444
