Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
15,Pasture,#edde8e,489616208,218429652,271186556,44.6%
4,Savanna Formation,#7dc975,250662815,137501074,113161741,54.9%
3,Forest Formation,#1f8d49,213912185,131999837,81912348,61.7%
21,Mosaic of Uses,#ffefc3,190673382,13789998,176883384,7.2%
12,Grassland,#d6bc74,30849634,18199947,12649687,59.0%
41,Other Temporary Crops,#f54ca9,20005057,676530,19328527,3.4%
0,No data,#ffffff,19604092,19596754,7338,100.0%
33,River Lake and Ocean,#259fe4,17740462,12452026,5288436,70.2%
20,Sugar Cane,#db7093,16400129,6987666,9412463,42.6%
11,Wetland,#519799,14876889,7366065,7510824,49.5%
29,Rocky Outcrop,#ffaa5f,14316554,14003770,312784,97.8%
25,Other non Vegetated Areas,#db4d4f,10710750,601142,10109608,5.6%
9,Forest Plantation,#7a5900,6727795,4290537,2437258,63.8%
24,Urban Area,#d4271e,5929557,5886441,43116,99.3%
46,Coffee,#d68fe2,3832129,1471441,2360688,38.4%
39,Soybean,#f5b3c8,2907758,307440,2600318,10.6%
48,Other Perennial Crops,#e6ccff,792586,26113,766473,3.3%
47,Citrus,#9932cc,423196,119753,303443,28.3%
49,Wooded Sandbank Vegetation,#02d659,380700,215366,165334,56.6%
23,Beach and Sand,#ffa07a,349621,95353,254268,27.3%
50,Herbaceous Sandbank Vegetation,#ad5100,330327,168872,161455,51.1%
30,Mining,#9c0027,197378,140615,56763,71.2%
5,Mangrove,#04381d,116439,88156,28283,75.7%
31,Aquaculture,#091077,17534,6514,11020,37.2%
32,Hypersaline Tidal Flat,#fc8114,10363,1965,8398,19.0%
40,Rice,#c71585,12,0,12,0.0%
