From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,3741773,0.86%
3,Forest Formation,5,Mangrove,920,0.00%
3,Forest Formation,9,Forest Plantation,1829877,0.42%
3,Forest Formation,11,Wetland,732649,0.17%
3,Forest Formation,12,Grassland,67353,0.02%
3,Forest Formation,15,Pasture,7097481,1.64%
3,Forest Formation,20,Sugar Cane,125224,0.03%
3,Forest Formation,21,Mosaic of Uses,15930527,3.67%
3,Forest Formation,23,Beach and Sand,1,0.00%
3,Forest Formation,24,Urban Area,30279,0.01%
3,Forest Formation,25,Other non Vegetated Areas,112232,0.03%
3,Forest Formation,29,Rocky Outcrop,10339,0.00%
3,Forest Formation,30,Mining,26109,0.01%
3,Forest Formation,31,Aquaculture,36,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,65,0.00%
3,Forest Formation,33,River Lake and Ocean,526128,0.12%
3,Forest Formation,39,Soybean,59100,0.01%
3,Forest Formation,40,Rice,37,0.00%
3,Forest Formation,41,Other Temporary Crops,121629,0.03%
3,Forest Formation,46,Coffee,342663,0.08%
3,Forest Formation,47,Citrus,86732,0.02%
3,Forest Formation,48,Other Perennial Crops,55802,0.01%
3,Forest Formation,49,Wooded Sandbank Vegetation,368,0.00%
4,Savanna Formation,3,Forest Formation,4842040,1.12%
4,Savanna Formation,9,Forest Plantation,1091046,0.25%
4,Savanna Formation,11,Wetland,714304,0.16%
4,Savanna Formation,12,Grassland,1317185,0.30%
4,Savanna Formation,15,Pasture,20624237,4.75%
4,Savanna Formation,20,Sugar Cane,14604,0.00%
4,Savanna Formation,21,Mosaic of Uses,11386054,2.62%
4,Savanna Formation,24,Urban Area,94619,0.02%
4,Savanna Formation,25,Other non Vegetated Areas,719880,0.17%
4,Savanna Formation,29,Rocky Outcrop,16076,0.00%
4,Savanna Formation,30,Mining,13499,0.00%
4,Savanna Formation,33,River Lake and Ocean,292856,0.07%
4,Savanna Formation,39,Soybean,178868,0.04%
4,Savanna Formation,40,Rice,750,0.00%
4,Savanna Formation,41,Other Temporary Crops,394550,0.09%
4,Savanna Formation,46,Coffee,33593,0.01%
4,Savanna Formation,47,Citrus,60830,0.01%
4,Savanna Formation,48,Other Perennial Crops,54697,0.01%
4,Savanna Formation,62,Cotton,6,0.00%
5,Mangrove,3,Forest Formation,1089,0.00%
5,Mangrove,9,Forest Plantation,11,0.00%
5,Mangrove,11,Wetland,636,0.00%
5,Mangrove,15,Pasture,8,0.00%
5,Mangrove,21,Mosaic of Uses,686,0.00%
5,Mangrove,23,Beach and Sand,1,0.00%
5,Mangrove,24,Urban Area,230,0.00%
5,Mangrove,25,Other non Vegetated Areas,46,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,650,0.00%
5,Mangrove,33,River Lake and Ocean,4904,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,9355,0.00%
5,Mangrove,50,Herbaceous Sandbank Vegetation,1,0.00%
9,Forest Plantation,3,Forest Formation,608990,0.14%
9,Forest Plantation,4,Savanna Formation,512184,0.12%
9,Forest Plantation,5,Mangrove,10,0.00%
9,Forest Plantation,11,Wetland,18625,0.00%
9,Forest Plantation,12,Grassland,36566,0.01%
9,Forest Plantation,15,Pasture,356629,0.08%
9,Forest Plantation,20,Sugar Cane,18861,0.00%
9,Forest Plantation,21,Mosaic of Uses,488293,0.11%
9,Forest Plantation,23,Beach and Sand,3,0.00%
9,Forest Plantation,24,Urban Area,3162,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,12944,0.00%
9,Forest Plantation,29,Rocky Outcrop,357,0.00%
9,Forest Plantation,30,Mining,886,0.00%
9,Forest Plantation,33,River Lake and Ocean,1528,0.00%
9,Forest Plantation,39,Soybean,16158,0.00%
9,Forest Plantation,41,Other Temporary Crops,50677,0.01%
9,Forest Plantation,46,Coffee,1922,0.00%
9,Forest Plantation,47,Citrus,392,0.00%
9,Forest Plantation,48,Other Perennial Crops,191,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,1454,0.00%
11,Wetland,3,Forest Formation,947659,0.22%
11,Wetland,4,Savanna Formation,620821,0.14%
11,Wetland,5,Mangrove,719,0.00%
11,Wetland,9,Forest Plantation,26322,0.01%
11,Wetland,12,Grassland,104439,0.02%
11,Wetland,15,Pasture,694346,0.16%
11,Wetland,20,Sugar Cane,14190,0.00%
11,Wetland,21,Mosaic of Uses,1236049,0.28%
11,Wetland,23,Beach and Sand,3387,0.00%
11,Wetland,24,Urban Area,10321,0.00%
11,Wetland,25,Other non Vegetated Areas,36221,0.01%
11,Wetland,29,Rocky Outcrop,4692,0.00%
11,Wetland,30,Mining,1131,0.00%
11,Wetland,31,Aquaculture,10,0.00%
11,Wetland,32,Hypersaline Tidal Flat,1339,0.00%
11,Wetland,33,River Lake and Ocean,420381,0.10%
11,Wetland,39,Soybean,15071,0.00%
11,Wetland,41,Other Temporary Crops,48954,0.01%
11,Wetland,46,Coffee,1032,0.00%
11,Wetland,47,Citrus,15188,0.00%
11,Wetland,48,Other Perennial Crops,5842,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,389,0.00%
11,Wetland,50,Herbaceous Sandbank Vegetation,788,0.00%
11,Wetland,62,Cotton,1,0.00%
12,Grassland,3,Forest Formation,43161,0.01%
12,Grassland,4,Savanna Formation,1121324,0.26%
12,Grassland,9,Forest Plantation,120513,0.03%
