From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,3,Forest Formation,1250516
15,Pasture,0,No data,503
15,Pasture,4,Savanna Formation,3264757
15,Pasture,21,Mosaic of Uses,38346332
15,Pasture,11,Wetland,1251300
15,Pasture,33,River Lake and Ocean,218413
15,Pasture,12,Grassland,1093934
15,Pasture,39,Soybean,6236670
15,Pasture,41,Other Temporary Crops,4615843
15,Pasture,25,Other non Vegetated Areas,568517
15,Pasture,46,Coffee,77516
15,Pasture,24,Urban Area,148261
15,Pasture,9,Forest Plantation,2252611
15,Pasture,48,Other Perennial Crops,29285
15,Pasture,20,Sugar Cane,2144628
15,Pasture,29,Rocky Outcrop,108
15,Pasture,47,Citrus,882
15,Pasture,30,Mining,1010
15,Pasture,40,Rice,1513
15,Pasture,62,Cotton,45
3,Forest Formation,15,Pasture,8043768
3,Forest Formation,0,No data,1288
3,Forest Formation,4,Savanna Formation,2629303
3,Forest Formation,21,Mosaic of Uses,6461848
3,Forest Formation,11,Wetland,929693
3,Forest Formation,33,River Lake and Ocean,302891
3,Forest Formation,12,Grassland,657669
3,Forest Formation,39,Soybean,172877
3,Forest Formation,41,Other Temporary Crops,215339
3,Forest Formation,25,Other non Vegetated Areas,86058
3,Forest Formation,46,Coffee,9670
3,Forest Formation,24,Urban Area,4411
3,Forest Formation,9,Forest Plantation,481185
3,Forest Formation,48,Other Perennial Crops,1897
3,Forest Formation,20,Sugar Cane,8680
3,Forest Formation,29,Rocky Outcrop,59
3,Forest Formation,47,Citrus,526
3,Forest Formation,30,Mining,777
3,Forest Formation,40,Rice,14
0,No data,15,Pasture,376
0,No data,3,Forest Formation,1497
0,No data,4,Savanna Formation,91
0,No data,21,Mosaic of Uses,2016
0,No data,11,Wetland,881
0,No data,33,River Lake and Ocean,815
0,No data,12,Grassland,967
0,No data,39,Soybean,270
0,No data,41,Other Temporary Crops,162
0,No data,25,Other non Vegetated Areas,58
0,No data,46,Coffee,3
0,No data,24,Urban Area,20
0,No data,9,Forest Plantation,9
0,No data,48,Other Perennial Crops,6
0,No data,20,Sugar Cane,11
4,Savanna Formation,15,Pasture,11633785
4,Savanna Formation,3,Forest Formation,3357387
4,Savanna Formation,0,No data,93
4,Savanna Formation,21,Mosaic of Uses,3420347
4,Savanna Formation,11,Wetland,2690212
4,Savanna Formation,33,River Lake and Ocean,359473
4,Savanna Formation,12,Grassland,3854375
4,Savanna Formation,39,Soybean,131136
4,Savanna Formation,41,Other Temporary Crops,27558
4,Savanna Formation,25,Other non Vegetated Areas,257677
4,Savanna Formation,46,Coffee,817
4,Savanna Formation,24,Urban Area,2818
4,Savanna Formation,9,Forest Plantation,162362
4,Savanna Formation,48,Other Perennial Crops,37
4,Savanna Formation,20,Sugar Cane,5000
4,Savanna Formation,29,Rocky Outcrop,156
4,Savanna Formation,47,Citrus,18
4,Savanna Formation,30,Mining,215
4,Savanna Formation,40,Rice,164
4,Savanna Formation,62,Cotton,1
21,Mosaic of Uses,15,Pasture,31594147
21,Mosaic of Uses,3,Forest Formation,4475244
21,Mosaic of Uses,0,No data,2142
21,Mosaic of Uses,4,Savanna Formation,2849372
21,Mosaic of Uses,11,Wetland,1504392
21,Mosaic of Uses,33,River Lake and Ocean,437473
21,Mosaic of Uses,12,Grassland,261717
21,Mosaic of Uses,39,Soybean,8985449
21,Mosaic of Uses,41,Other Temporary Crops,3695914
21,Mosaic of Uses,25,Other non Vegetated Areas,299503
21,Mosaic of Uses,46,Coffee,106905
21,Mosaic of Uses,24,Urban Area,147872
21,Mosaic of Uses,9,Forest Plantation,577255
21,Mosaic of Uses,48,Other Perennial Crops,23457
21,Mosaic of Uses,20,Sugar Cane,4761492
21,Mosaic of Uses,29,Rocky Outcrop,80
21,Mosaic of Uses,47,Citrus,601
21,Mosaic of Uses,30,Mining,282
21,Mosaic of Uses,40,Rice,5686
21,Mosaic of Uses,62,Cotton,11
11,Wetland,15,Pasture,1681028
11,Wetland,3,Forest Formation,1160782
11,Wetland,0,No data,889
11,Wetland,4,Savanna Formation,1979798
11,Wetland,21,Mosaic of Uses,1437502
11,Wetland,33,River Lake and Ocean,23477102
11,Wetland,12,Grassland,95584328
11,Wetland,39,Soybean,26230
11,Wetland,41,Other Temporary Crops,23910
11,Wetland,25,Other non Vegetated Areas,33460
11,Wetland,46,Coffee,33
11,Wetland,24,Urban Area,1573
11,Wetland,9,Forest Plantation,8633
11,Wetland,48,Other Perennial Crops,2142
11,Wetland,20,Sugar Cane,6025
11,Wetland,29,Rocky Outcrop,14
11,Wetland,47,Citrus,55
11,Wetland,30,Mining,2
11,Wetland,40,Rice,725
33,River Lake and Ocean,15,Pasture,104128
33,River Lake and Ocean,3,Forest Formation,206809
33,River Lake and Ocean,0,No data,887
33,River Lake and Ocean,4,Savanna Formation,330019
33,River Lake and Ocean,21,Mosaic of Uses,256219
33,River Lake and Ocean,11,Wetland,26731561
33,River Lake and Ocean,12,Grassland,17064102
33,River Lake and Ocean,39,Soybean,2245
33,River Lake and Ocean,41,Other Temporary Crops,19478
33,River Lake and Ocean,25,Other non Vegetated Areas,18123
33,River Lake and Ocean,24,Urban Area,2033
33,River Lake and Ocean,9,Forest Plantation,409
33,River Lake and Ocean,48,Other Perennial Crops,36
33,River Lake and Ocean,20,Sugar Cane,471
33,River Lake and Ocean,29,Rocky Outcrop,3
33,River Lake and Ocean,30,Mining,29
33,River Lake and Ocean,40,Rice,285
12,Grassland,15,Pasture,2728614
12,Grassland,3,Forest Formation,412433
12,Grassland,0,No data,906
12,Grassland,4,Savanna Formation,4147362
12,Grassland,21,Mosaic of Uses,507037
12,Grassland,11,Wetland,89565759
12,Grassland,33,River Lake and Ocean,13607551
12,Grassland,39,Soybean,30890
12,Grassland,41,Other Temporary Crops,14475
12,Grassland,25,Other non Vegetated Areas,51059
12,Grassland,24,Urban Area,428
12,Grassland,9,Forest Plantation,663
12,Grassland,20,Sugar Cane,693
12,Grassland,29,Rocky Outcrop,43
12,Grassland,30,Mining,2700
12,Grassland,40,Rice,3657
12,Grassland,23,Beach and Sand,1
39,Soybean,15,Pasture,1213560
39,Soybean,3,Forest Formation,60107
39,Soybean,0,No data,188
39,Soybean,4,Savanna Formation,11952
39,Soybean,21,Mosaic of Uses,590705
39,Soybean,11,Wetland,9190
39,Soybean,33,River Lake and Ocean,4727
39,Soybean,12,Grassland,2208
39,Soybean,41,Other Temporary Crops,28388659
39,Soybean,25,Other non Vegetated Areas,8097
39,Soybean,46,Coffee,1866
39,Soybean,24,Urban Area,28473
39,Soybean,9,Forest Plantation,11088
39,Soybean,48,Other Perennial Crops,142
39,Soybean,20,Sugar Cane,1099841
39,Soybean,29,Rocky Outcrop,13
39,Soybean,47,Citrus,14
39,Soybean,30,Mining,1
39,Soybean,40,Rice,5065
39,Soybean,62,Cotton,890289
41,Other Temporary Crops,15,Pasture,5458147
41,Other Temporary Crops,3,Forest Formation,111210
41,Other Temporary Crops,0,No data,172
41,Other Temporary Crops,4,Savanna Formation,20465
41,Other Temporary Crops,21,Mosaic of Uses,1866956
41,Other Temporary Crops,11,Wetland,21669
41,Other Temporary Crops,33,River Lake and Ocean,28051
41,Other Temporary Crops,12,Grassland,5525
41,Other Temporary Crops,39,Soybean,29709471
41,Other Temporary Crops,25,Other non Vegetated Areas,17417
41,Other Temporary Crops,46,Coffee,70081
41,Other Temporary Crops,24,Urban Area,68722
41,Other Temporary Crops,9,Forest Plantation,155467
41,Other Temporary Crops,48,Other Perennial Crops,6371
41,Other Temporary Crops,20,Sugar Cane,2335293
41,Other Temporary Crops,29,Rocky Outcrop,2
41,Other Temporary Crops,47,Citrus,146
41,Other Temporary Crops,40,Rice,49678
41,Other Temporary Crops,62,Cotton,5996
25,Other non Vegetated Areas,15,Pasture,1097857
25,Other non Vegetated Areas,3,Forest Formation,20347
25,Other non Vegetated Areas,0,No data,93
25,Other non Vegetated Areas,4,Savanna Formation,32858
25,Other non Vegetated Areas,21,Mosaic of Uses,627539
25,Other non Vegetated Areas,11,Wetland,30786
25,Other non Vegetated Areas,33,River Lake and Ocean,17130
25,Other non Vegetated Areas,12,Grassland,35459
25,Other non Vegetated Areas,39,Soybean,55165
25,Other non Vegetated Areas,41,Other Temporary Crops,16306
25,Other non Vegetated Areas,46,Coffee,666
25,Other non Vegetated Areas,24,Urban Area,18585
25,Other non Vegetated Areas,9,Forest Plantation,16998
25,Other non Vegetated Areas,48,Other Perennial Crops,119
25,Other non Vegetated Areas,20,Sugar Cane,2795
25,Other non Vegetated Areas,29,Rocky Outcrop,3
25,Other non Vegetated Areas,47,Citrus,5
25,Other non Vegetated Areas,30,Mining,75
46,Coffee,15,Pasture,186214
46,Coffee,3,Forest Formation,6915
46,Coffee,0,No data,7
46,Coffee,4,Savanna Formation,776
46,Coffee,21,Mosaic of Uses,163865
46,Coffee,11,Wetland,65
46,Coffee,33,River Lake and Ocean,1
46,Coffee,12,Grassland,2
46,Coffee,39,Soybean,11809
46,Coffee,41,Other Temporary Crops,181154
46,Coffee,25,Other non Vegetated Areas,158
46,Coffee,24,Urban Area,9615
46,Coffee,9,Forest Plantation,103
46,Coffee,48,Other Perennial Crops,383
46,Coffee,20,Sugar Cane,3561
46,Coffee,47,Citrus,4
24,Urban Area,15,Pasture,4392
24,Urban Area,3,Forest Formation,655
24,Urban Area,0,No data,2
24,Urban Area,4,Savanna Formation,240
24,Urban Area,21,Mosaic of Uses,7082
24,Urban Area,11,Wetland,427
24,Urban Area,33,River Lake and Ocean,1451
24,Urban Area,12,Grassland,92
24,Urban Area,39,Soybean,1608
24,Urban Area,41,Other Temporary Crops,2134
24,Urban Area,25,Other non Vegetated Areas,1212
24,Urban Area,46,Coffee,443
24,Urban Area,9,Forest Plantation,34
24,Urban Area,48,Other Perennial Crops,1
24,Urban Area,20,Sugar Cane,61
24,Urban Area,30,Mining,18
9,Forest Plantation,15,Pasture,242429
9,Forest Plantation,3,Forest Formation,130621
9,Forest Plantation,0,No data,1
9,Forest Plantation,4,Savanna Formation,43566
9,Forest Plantation,21,Mosaic of Uses,107011
9,Forest Plantation,11,Wetland,4899
9,Forest Plantation,33,River Lake and Ocean,384
9,Forest Plantation,12,Grassland,3920
9,Forest Plantation,39,Soybean,9939
9,Forest Plantation,41,Other Temporary Crops,5030
9,Forest Plantation,25,Other non Vegetated Areas,2276
9,Forest Plantation,46,Coffee,91
9,Forest Plantation,24,Urban Area,966
9,Forest Plantation,48,Other Perennial Crops,4
9,Forest Plantation,20,Sugar Cane,2083
9,Forest Plantation,47,Citrus,35
48,Other Perennial Crops,15,Pasture,57175
48,Other Perennial Crops,3,Forest Formation,4001
48,Other Perennial Crops,0,No data,5
48,Other Perennial Crops,4,Savanna Formation,10
48,Other Perennial Crops,21,Mosaic of Uses,44237
48,Other Perennial Crops,11,Wetland,538
48,Other Perennial Crops,33,River Lake and Ocean,65
48,Other Perennial Crops,12,Grassland,1
48,Other Perennial Crops,39,Soybean,630
48,Other Perennial Crops,41,Other Temporary Crops,11748
48,Other Perennial Crops,25,Other non Vegetated Areas,17
48,Other Perennial Crops,46,Coffee,1752
48,Other Perennial Crops,24,Urban Area,252
48,Other Perennial Crops,9,Forest Plantation,13
48,Other Perennial Crops,20,Sugar Cane,25982
48,Other Perennial Crops,47,Citrus,1
20,Sugar Cane,15,Pasture,473652
20,Sugar Cane,3,Forest Formation,4146
20,Sugar Cane,0,No data,3
20,Sugar Cane,4,Savanna Formation,1189
20,Sugar Cane,21,Mosaic of Uses,1310102
20,Sugar Cane,11,Wetland,5345
20,Sugar Cane,33,River Lake and Ocean,539
20,Sugar Cane,12,Grassland,1229
20,Sugar Cane,39,Soybean,1060347
20,Sugar Cane,41,Other Temporary Crops,864394
20,Sugar Cane,25,Other non Vegetated Areas,2001
20,Sugar Cane,46,Coffee,367
20,Sugar Cane,24,Urban Area,1843
20,Sugar Cane,9,Forest Plantation,16811
20,Sugar Cane,48,Other Perennial Crops,5220
20,Sugar Cane,47,Citrus,50
20,Sugar Cane,40,Rice,93
20,Sugar Cane,62,Cotton,35
29,Rocky Outcrop,15,Pasture,116
29,Rocky Outcrop,3,Forest Formation,58
29,Rocky Outcrop,4,Savanna Formation,139
29,Rocky Outcrop,21,Mosaic of Uses,59
29,Rocky Outcrop,11,Wetland,14
29,Rocky Outcrop,33,River Lake and Ocean,3
29,Rocky Outcrop,12,Grassland,48
29,Rocky Outcrop,39,Soybean,8
29,Rocky Outcrop,41,Other Temporary Crops,2
29,Rocky Outcrop,25,Other non Vegetated Areas,4
47,Citrus,15,Pasture,230
47,Citrus,3,Forest Formation,813
47,Citrus,4,Savanna Formation,11
47,Citrus,21,Mosaic of Uses,532
