Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
15,Pasture,#edde8e,189250319,75695975,113554344,40.0%
3,Forest Formation,#1f8d49,113951115,61136653,52814462,53.7%
4,Savanna Formation,#7dc975,82142714,25693862,56448852,31.3%
21,Mosaic of Uses,#ffefc3,76528230,2300649,74227581,3.0%
11,Wetland,#519799,51913943,10736423,41177520,20.7%
0,No data,#ffffff,46050566,46048420,2146,100.0%
33,River Lake and Ocean,#259fe4,36369146,5184224,31184922,14.3%
12,Grassland,#d6bc74,17628102,3910894,13717208,22.2%
39,Soybean,#f5b3c8,13211650,2433126,10778524,18.4%
41,Other Temporary Crops,#f54ca9,12226880,28716,12198164,0.2%
25,Other non Vegetated Areas,#db4d4f,3827983,36321,3791662,0.9%
46,Coffee,#d68fe2,1363950,31290,1332660,2.3%
24,Urban Area,#d4271e,1087877,1083171,4706,99.6%
9,Forest Plantation,#7a5900,577556,264407,313149,45.8%
48,Other Perennial Crops,#e6ccff,342857,495,342362,0.1%
20,Sugar Cane,#db7093,58246,1452,56794,2.5%
29,Rocky Outcrop,#ffaa5f,26463,26101,362,98.6%
47,Citrus,#9932cc,2622,783,1839,29.9%
30,Mining,#9c0027,1496,1243,253,83.1%
40,Rice,#c71585,1170,0,1170,0.0%
23,Beach and Sand,#ffa07a,3,0,3,0.0%
