From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,2103442,0.50%
3,Forest Formation,9,Forest Plantation,384948,0.09%
3,Forest Formation,11,Wetland,743755,0.18%
3,Forest Formation,12,Grassland,526135,0.12%
3,Forest Formation,15,Pasture,6435014,1.52%
3,Forest Formation,20,Sugar Cane,6944,0.00%
3,Forest Formation,21,Mosaic of Uses,5169478,1.22%
3,Forest Formation,24,Urban Area,3528,0.00%
3,Forest Formation,25,Other non Vegetated Areas,68846,0.02%
3,Forest Formation,29,Rocky Outcrop,47,0.00%
3,Forest Formation,30,Mining,622,0.00%
3,Forest Formation,33,River Lake and Ocean,242313,0.06%
3,Forest Formation,39,Soybean,138301,0.03%
3,Forest Formation,40,Rice,11,0.00%
3,Forest Formation,41,Other Temporary Crops,172271,0.04%
3,Forest Formation,46,Coffee,7736,0.00%
3,Forest Formation,47,Citrus,420,0.00%
3,Forest Formation,48,Other Perennial Crops,1517,0.00%
4,Savanna Formation,3,Forest Formation,2685909,0.64%
4,Savanna Formation,9,Forest Plantation,129889,0.03%
4,Savanna Formation,11,Wetland,2152169,0.51%
4,Savanna Formation,12,Grassland,3083500,0.73%
4,Savanna Formation,15,Pasture,9307028,2.20%
4,Savanna Formation,20,Sugar Cane,4000,0.00%
4,Savanna Formation,21,Mosaic of Uses,2736278,0.65%
4,Savanna Formation,24,Urban Area,2254,0.00%
4,Savanna Formation,25,Other non Vegetated Areas,206142,0.05%
4,Savanna Formation,29,Rocky Outcrop,124,0.00%
4,Savanna Formation,30,Mining,172,0.00%
4,Savanna Formation,33,River Lake and Ocean,287579,0.07%
4,Savanna Formation,39,Soybean,104909,0.02%
4,Savanna Formation,40,Rice,131,0.00%
4,Savanna Formation,41,Other Temporary Crops,22047,0.01%
4,Savanna Formation,46,Coffee,654,0.00%
4,Savanna Formation,47,Citrus,14,0.00%
4,Savanna Formation,48,Other Perennial Crops,30,0.00%
4,Savanna Formation,62,Cotton,1,0.00%
9,Forest Plantation,3,Forest Formation,104497,0.02%
9,Forest Plantation,4,Savanna Formation,34852,0.01%
9,Forest Plantation,11,Wetland,3919,0.00%
9,Forest Plantation,12,Grassland,3136,0.00%
9,Forest Plantation,15,Pasture,193943,0.05%
9,Forest Plantation,20,Sugar Cane,1667,0.00%
9,Forest Plantation,21,Mosaic of Uses,85609,0.02%
9,Forest Plantation,24,Urban Area,772,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,1820,0.00%
9,Forest Plantation,33,River Lake and Ocean,307,0.00%
9,Forest Plantation,39,Soybean,7951,0.00%
9,Forest Plantation,41,Other Temporary Crops,4024,0.00%
9,Forest Plantation,46,Coffee,73,0.00%
9,Forest Plantation,47,Citrus,28,0.00%
9,Forest Plantation,48,Other Perennial Crops,3,0.00%
11,Wetland,3,Forest Formation,928626,0.22%
11,Wetland,4,Savanna Formation,1583839,0.37%
11,Wetland,9,Forest Plantation,6907,0.00%
11,Wetland,12,Grassland,76467462,18.09%
11,Wetland,15,Pasture,1344822,0.32%
11,Wetland,20,Sugar Cane,4820,0.00%
11,Wetland,21,Mosaic of Uses,1150001,0.27%
11,Wetland,24,Urban Area,1259,0.00%
11,Wetland,25,Other non Vegetated Areas,26768,0.01%
11,Wetland,29,Rocky Outcrop,11,0.00%
11,Wetland,30,Mining,2,0.00%
11,Wetland,33,River Lake and Ocean,18781681,4.44%
11,Wetland,39,Soybean,20984,0.00%
11,Wetland,40,Rice,580,0.00%
11,Wetland,41,Other Temporary Crops,19128,0.00%
11,Wetland,46,Coffee,26,0.00%
11,Wetland,47,Citrus,44,0.00%
11,Wetland,48,Other Perennial Crops,1714,0.00%
12,Grassland,3,Forest Formation,329946,0.08%
12,Grassland,4,Savanna Formation,3317890,0.78%
12,Grassland,9,Forest Plantation,530,0.00%
12,Grassland,11,Wetland,71652607,16.95%
12,Grassland,15,Pasture,2182891,0.52%
12,Grassland,20,Sugar Cane,554,0.00%
12,Grassland,21,Mosaic of Uses,405630,0.10%
12,Grassland,23,Beach and Sand,1,0.00%
12,Grassland,24,Urban Area,343,0.00%
12,Grassland,25,Other non Vegetated Areas,40847,0.01%
12,Grassland,29,Rocky Outcrop,34,0.00%
12,Grassland,30,Mining,2160,0.00%
12,Grassland,33,River Lake and Ocean,10886041,2.57%
12,Grassland,39,Soybean,24712,0.01%
12,Grassland,40,Rice,2926,0.00%
12,Grassland,41,Other Temporary Crops,11580,0.00%
15,Pasture,3,Forest Formation,1000413,0.24%
15,Pasture,4,Savanna Formation,2611805,0.62%
15,Pasture,9,Forest Plantation,1802089,0.43%
15,Pasture,11,Wetland,1001040,0.24%
15,Pasture,12,Grassland,875147,0.21%
15,Pasture,20,Sugar Cane,1715702,0.41%
15,Pasture,21,Mosaic of Uses,30677065,7.26%
15,Pasture,24,Urban Area,118608,0.03%
15,Pasture,25,Other non Vegetated Areas,454814,0.11%
15,Pasture,29,Rocky Outcrop,86,0.00%
15,Pasture,30,Mining,808,0.00%
15,Pasture,33,River Lake and Ocean,174730,0.04%
15,Pasture,39,Soybean,4989336,1.18%
15,Pasture,40,Rice,1210,0.00%
15,Pasture,41,Other Temporary Crops,3692674,0.87%
15,Pasture,46,Coffee,62013,0.01%
15,Pasture,47,Citrus,705,0.00%
15,Pasture,48,Other Perennial Crops,23428,0.01%
15,Pasture,62,Cotton,36,0.00%
20,Sugar Cane,3,Forest Formation,3317,0.00%
20,Sugar Cane,4,Savanna Formation,951,0.00%
20,Sugar Cane,9,Forest Plantation,13449,0.00%
20,Sugar Cane,11,Wetland,4276,0.00%
20,Sugar Cane,12,Grassland,983,0.00%
20,Sugar Cane,15,Pasture,378921,0.09%
20,Sugar Cane,21,Mosaic of Uses,1048082,0.25%
20,Sugar Cane,24,Urban Area,1475,0.00%
20,Sugar Cane,25,Other non Vegetated Areas,1601,0.00%
20,Sugar Cane,33,River Lake and Ocean,431,0.00%
20,Sugar Cane,39,Soybean,848278,0.20%
20,Sugar Cane,40,Rice,75,0.00%
20,Sugar Cane,41,Other Temporary Crops,691515,0.16%
20,Sugar Cane,46,Coffee,294,0.00%
20,Sugar Cane,47,Citrus,40,0.00%
20,Sugar Cane,48,Other Perennial Crops,4176,0.00%
20,Sugar Cane,62,Cotton,28,0.00%
21,Mosaic of Uses,3,Forest Formation,3580195,0.85%
21,Mosaic of Uses,4,Savanna Formation,2279498,0.54%
21,Mosaic of Uses,9,Forest Plantation,461804,0.11%
21,Mosaic of Uses,11,Wetland,1203514,0.28%
21,Mosaic of Uses,12,Grassland,209373,0.05%
21,Mosaic of Uses,15,Pasture,25275317,5.98%
21,Mosaic of Uses,20,Sugar Cane,3809193,0.90%
21,Mosaic of Uses,24,Urban Area,118298,0.03%
21,Mosaic of Uses,25,Other non Vegetated Areas,239602,0.06%
21,Mosaic of Uses,29,Rocky Outcrop,64,0.00%
21,Mosaic of Uses,30,Mining,226,0.00%
21,Mosaic of Uses,33,River Lake and Ocean,349979,0.08%
21,Mosaic of Uses,39,Soybean,7188359,1.70%
21,Mosaic of Uses,40,Rice,4549,0.00%
21,Mosaic of Uses,41,Other Temporary Crops,2956731,0.70%
21,Mosaic of Uses,46,Coffee,85524,0.02%
21,Mosaic of Uses,47,Citrus,481,0.00%
21,Mosaic of Uses,48,Other Perennial Crops,18765,0.00%
21,Mosaic of Uses,62,Cotton,9,0.00%
23,Beach and Sand,11,Wetland,1,0.00%
23,Beach and Sand,12,Grassland,1,0.00%
24,Urban Area,3,Forest Formation,524,0.00%
24,Urban Area,4,Savanna Formation,192,0.00%
24,Urban Area,9,Forest Plantation,27,0.00%
24,Urban Area,11,Wetland,341,0.00%
24,Urban Area,12,Grassland,74,0.00%
24,Urban Area,15,Pasture,3513,0.00%
24,Urban Area,20,Sugar Cane,49,0.00%
24,Urban Area,21,Mosaic of Uses,5665,0.00%
24,Urban Area,25,Other non Vegetated Areas,969,0.00%
24,Urban Area,30,Mining,14,0.00%
24,Urban Area,33,River Lake and Ocean,1161,0.00%
24,Urban Area,39,Soybean,1286,0.00%
24,Urban Area,41,Other Temporary Crops,1707,0.00%
24,Urban Area,46,Coffee,355,0.00%
24,Urban Area,48,Other Perennial Crops,1,0.00%
25,Other non Vegetated Areas,3,Forest Formation,16278,0.00%
25,Other non Vegetated Areas,4,Savanna Formation,26287,0.01%
25,Other non Vegetated Areas,9,Forest Plantation,13598,0.00%
25,Other non Vegetated Areas,11,Wetland,24629,0.01%
25,Other non Vegetated Areas,12,Grassland,28367,0.01%
25,Other non Vegetated Areas,15,Pasture,878285,0.21%
25,Other non Vegetated Areas,20,Sugar Cane,2236,0.00%
25,Other non Vegetated Areas,21,Mosaic of Uses,502031,0.12%
25,Other non Vegetated Areas,24,Urban Area,14868,0.00%
25,Other non Vegetated Areas,29,Rocky Outcrop,2,0.00%
25,Other non Vegetated Areas,30,Mining,60,0.00%
25,Other non Vegetated Areas,33,River Lake and Ocean,13704,0.00%
25,Other non Vegetated Areas,39,Soybean,44132,0.01%
25,Other non Vegetated Areas,41,Other Temporary Crops,13044,0.00%
25,Other non Vegetated Areas,46,Coffee,533,0.00%
25,Other non Vegetated Areas,47,Citrus,4,0.00%
25,Other non Vegetated Areas,48,Other Perennial Crops,95,0.00%
29,Rocky Outcrop,3,Forest Formation,47,0.00%
29,Rocky Outcrop,4,Savanna Formation,111,0.00%
29,Rocky Outcrop,11,Wetland,11,0.00%
29,Rocky Outcrop,12,Grassland,38,0.00%
29,Rocky Outcrop,15,Pasture,93,0.00%
29,Rocky Outcrop,21,Mosaic of Uses,47,0.00%
29,Rocky Outcrop,25,Other non Vegetated Areas,3,0.00%
29,Rocky Outcrop,33,River Lake and Ocean,2,0.00%
29,Rocky Outcrop,39,Soybean,7,0.00%
29,Rocky Outcrop,41,Other Temporary Crops,2,0.00%
30,Mining,3,Forest Formation,37,0.00%
30,Mining,4,Savanna Formation,10,0.00%
30,Mining,12,Grassland,91,0.00%
30,Mining,15,Pasture,25,0.00%
30,Mining,21,Mosaic of Uses,21,0.00%
30,Mining,25,Other non Vegetated Areas,1,0.00%
30,Mining,33,River Lake and Ocean,1,0.00%
33,River Lake and Ocean,3,Forest Formation,165447,0.04%
33,River Lake and Ocean,4,Savanna Formation,264015,0.06%
33,River Lake and Ocean,9,Forest Plantation,327,0.00%
33,River Lake and Ocean,11,Wetland,21385249,5.06%
33,River Lake and Ocean,12,Grassland,13651282,3.23%
33,River Lake and Ocean,15,Pasture,83302,0.02%
33,River Lake and Ocean,20,Sugar Cane,376,0.00%
33,River Lake and Ocean,21,Mosaic of Uses,204975,0.05%
33,River Lake and Ocean,24,Urban Area,1626,0.00%
33,River Lake and Ocean,25,Other non Vegetated Areas,14498,0.00%
33,River Lake and Ocean,29,Rocky Outcrop,2,0.00%
33,River Lake and Ocean,30,Mining,23,0.00%
33,River Lake and Ocean,39,Soybean,1796,0.00%
33,River Lake and Ocean,40,Rice,228,0.00%
33,River Lake and Ocean,41,Other Temporary Crops,15582,0.00%
33,River Lake and Ocean,48,Other Perennial Crops,29,0.00%
39,Soybean,3,Forest Formation,48086,0.01%
39,Soybean,4,Savanna Formation,9561,0.00%
39,Soybean,9,Forest Plantation,8870,0.00%
39,Soybean,11,Wetland,7352,0.00%
39,Soybean,12,Grassland,1766,0.00%
39,Soybean,15,Pasture,970848,0.23%
39,Soybean,20,Sugar Cane,879873,0.21%
39,Soybean,21,Mosaic of Uses,472564,0.11%
39,Soybean,24,Urban Area,22779,0.01%
39,Soybean,25,Other non Vegetated Areas,6478,0.00%
39,Soybean,29,Rocky Outcrop,10,0.00%
39,Soybean,30,Mining,1,0.00%
39,Soybean,33,River Lake and Ocean,3781,0.00%
39,Soybean,40,Rice,4052,0.00%
39,Soybean,41,Other Temporary Crops,22710927,5.37%
39,Soybean,46,Coffee,1492,0.00%
39,Soybean,47,Citrus,11,0.00%
39,Soybean,48,Other Perennial Crops,114,0.00%
39,Soybean,62,Cotton,712231,0.17%
40,Rice,3,Forest Formation,4,0.00%
40,Rice,4,Savanna Formation,10,0.00%
40,Rice,9,Forest Plantation,2,0.00%
40,Rice,11,Wetland,360,0.00%
40,Rice,12,Grassland,2188,0.00%
40,Rice,15,Pasture,436,0.00%
40,Rice,20,Sugar Cane,209,0.00%
40,Rice,21,Mosaic of Uses,3157,0.00%
40,Rice,33,River Lake and Ocean,98,0.00%
40,Rice,39,Soybean,3838,0.00%
40,Rice,41,Other Temporary Crops,38085,0.01%
41,Other Temporary Crops,3,Forest Formation,88968,0.02%
41,Other Temporary Crops,4,Savanna Formation,16372,0.00%
41,Other Temporary Crops,9,Forest Plantation,124373,0.03%
41,Other Temporary Crops,11,Wetland,17335,0.00%
41,Other Temporary Crops,12,Grassland,4420,0.00%
41,Other Temporary Crops,15,Pasture,4366517,1.03%
41,Other Temporary Crops,20,Sugar Cane,1868234,0.44%
41,Other Temporary Crops,21,Mosaic of Uses,1493565,0.35%
41,Other Temporary Crops,24,Urban Area,54977,0.01%
41,Other Temporary Crops,25,Other non Vegetated Areas,13934,0.00%
41,Other Temporary Crops,29,Rocky Outcrop,2,0.00%
41,Other Temporary Crops,33,River Lake and Ocean,22441,0.01%
41,Other Temporary Crops,39,Soybean,23767577,5.62%
41,Other Temporary Crops,40,Rice,39742,0.01%
41,Other Temporary Crops,46,Coffee,56065,0.01%
41,Other Temporary Crops,47,Citrus,117,0.00%
41,Other Temporary Crops,48,Other Perennial Crops,5097,0.00%
41,Other Temporary Crops,62,Cotton,4797,0.00%
46,Coffee,3,Forest Formation,5532,0.00%
46,Coffee,4,Savanna Formation,621,0.00%
46,Coffee,9,Forest Plantation,82,0.00%
46,Coffee,11,Wetland,52,0.00%
46,Coffee,12,Grassland,2,0.00%
46,Coffee,15,Pasture,148971,0.04%
46,Coffee,20,Sugar Cane,2848,0.00%
46,Coffee,21,Mosaic of Uses,131092,0.03%
46,Coffee,24,Urban Area,7692,0.00%
46,Coffee,25,Other non Vegetated Areas,126,0.00%
46,Coffee,33,River Lake and Ocean,1,0.00%
46,Coffee,39,Soybean,9447,0.00%
46,Coffee,41,Other Temporary Crops,144923,0.03%
46,Coffee,47,Citrus,3,0.00%
46,Coffee,48,Other Perennial Crops,307,0.00%
47,Citrus,3,Forest Formation,650,0.00%
47,Citrus,4,Savanna Formation,8,0.00%
47,Citrus,9,Forest Plantation,51,0.00%
47,Citrus,11,Wetland,41,0.00%
47,Citrus,12,Grassland,14,0.00%
47,Citrus,15,Pasture,184,0.00%
47,Citrus,20,Sugar Cane,715,0.00%
47,Citrus,21,Mosaic of Uses,426,0.00%
47,Citrus,39,Soybean,1,0.00%
47,Citrus,41,Other Temporary Crops,18,0.00%
47,Citrus,46,Coffee,5,0.00%
47,Citrus,48,Other Perennial Crops,1,0.00%
48,Other Perennial Crops,3,Forest Formation,3201,0.00%
48,Other Perennial Crops,4,Savanna Formation,8,0.00%
48,Other Perennial Crops,9,Forest Plantation,10,0.00%
48,Other Perennial Crops,11,Wetland,430,0.00%
48,Other Perennial Crops,12,Grassland,1,0.00%
48,Other Perennial Crops,15,Pasture,45740,0.01%
48,Other Perennial Crops,20,Sugar Cane,20785,0.00%
48,Other Perennial Crops,21,Mosaic of Uses,35390,0.01%
48,Other Perennial Crops,24,Urban Area,202,0.00%
48,Other Perennial Crops,25,Other non Vegetated Areas,13,0.00%
48,Other Perennial Crops,33,River Lake and Ocean,52,0.00%
48,Other Perennial Crops,39,Soybean,504,0.00%
48,Other Perennial Crops,41,Other Temporary Crops,9398,0.00%
48,Other Perennial Crops,46,Coffee,1402,0.00%
48,Other Perennial Crops,47,Citrus,1,0.00%
62,Cotton,12,Grassland,4,0.00%
62,Cotton,15,Pasture,21,0.00%
62,Cotton,20,Sugar Cane,63,0.00%
62,Cotton,39,Soybean,655280,0.15%
62,Cotton,41,Other Temporary Crops,9193,0.00%
