From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,343328,0.18%
3,Forest Formation,5,Mangrove,26516,0.01%
3,Forest Formation,9,Forest Plantation,7265,0.00%
3,Forest Formation,11,Wetland,822,0.00%
3,Forest Formation,12,Grassland,196,0.00%
3,Forest Formation,15,Pasture,108439,0.06%
3,Forest Formation,20,Sugar Cane,4827,0.00%
3,Forest Formation,21,Mosaic of Uses,1540127,0.80%
3,Forest Formation,23,Beach and Sand,1047,0.00%
3,Forest Formation,24,Urban Area,5245,0.00%
3,Forest Formation,25,Other non Vegetated Areas,803,0.00%
3,Forest Formation,29,Rocky Outcrop,9,0.00%
3,Forest Formation,30,Mining,397,0.00%
3,Forest Formation,31,Aquaculture,2144,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,496,0.00%
3,Forest Formation,33,River Lake and Ocean,60090,0.03%
3,Forest Formation,41,Other Temporary Crops,29178,0.02%
3,Forest Formation,48,Other Perennial Crops,67,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,22,0.00%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,12,0.00%
4,Savanna Formation,3,Forest Formation,407585,0.21%
4,Savanna Formation,5,Mangrove,63,0.00%
4,Savanna Formation,9,Forest Plantation,869,0.00%
4,Savanna Formation,11,Wetland,68,0.00%
4,Savanna Formation,12,Grassland,711219,0.37%
4,Savanna Formation,15,Pasture,20639256,10.66%
4,Savanna Formation,20,Sugar Cane,8832,0.00%
4,Savanna Formation,21,Mosaic of Uses,22843948,11.80%
4,Savanna Formation,23,Beach and Sand,39,0.00%
4,Savanna Formation,24,Urban Area,34691,0.02%
4,Savanna Formation,25,Other non Vegetated Areas,161920,0.08%
4,Savanna Formation,29,Rocky Outcrop,842,0.00%
4,Savanna Formation,30,Mining,277,0.00%
4,Savanna Formation,31,Aquaculture,701,0.00%
4,Savanna Formation,32,Hypersaline Tidal Flat,2,0.00%
4,Savanna Formation,33,River Lake and Ocean,1497482,0.77%
4,Savanna Formation,41,Other Temporary Crops,90418,0.05%
4,Savanna Formation,48,Other Perennial Crops,1904,0.00%
4,Savanna Formation,49,Wooded Sandbank Vegetation,7,0.00%
4,Savanna Formation,50,Herbaceous Sandbank Vegetation,13,0.00%
5,Mangrove,3,Forest Formation,29372,0.02%
5,Mangrove,4,Savanna Formation,52,0.00%
5,Mangrove,9,Forest Plantation,91,0.00%
5,Mangrove,11,Wetland,3853,0.00%
5,Mangrove,20,Sugar Cane,94,0.00%
5,Mangrove,21,Mosaic of Uses,11362,0.01%
5,Mangrove,23,Beach and Sand,35,0.00%
5,Mangrove,24,Urban Area,575,0.00%
5,Mangrove,25,Other non Vegetated Areas,42,0.00%
5,Mangrove,30,Mining,21,0.00%
5,Mangrove,31,Aquaculture,1985,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,14182,0.01%
5,Mangrove,33,River Lake and Ocean,61362,0.03%
5,Mangrove,41,Other Temporary Crops,397,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,4,0.00%
5,Mangrove,50,Herbaceous Sandbank Vegetation,57,0.00%
9,Forest Plantation,3,Forest Formation,1778,0.00%
9,Forest Plantation,4,Savanna Formation,185,0.00%
9,Forest Plantation,5,Mangrove,69,0.00%
9,Forest Plantation,11,Wetland,418,0.00%
9,Forest Plantation,15,Pasture,24,0.00%
9,Forest Plantation,21,Mosaic of Uses,2790,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,5,0.00%
9,Forest Plantation,33,River Lake and Ocean,4,0.00%
9,Forest Plantation,41,Other Temporary Crops,440,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,1,0.00%
11,Wetland,3,Forest Formation,1175,0.00%
11,Wetland,4,Savanna Formation,112,0.00%
11,Wetland,5,Mangrove,3633,0.00%
11,Wetland,9,Forest Plantation,965,0.00%
11,Wetland,15,Pasture,173,0.00%
11,Wetland,20,Sugar Cane,245,0.00%
11,Wetland,21,Mosaic of Uses,44596,0.02%
11,Wetland,23,Beach and Sand,70,0.00%
11,Wetland,24,Urban Area,1223,0.00%
11,Wetland,25,Other non Vegetated Areas,144,0.00%
11,Wetland,31,Aquaculture,897,0.00%
11,Wetland,32,Hypersaline Tidal Flat,2090,0.00%
11,Wetland,33,River Lake and Ocean,19427,0.01%
11,Wetland,41,Other Temporary Crops,7190,0.00%
11,Wetland,48,Other Perennial Crops,12,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,6,0.00%
11,Wetland,50,Herbaceous Sandbank Vegetation,44,0.00%
12,Grassland,3,Forest Formation,49,0.00%
12,Grassland,4,Savanna Formation,469702,0.24%
12,Grassland,15,Pasture,1274185,0.66%
12,Grassland,20,Sugar Cane,11,0.00%
12,Grassland,21,Mosaic of Uses,1520696,0.79%
12,Grassland,24,Urban Area,6805,0.00%
12,Grassland,25,Other non Vegetated Areas,94893,0.05%
