From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,432486,0.67%
3,Forest Formation,5,Mangrove,6510,0.01%
3,Forest Formation,9,Forest Plantation,840,0.00%
3,Forest Formation,11,Wetland,88,0.00%
3,Forest Formation,12,Grassland,454,0.00%
3,Forest Formation,15,Pasture,244215,0.38%
3,Forest Formation,20,Sugar Cane,3949,0.01%
3,Forest Formation,21,Mosaic of Uses,594476,0.92%
3,Forest Formation,23,Beach and Sand,46,0.00%
3,Forest Formation,24,Urban Area,1128,0.00%
3,Forest Formation,25,Other non Vegetated Areas,346,0.00%
3,Forest Formation,30,Mining,96,0.00%
3,Forest Formation,31,Aquaculture,328,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,112,0.00%
3,Forest Formation,33,River Lake and Ocean,28633,0.04%
3,Forest Formation,41,Other Temporary Crops,2207,0.00%
3,Forest Formation,48,Other Perennial Crops,12657,0.02%
4,Savanna Formation,3,Forest Formation,480477,0.75%
4,Savanna Formation,9,Forest Plantation,121,0.00%
4,Savanna Formation,12,Grassland,171545,0.27%
4,Savanna Formation,15,Pasture,6339376,9.86%
4,Savanna Formation,20,Sugar Cane,14971,0.02%
4,Savanna Formation,21,Mosaic of Uses,7981659,12.41%
4,Savanna Formation,24,Urban Area,10984,0.02%
4,Savanna Formation,25,Other non Vegetated Areas,62657,0.10%
4,Savanna Formation,30,Mining,1115,0.00%
4,Savanna Formation,33,River Lake and Ocean,301027,0.47%
4,Savanna Formation,39,Soybean,1,0.00%
4,Savanna Formation,41,Other Temporary Crops,53181,0.08%
4,Savanna Formation,48,Other Perennial Crops,116766,0.18%
5,Mangrove,3,Forest Formation,6839,0.01%
5,Mangrove,11,Wetland,477,0.00%
5,Mangrove,20,Sugar Cane,30,0.00%
5,Mangrove,21,Mosaic of Uses,2556,0.00%
5,Mangrove,23,Beach and Sand,14,0.00%
5,Mangrove,24,Urban Area,162,0.00%
5,Mangrove,25,Other non Vegetated Areas,32,0.00%
5,Mangrove,30,Mining,4,0.00%
5,Mangrove,31,Aquaculture,61,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,1033,0.00%
5,Mangrove,33,River Lake and Ocean,10351,0.02%
9,Forest Plantation,3,Forest Formation,250,0.00%
9,Forest Plantation,4,Savanna Formation,14,0.00%
9,Forest Plantation,11,Wetland,1,0.00%
9,Forest Plantation,15,Pasture,40,0.00%
9,Forest Plantation,21,Mosaic of Uses,289,0.00%
9,Forest Plantation,41,Other Temporary Crops,26,0.00%
11,Wetland,3,Forest Formation,98,0.00%
11,Wetland,4,Savanna Formation,1,0.00%
11,Wetland,5,Mangrove,451,0.00%
11,Wetland,9,Forest Plantation,1,0.00%
11,Wetland,15,Pasture,185,0.00%
11,Wetland,20,Sugar Cane,26,0.00%
11,Wetland,21,Mosaic of Uses,5237,0.01%
11,Wetland,23,Beach and Sand,4,0.00%
11,Wetland,24,Urban Area,308,0.00%
11,Wetland,25,Other non Vegetated Areas,37,0.00%
11,Wetland,31,Aquaculture,9,0.00%
11,Wetland,32,Hypersaline Tidal Flat,500,0.00%
11,Wetland,33,River Lake and Ocean,2841,0.00%
11,Wetland,41,Other Temporary Crops,10,0.00%
12,Grassland,3,Forest Formation,365,0.00%
12,Grassland,4,Savanna Formation,104894,0.16%
12,Grassland,15,Pasture,154645,0.24%
12,Grassland,20,Sugar Cane,3,0.00%
12,Grassland,21,Mosaic of Uses,449615,0.70%
12,Grassland,24,Urban Area,912,0.00%
12,Grassland,25,Other non Vegetated Areas,27928,0.04%
12,Grassland,30,Mining,22,0.00%
12,Grassland,33,River Lake and Ocean,32652,0.05%
12,Grassland,41,Other Temporary Crops,254,0.00%
12,Grassland,48,Other Perennial Crops,191,0.00%
15,Pasture,3,Forest Formation,190477,0.30%
15,Pasture,4,Savanna Formation,4533115,7.05%
15,Pasture,9,Forest Plantation,159,0.00%
15,Pasture,11,Wetland,7,0.00%
15,Pasture,12,Grassland,165648,0.26%
15,Pasture,20,Sugar Cane,96265,0.15%
15,Pasture,21,Mosaic of Uses,11378661,17.69%
15,Pasture,24,Urban Area,134575,0.21%
15,Pasture,25,Other non Vegetated Areas,264473,0.41%
15,Pasture,30,Mining,739,0.00%
15,Pasture,33,River Lake and Ocean,183242,0.28%
15,Pasture,39,Soybean,34,0.00%
15,Pasture,41,Other Temporary Crops,632226,0.98%
15,Pasture,48,Other Perennial Crops,163021,0.25%
20,Sugar Cane,3,Forest Formation,5618,0.01%
20,Sugar Cane,4,Savanna Formation,8256,0.01%
20,Sugar Cane,5,Mangrove,25,0.00%
20,Sugar Cane,9,Forest Plantation,128,0.00%
20,Sugar Cane,11,Wetland,21,0.00%
20,Sugar Cane,12,Grassland,2,0.00%
20,Sugar Cane,15,Pasture,124907,0.19%
20,Sugar Cane,21,Mosaic of Uses,188643,0.29%
20,Sugar Cane,23,Beach and Sand,67,0.00%
20,Sugar Cane,24,Urban Area,3837,0.01%
20,Sugar Cane,25,Other non Vegetated Areas,140,0.00%
20,Sugar Cane,30,Mining,245,0.00%
