From_Class,From_Label,To_Class,To_Label,Count
3,Forest Formation,15,Pasture,1246734
3,Forest Formation,21,Mosaic of Uses,9274362
3,Forest Formation,41,Other Temporary Crops,616270
3,Forest Formation,0,No data,10228
3,Forest Formation,39,Soybean,484009
3,Forest Formation,9,Forest Plantation,1832483
3,Forest Formation,33,River Lake and Ocean,314077
3,Forest Formation,11,Wetland,140713
3,Forest Formation,49,Wooded Sandbank Vegetation,2770
3,Forest Formation,24,Urban Area,15876
3,Forest Formation,46,Coffee,34411
3,Forest Formation,20,Sugar Cane,8973
3,Forest Formation,12,Grassland,32565
3,Forest Formation,25,Other non Vegetated Areas,13487
3,Forest Formation,48,Other Perennial Crops,15146
3,Forest Formation,5,Mangrove,57
3,Forest Formation,29,Rocky Outcrop,698
3,Forest Formation,4,Savanna Formation,25193
3,Forest Formation,47,Citrus,24398
3,Forest Formation,50,Herbaceous Sandbank Vegetation,12
3,Forest Formation,30,Mining,3407
3,Forest Formation,40,Rice,1801
3,Forest Formation,32,Hypersaline Tidal Flat,1
3,Forest Formation,31,Aquaculture,1
15,Pasture,3,Forest Formation,699267
15,Pasture,21,Mosaic of Uses,27583388
15,Pasture,41,Other Temporary Crops,5214015
15,Pasture,0,No data,912
15,Pasture,39,Soybean,3561150
15,Pasture,9,Forest Plantation,512874
15,Pasture,33,River Lake and Ocean,74337
15,Pasture,11,Wetland,264757
15,Pasture,49,Wooded Sandbank Vegetation,1546
15,Pasture,24,Urban Area,102679
15,Pasture,46,Coffee,112193
15,Pasture,20,Sugar Cane,477249
15,Pasture,12,Grassland,63593
15,Pasture,25,Other non Vegetated Areas,14256
15,Pasture,48,Other Perennial Crops,32713
15,Pasture,5,Mangrove,1
15,Pasture,29,Rocky Outcrop,1639
15,Pasture,4,Savanna Formation,42090
15,Pasture,47,Citrus,62738
15,Pasture,50,Herbaceous Sandbank Vegetation,54
15,Pasture,30,Mining,1866
15,Pasture,23,Beach and Sand,2
15,Pasture,40,Rice,24567
15,Pasture,32,Hypersaline Tidal Flat,29
15,Pasture,62,Cotton,5
21,Mosaic of Uses,3,Forest Formation,8427791
21,Mosaic of Uses,15,Pasture,19891204
21,Mosaic of Uses,41,Other Temporary Crops,8155872
21,Mosaic of Uses,0,No data,8718
21,Mosaic of Uses,39,Soybean,6360731
21,Mosaic of Uses,9,Forest Plantation,2353696
21,Mosaic of Uses,33,River Lake and Ocean,577803
21,Mosaic of Uses,11,Wetland,273421
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,113366
21,Mosaic of Uses,24,Urban Area,406126
21,Mosaic of Uses,46,Coffee,229356
21,Mosaic of Uses,20,Sugar Cane,3002637
21,Mosaic of Uses,12,Grassland,43562
21,Mosaic of Uses,25,Other non Vegetated Areas,143108
21,Mosaic of Uses,48,Other Perennial Crops,56528
21,Mosaic of Uses,5,Mangrove,1661
21,Mosaic of Uses,29,Rocky Outcrop,732
21,Mosaic of Uses,4,Savanna Formation,77140
21,Mosaic of Uses,47,Citrus,151331
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,859
21,Mosaic of Uses,30,Mining,6805
21,Mosaic of Uses,23,Beach and Sand,113
21,Mosaic of Uses,40,Rice,104324
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1135
21,Mosaic of Uses,31,Aquaculture,127
41,Other Temporary Crops,3,Forest Formation,605250
41,Other Temporary Crops,15,Pasture,5261301
41,Other Temporary Crops,21,Mosaic of Uses,5487748
41,Other Temporary Crops,0,No data,438
41,Other Temporary Crops,39,Soybean,47175535
41,Other Temporary Crops,9,Forest Plantation,789048
41,Other Temporary Crops,33,River Lake and Ocean,101560
41,Other Temporary Crops,11,Wetland,79179
41,Other Temporary Crops,49,Wooded Sandbank Vegetation,2758
41,Other Temporary Crops,24,Urban Area,170105
41,Other Temporary Crops,46,Coffee,146482
41,Other Temporary Crops,20,Sugar Cane,2475829
41,Other Temporary Crops,12,Grassland,25323
41,Other Temporary Crops,25,Other non Vegetated Areas,26189
41,Other Temporary Crops,48,Other Perennial Crops,20262
41,Other Temporary Crops,5,Mangrove,16
41,Other Temporary Crops,29,Rocky Outcrop,81
41,Other Temporary Crops,4,Savanna Formation,2146
41,Other Temporary Crops,47,Citrus,17102
41,Other Temporary Crops,50,Herbaceous Sandbank Vegetation,120
41,Other Temporary Crops,30,Mining,1095
41,Other Temporary Crops,23,Beach and Sand,3
41,Other Temporary Crops,40,Rice,167100
41,Other Temporary Crops,32,Hypersaline Tidal Flat,2
0,No data,3,Forest Formation,11011
0,No data,15,Pasture,791
0,No data,21,Mosaic of Uses,8222
0,No data,41,Other Temporary Crops,374
0,No data,39,Soybean,296
0,No data,9,Forest Plantation,349
0,No data,33,River Lake and Ocean,457
0,No data,11,Wetland,140
0,No data,49,Wooded Sandbank Vegetation,62
0,No data,24,Urban Area,18
0,No data,46,Coffee,5
0,No data,20,Sugar Cane,11
0,No data,12,Grassland,3
0,No data,25,Other non Vegetated Areas,4
0,No data,48,Other Perennial Crops,6
0,No data,5,Mangrove,5
0,No data,29,Rocky Outcrop,12
0,No data,40,Rice,3
0,No data,32,Hypersaline Tidal Flat,1
39,Soybean,3,Forest Formation,216707
39,Soybean,15,Pasture,737375
39,Soybean,21,Mosaic of Uses,904254
39,Soybean,41,Other Temporary Crops,38566520
39,Soybean,0,No data,234
39,Soybean,9,Forest Plantation,59449
39,Soybean,33,River Lake and Ocean,22967
39,Soybean,11,Wetland,13145
39,Soybean,49,Wooded Sandbank Vegetation,47
39,Soybean,24,Urban Area,77884
39,Soybean,46,Coffee,5708
39,Soybean,20,Sugar Cane,777672
39,Soybean,12,Grassland,2055
39,Soybean,25,Other non Vegetated Areas,2418
39,Soybean,48,Other Perennial Crops,2385
39,Soybean,29,Rocky Outcrop,96
39,Soybean,4,Savanna Formation,945
39,Soybean,47,Citrus,4893
39,Soybean,50,Herbaceous Sandbank Vegetation,10
39,Soybean,30,Mining,447
39,Soybean,40,Rice,233
39,Soybean,62,Cotton,658
9,Forest Plantation,3,Forest Formation,646231
9,Forest Plantation,15,Pasture,98401
9,Forest Plantation,21,Mosaic of Uses,474342
9,Forest Plantation,41,Other Temporary Crops,67510
9,Forest Plantation,0,No data,120
9,Forest Plantation,39,Soybean,84856
9,Forest Plantation,33,River Lake and Ocean,4910
9,Forest Plantation,11,Wetland,4770
9,Forest Plantation,49,Wooded Sandbank Vegetation,9763
9,Forest Plantation,24,Urban Area,3746
9,Forest Plantation,46,Coffee,781
9,Forest Plantation,20,Sugar Cane,10460
9,Forest Plantation,12,Grassland,16481
9,Forest Plantation,25,Other non Vegetated Areas,3279
9,Forest Plantation,48,Other Perennial Crops,73
9,Forest Plantation,5,Mangrove,3
9,Forest Plantation,29,Rocky Outcrop,39
9,Forest Plantation,4,Savanna Formation,3541
9,Forest Plantation,47,Citrus,390
9,Forest Plantation,30,Mining,263
9,Forest Plantation,40,Rice,476
33,River Lake and Ocean,3,Forest Formation,295393
33,River Lake and Ocean,15,Pasture,28109
33,River Lake and Ocean,21,Mosaic of Uses,538656
33,River Lake and Ocean,41,Other Temporary Crops,79259
33,River Lake and Ocean,0,No data,517
33,River Lake and Ocean,39,Soybean,15070
33,River Lake and Ocean,9,Forest Plantation,2894
33,River Lake and Ocean,11,Wetland,145390
33,River Lake and Ocean,49,Wooded Sandbank Vegetation,27281
33,River Lake and Ocean,24,Urban Area,7193
33,River Lake and Ocean,46,Coffee,7
33,River Lake and Ocean,20,Sugar Cane,777
33,River Lake and Ocean,12,Grassland,12541
33,River Lake and Ocean,25,Other non Vegetated Areas,19774
33,River Lake and Ocean,48,Other Perennial Crops,61
33,River Lake and Ocean,5,Mangrove,24258
33,River Lake and Ocean,29,Rocky Outcrop,57
33,River Lake and Ocean,4,Savanna Formation,1161
33,River Lake and Ocean,47,Citrus,9
33,River Lake and Ocean,50,Herbaceous Sandbank Vegetation,707
33,River Lake and Ocean,30,Mining,1013
33,River Lake and Ocean,23,Beach and Sand,4146
33,River Lake and Ocean,40,Rice,3624
33,River Lake and Ocean,32,Hypersaline Tidal Flat,846
33,River Lake and Ocean,31,Aquaculture,872
11,Wetland,3,Forest Formation,245283
11,Wetland,15,Pasture,249269
11,Wetland,21,Mosaic of Uses,325370
11,Wetland,41,Other Temporary Crops,73315
11,Wetland,0,No data,138
11,Wetland,39,Soybean,31460
11,Wetland,9,Forest Plantation,18997
11,Wetland,33,River Lake and Ocean,130780
11,Wetland,49,Wooded Sandbank Vegetation,13
11,Wetland,24,Urban Area,1615
11,Wetland,46,Coffee,293
11,Wetland,20,Sugar Cane,2291
11,Wetland,12,Grassland,18614
11,Wetland,25,Other non Vegetated Areas,3856
11,Wetland,48,Other Perennial Crops,4922
11,Wetland,29,Rocky Outcrop,510
11,Wetland,4,Savanna Formation,19087
11,Wetland,47,Citrus,6947
11,Wetland,50,Herbaceous Sandbank Vegetation,3
11,Wetland,30,Mining,270
11,Wetland,40,Rice,7
11,Wetland,31,Aquaculture,3
49,Wooded Sandbank Vegetation,3,Forest Formation,3033
49,Wooded Sandbank Vegetation,15,Pasture,13495
49,Wooded Sandbank Vegetation,21,Mosaic of Uses,199582
49,Wooded Sandbank Vegetation,41,Other Temporary Crops,2325
49,Wooded Sandbank Vegetation,0,No data,70
49,Wooded Sandbank Vegetation,39,Soybean,183
49,Wooded Sandbank Vegetation,9,Forest Plantation,9552
49,Wooded Sandbank Vegetation,33,River Lake and Ocean,23527
49,Wooded Sandbank Vegetation,11,Wetland,7
49,Wooded Sandbank Vegetation,24,Urban Area,6395
49,Wooded Sandbank Vegetation,25,Other non Vegetated Areas,830
49,Wooded Sandbank Vegetation,5,Mangrove,38136
49,Wooded Sandbank Vegetation,29,Rocky Outcrop,16
49,Wooded Sandbank Vegetation,50,Herbaceous Sandbank Vegetation,466
49,Wooded Sandbank Vegetation,30,Mining,3
49,Wooded Sandbank Vegetation,23,Beach and Sand,17
49,Wooded Sandbank Vegetation,40,Rice,26068
49,Wooded Sandbank Vegetation,32,Hypersaline Tidal Flat,256
49,Wooded Sandbank Vegetation,31,Aquaculture,6
24,Urban Area,3,Forest Formation,698
24,Urban Area,15,Pasture,3703
24,Urban Area,21,Mosaic of Uses,14536
24,Urban Area,41,Other Temporary Crops,7451
24,Urban Area,0,No data,2
24,Urban Area,39,Soybean,3943
24,Urban Area,9,Forest Plantation,97
24,Urban Area,33,River Lake and Ocean,3974
24,Urban Area,11,Wetland,297
24,Urban Area,49,Wooded Sandbank Vegetation,28
24,Urban Area,46,Coffee,729
24,Urban Area,20,Sugar Cane,88
24,Urban Area,12,Grassland,37
24,Urban Area,25,Other non Vegetated Areas,762
24,Urban Area,48,Other Perennial Crops,5
24,Urban Area,5,Mangrove,53
24,Urban Area,29,Rocky Outcrop,1
24,Urban Area,4,Savanna Formation,229
24,Urban Area,47,Citrus,4
24,Urban Area,50,Herbaceous Sandbank Vegetation,6
24,Urban Area,30,Mining,510
24,Urban Area,23,Beach and Sand,650
24,Urban Area,40,Rice,61
24,Urban Area,32,Hypersaline Tidal Flat,27
46,Coffee,3,Forest Formation,21681
46,Coffee,15,Pasture,222027
46,Coffee,21,Mosaic of Uses,271469
46,Coffee,41,Other Temporary Crops,247242
46,Coffee,0,No data,7
46,Coffee,39,Soybean,28520
46,Coffee,9,Forest Plantation,959
46,Coffee,33,River Lake and Ocean,17
46,Coffee,11,Wetland,530
46,Coffee,24,Urban Area,13246
46,Coffee,20,Sugar Cane,4282
46,Coffee,12,Grassland,81
46,Coffee,25,Other non Vegetated Areas,612
46,Coffee,48,Other Perennial Crops,622
46,Coffee,4,Savanna Formation,2077
46,Coffee,47,Citrus,318
20,Sugar Cane,3,Forest Formation,5966
20,Sugar Cane,15,Pasture,90860
20,Sugar Cane,21,Mosaic of Uses,1290500
20,Sugar Cane,41,Other Temporary Crops,1093959
20,Sugar Cane,0,No data,7
20,Sugar Cane,39,Soybean,1081865
20,Sugar Cane,9,Forest Plantation,17221
20,Sugar Cane,33,River Lake and Ocean,1274
20,Sugar Cane,11,Wetland,3423
20,Sugar Cane,24,Urban Area,3246
20,Sugar Cane,46,Coffee,1264
20,Sugar Cane,12,Grassland,465
20,Sugar Cane,25,Other non Vegetated Areas,1258
20,Sugar Cane,48,Other Perennial Crops,9258
20,Sugar Cane,4,Savanna Formation,836
20,Sugar Cane,47,Citrus,4249
20,Sugar Cane,40,Rice,8
12,Grassland,3,Forest Formation,22186
12,Grassland,15,Pasture,68315
12,Grassland,21,Mosaic of Uses,49045
12,Grassland,41,Other Temporary Crops,28987
12,Grassland,0,No data,2
12,Grassland,39,Soybean,10156
12,Grassland,9,Forest Plantation,31812
12,Grassland,33,River Lake and Ocean,10686
12,Grassland,11,Wetland,24917
12,Grassland,24,Urban Area,699
12,Grassland,46,Coffee,72
12,Grassland,20,Sugar Cane,148
12,Grassland,25,Other non Vegetated Areas,4915
12,Grassland,48,Other Perennial Crops,130
12,Grassland,29,Rocky Outcrop,947
12,Grassland,4,Savanna Formation,5908
12,Grassland,47,Citrus,303
12,Grassland,30,Mining,427
25,Other non Vegetated Areas,3,Forest Formation,5843
25,Other non Vegetated Areas,15,Pasture,51845
25,Other non Vegetated Areas,21,Mosaic of Uses,161396
25,Other non Vegetated Areas,41,Other Temporary Crops,8126
25,Other non Vegetated Areas,0,No data,5
25,Other non Vegetated Areas,39,Soybean,4653
25,Other non Vegetated Areas,9,Forest Plantation,3986
25,Other non Vegetated Areas,33,River Lake and Ocean,18533
25,Other non Vegetated Areas,11,Wetland,2420
25,Other non Vegetated Areas,49,Wooded Sandbank Vegetation,248
25,Other non Vegetated Areas,24,Urban Area,7115
25,Other non Vegetated Areas,46,Coffee,1218
25,Other non Vegetated Areas,20,Sugar Cane,4560
25,Other non Vegetated Areas,12,Grassland,3929
25,Other non Vegetated Areas,48,Other Perennial Crops,486
25,Other non Vegetated Areas,5,Mangrove,12
25,Other non Vegetated Areas,29,Rocky Outcrop,109
25,Other non Vegetated Areas,4,Savanna Formation,3505
25,Other non Vegetated Areas,47,Citrus,1318
25,Other non Vegetated Areas,50,Herbaceous Sandbank Vegetation,180
25,Other non Vegetated Areas,30,Mining,650
25,Other non Vegetated Areas,23,Beach and Sand,1698
25,Other non Vegetated Areas,40,Rice,68
25,Other non Vegetated Areas,32,Hypersaline Tidal Flat,11
25,Other non Vegetated Areas,31,Aquaculture,44
48,Other Perennial Crops,3,Forest Formation,12405
48,Other Perennial Crops,15,Pasture,64621
48,Other Perennial Crops,21,Mosaic of Uses,67789
48,Other Perennial Crops,41,Other Temporary Crops,16826
