Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
3,Forest Formation,#1f8d49,103670303,66792005,36878298,64.4%
15,Pasture,#edde8e,88923519,15249970,73673549,17.1%
21,Mosaic of Uses,#ffefc3,70856399,5413819,65442580,7.6%
41,Other Temporary Crops,#f54ca9,38288590,433014,37855576,1.1%
39,Soybean,#f5b3c8,20942166,6831656,14110510,32.6%
0,No data,#ffffff,20590657,20585363,5294,100.0%
9,Forest Plantation,#7a5900,7774788,5553146,2221642,71.4%
33,River Lake and Ocean,#259fe4,7374503,6335630,1038873,85.9%
11,Wetland,#519799,5749716,3727004,2022712,64.8%
49,Wooded Sandbank Vegetation,#02d659,3029180,2244231,784949,74.1%
24,Urban Area,#d4271e,1944132,1932201,11931,99.4%
46,Coffee,#d68fe2,1694238,65279,1628959,3.9%
20,Sugar Cane,#db7093,1408066,425437,982629,30.2%
12,Grassland,#d6bc74,694244,257318,436926,37.1%
25,Other non Vegetated Areas,#db4d4f,594945,11173,583772,1.9%
48,Other Perennial Crops,#e6ccff,432042,1203,430839,0.3%
5,Mangrove,#04381d,365778,225292,140486,61.6%
29,Rocky Outcrop,#ffaa5f,145449,136014,9435,93.5%
4,Savanna Formation,#7dc975,125594,21836,103758,17.4%
47,Citrus,#9932cc,74336,10273,64063,13.8%
50,Herbaceous Sandbank Vegetation,#ad5100,54306,42455,11851,78.2%
30,Mining,#9c0027,17095,16800,295,98.3%
23,Beach and Sand,#ffa07a,12422,2015,10407,16.2%
40,Rice,#c71585,11633,76,11557,0.7%
32,Hypersaline Tidal Flat,#fc8114,8133,1273,6860,15.7%
