From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,22673,0.01%
3,Forest Formation,5,Mangrove,52,0.00%
3,Forest Formation,9,Forest Plantation,1649235,0.84%
3,Forest Formation,11,Wetland,126642,0.06%
3,Forest Formation,12,Grassland,29308,0.01%
3,Forest Formation,15,Pasture,1122061,0.57%
3,Forest Formation,20,Sugar Cane,8076,0.00%
3,Forest Formation,21,Mosaic of Uses,8346926,4.27%
3,Forest Formation,24,Urban Area,14288,0.01%
3,Forest Formation,25,Other non Vegetated Areas,12138,0.01%
3,Forest Formation,29,Rocky Outcrop,628,0.00%
3,Forest Formation,30,Mining,3066,0.00%
3,Forest Formation,31,Aquaculture,1,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,1,0.00%
3,Forest Formation,33,River Lake and Ocean,282669,0.14%
3,Forest Formation,39,Soybean,435608,0.22%
3,Forest Formation,40,Rice,1620,0.00%
3,Forest Formation,41,Other Temporary Crops,554643,0.28%
3,Forest Formation,46,Coffee,30970,0.02%
3,Forest Formation,47,Citrus,21959,0.01%
3,Forest Formation,48,Other Perennial Crops,13631,0.01%
3,Forest Formation,49,Wooded Sandbank Vegetation,2493,0.00%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,10,0.00%
4,Savanna Formation,3,Forest Formation,32013,0.02%
4,Savanna Formation,9,Forest Plantation,2681,0.00%
4,Savanna Formation,11,Wetland,22756,0.01%
4,Savanna Formation,12,Grassland,3279,0.00%
4,Savanna Formation,15,Pasture,21476,0.01%
4,Savanna Formation,20,Sugar Cane,690,0.00%
4,Savanna Formation,21,Mosaic of Uses,50108,0.03%
4,Savanna Formation,24,Urban Area,1446,0.00%
4,Savanna Formation,25,Other non Vegetated Areas,1924,0.00%
4,Savanna Formation,29,Rocky Outcrop,11,0.00%
4,Savanna Formation,33,River Lake and Ocean,1011,0.00%
4,Savanna Formation,39,Soybean,1324,0.00%
4,Savanna Formation,41,Other Temporary Crops,1210,0.00%
4,Savanna Formation,46,Coffee,2928,0.00%
4,Savanna Formation,47,Citrus,15172,0.01%
4,Savanna Formation,48,Other Perennial Crops,2216,0.00%
5,Mangrove,3,Forest Formation,75,0.00%
5,Mangrove,9,Forest Plantation,8,0.00%
5,Mangrove,21,Mosaic of Uses,1965,0.00%
5,Mangrove,24,Urban Area,67,0.00%
5,Mangrove,25,Other non Vegetated Areas,27,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,627,0.00%
5,Mangrove,33,River Lake and Ocean,22139,0.01%
5,Mangrove,41,Other Temporary Crops,12,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,41526,0.02%
5,Mangrove,50,Herbaceous Sandbank Vegetation,3408,0.00%
9,Forest Plantation,3,Forest Formation,581607,0.30%
9,Forest Plantation,4,Savanna Formation,3187,0.00%
9,Forest Plantation,5,Mangrove,3,0.00%
9,Forest Plantation,11,Wetland,4293,0.00%
9,Forest Plantation,12,Grassland,14833,0.01%
9,Forest Plantation,15,Pasture,88561,0.05%
9,Forest Plantation,20,Sugar Cane,9414,0.00%
9,Forest Plantation,21,Mosaic of Uses,426908,0.22%
9,Forest Plantation,24,Urban Area,3371,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,2951,0.00%
9,Forest Plantation,29,Rocky Outcrop,35,0.00%
9,Forest Plantation,30,Mining,237,0.00%
9,Forest Plantation,33,River Lake and Ocean,4419,0.00%
9,Forest Plantation,39,Soybean,76370,0.04%
9,Forest Plantation,40,Rice,428,0.00%
9,Forest Plantation,41,Other Temporary Crops,60759,0.03%
9,Forest Plantation,46,Coffee,703,0.00%
9,Forest Plantation,47,Citrus,351,0.00%
9,Forest Plantation,48,Other Perennial Crops,66,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,8787,0.00%
11,Wetland,3,Forest Formation,220755,0.11%
11,Wetland,4,Savanna Formation,17178,0.01%
11,Wetland,9,Forest Plantation,17097,0.01%
11,Wetland,12,Grassland,16753,0.01%
11,Wetland,15,Pasture,224342,0.11%
11,Wetland,20,Sugar Cane,2062,0.00%
11,Wetland,21,Mosaic of Uses,292833,0.15%
11,Wetland,24,Urban Area,1453,0.00%
11,Wetland,25,Other non Vegetated Areas,3470,0.00%
11,Wetland,29,Rocky Outcrop,459,0.00%
11,Wetland,30,Mining,243,0.00%
11,Wetland,31,Aquaculture,2,0.00%
11,Wetland,33,River Lake and Ocean,117702,0.06%
11,Wetland,39,Soybean,28314,0.01%
11,Wetland,40,Rice,6,0.00%
11,Wetland,41,Other Temporary Crops,65983,0.03%
11,Wetland,46,Coffee,264,0.00%
11,Wetland,47,Citrus,6252,0.00%
11,Wetland,48,Other Perennial Crops,4430,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,12,0.00%
11,Wetland,50,Herbaceous Sandbank Vegetation,3,0.00%
12,Grassland,3,Forest Formation,19967,0.01%
12,Grassland,4,Savanna Formation,5317,0.00%
12,Grassland,9,Forest Plantation,28631,0.01%
12,Grassland,11,Wetland,22425,0.01%
12,Grassland,15,Pasture,61484,0.03%
12,Grassland,20,Sugar Cane,133,0.00%
12,Grassland,21,Mosaic of Uses,44140,0.02%
12,Grassland,24,Urban Area,629,0.00%
12,Grassland,25,Other non Vegetated Areas,4423,0.00%
12,Grassland,29,Rocky Outcrop,852,0.00%
12,Grassland,30,Mining,385,0.00%
12,Grassland,33,River Lake and Ocean,9618,0.00%
12,Grassland,39,Soybean,9140,0.00%
12,Grassland,41,Other Temporary Crops,26088,0.01%
12,Grassland,46,Coffee,65,0.00%
12,Grassland,47,Citrus,272,0.00%
12,Grassland,48,Other Perennial Crops,117,0.00%
15,Pasture,3,Forest Formation,629340,0.32%
15,Pasture,4,Savanna Formation,37881,0.02%
15,Pasture,5,Mangrove,1,0.00%
15,Pasture,9,Forest Plantation,461586,0.24%
15,Pasture,11,Wetland,238281,0.12%
15,Pasture,12,Grassland,57233,0.03%
15,Pasture,20,Sugar Cane,429524,0.22%
15,Pasture,21,Mosaic of Uses,24825049,12.70%
15,Pasture,23,Beach and Sand,2,0.00%
15,Pasture,24,Urban Area,92411,0.05%
15,Pasture,25,Other non Vegetated Areas,12831,0.01%
15,Pasture,29,Rocky Outcrop,1475,0.00%
15,Pasture,30,Mining,1680,0.00%
15,Pasture,32,Hypersaline Tidal Flat,26,0.00%
15,Pasture,33,River Lake and Ocean,66903,0.03%
15,Pasture,39,Soybean,3205035,1.64%
15,Pasture,40,Rice,22110,0.01%
15,Pasture,41,Other Temporary Crops,4692613,2.40%
15,Pasture,46,Coffee,100973,0.05%
15,Pasture,47,Citrus,56464,0.03%
15,Pasture,48,Other Perennial Crops,29442,0.02%
15,Pasture,49,Wooded Sandbank Vegetation,1391,0.00%
15,Pasture,50,Herbaceous Sandbank Vegetation,49,0.00%
15,Pasture,62,Cotton,5,0.00%
20,Sugar Cane,3,Forest Formation,5369,0.00%
20,Sugar Cane,4,Savanna Formation,753,0.00%
20,Sugar Cane,9,Forest Plantation,15498,0.01%
20,Sugar Cane,11,Wetland,3080,0.00%
20,Sugar Cane,12,Grassland,418,0.00%
20,Sugar Cane,15,Pasture,81774,0.04%
20,Sugar Cane,21,Mosaic of Uses,1161450,0.59%
20,Sugar Cane,24,Urban Area,2921,0.00%
20,Sugar Cane,25,Other non Vegetated Areas,1132,0.00%
20,Sugar Cane,33,River Lake and Ocean,1147,0.00%
20,Sugar Cane,39,Soybean,973678,0.50%
20,Sugar Cane,40,Rice,8,0.00%
20,Sugar Cane,41,Other Temporary Crops,984563,0.50%
20,Sugar Cane,46,Coffee,1138,0.00%
20,Sugar Cane,47,Citrus,3824,0.00%
20,Sugar Cane,48,Other Perennial Crops,8332,0.00%
21,Mosaic of Uses,3,Forest Formation,7585012,3.88%
21,Mosaic of Uses,4,Savanna Formation,69426,0.04%
21,Mosaic of Uses,5,Mangrove,1494,0.00%
21,Mosaic of Uses,9,Forest Plantation,2118327,1.08%
21,Mosaic of Uses,11,Wetland,246079,0.13%
21,Mosaic of Uses,12,Grassland,39206,0.02%
21,Mosaic of Uses,15,Pasture,17902083,9.16%
21,Mosaic of Uses,20,Sugar Cane,2702373,1.38%
21,Mosaic of Uses,23,Beach and Sand,101,0.00%
21,Mosaic of Uses,24,Urban Area,365513,0.19%
21,Mosaic of Uses,25,Other non Vegetated Areas,128797,0.07%
21,Mosaic of Uses,29,Rocky Outcrop,659,0.00%
21,Mosaic of Uses,30,Mining,6124,0.00%
21,Mosaic of Uses,31,Aquaculture,115,0.00%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1022,0.00%
21,Mosaic of Uses,33,River Lake and Ocean,520022,0.27%
21,Mosaic of Uses,39,Soybean,5724658,2.93%
