From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,5,Mangrove,32,0.00%
3,Forest Formation,9,Forest Plantation,44933,0.17%
3,Forest Formation,11,Wetland,138,0.00%
3,Forest Formation,12,Grassland,2715,0.01%
3,Forest Formation,15,Pasture,562831,2.14%
3,Forest Formation,21,Mosaic of Uses,1576453,6.00%
3,Forest Formation,23,Beach and Sand,1,0.00%
3,Forest Formation,24,Urban Area,3641,0.01%
3,Forest Formation,25,Other non Vegetated Areas,1271,0.00%
3,Forest Formation,29,Rocky Outcrop,545,0.00%
3,Forest Formation,30,Mining,504,0.00%
3,Forest Formation,31,Aquaculture,9,0.00%
3,Forest Formation,33,River Lake and Ocean,25954,0.10%
3,Forest Formation,39,Soybean,4,0.00%
3,Forest Formation,41,Other Temporary Crops,4780,0.02%
3,Forest Formation,46,Coffee,29492,0.11%
3,Forest Formation,48,Other Perennial Crops,634,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,819,0.00%
4,Savanna Formation,15,Pasture,1,0.00%
4,Savanna Formation,21,Mosaic of Uses,11,0.00%
5,Mangrove,3,Forest Formation,26,0.00%
5,Mangrove,11,Wetland,752,0.00%
5,Mangrove,15,Pasture,1,0.00%
5,Mangrove,21,Mosaic of Uses,644,0.00%
5,Mangrove,23,Beach and Sand,1,0.00%
5,Mangrove,24,Urban Area,288,0.00%
5,Mangrove,25,Other non Vegetated Areas,45,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,799,0.00%
5,Mangrove,33,River Lake and Ocean,6004,0.02%
5,Mangrove,49,Wooded Sandbank Vegetation,12684,0.05%
5,Mangrove,50,Herbaceous Sandbank Vegetation,1,0.00%
9,Forest Plantation,3,Forest Formation,20921,0.08%
9,Forest Plantation,12,Grassland,6903,0.03%
9,Forest Plantation,15,Pasture,12947,0.05%
9,Forest Plantation,21,Mosaic of Uses,53269,0.20%
9,Forest Plantation,24,Urban Area,33,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,79,0.00%
9,Forest Plantation,29,Rocky Outcrop,68,0.00%
9,Forest Plantation,30,Mining,14,0.00%
9,Forest Plantation,33,River Lake and Ocean,86,0.00%
9,Forest Plantation,39,Soybean,1,0.00%
9,Forest Plantation,41,Other Temporary Crops,3937,0.01%
9,Forest Plantation,46,Coffee,186,0.00%
11,Wetland,3,Forest Formation,135,0.00%
11,Wetland,5,Mangrove,776,0.00%
11,Wetland,15,Pasture,41026,0.16%
11,Wetland,21,Mosaic of Uses,51701,0.20%
11,Wetland,23,Beach and Sand,2023,0.01%
11,Wetland,24,Urban Area,2804,0.01%
11,Wetland,25,Other non Vegetated Areas,1577,0.01%
