From_Class,From_Label,To_Class,To_Label,Count
4,Savanna Formation,21,Mosaic of Uses,24153957
4,Savanna Formation,0,No data,1250
4,Savanna Formation,15,Pasture,10658766
4,Savanna Formation,33,River Lake and Ocean,1482634
4,Savanna Formation,3,Forest Formation,155126
4,Savanna Formation,12,Grassland,700154
4,Savanna Formation,20,Sugar Cane,3844
4,Savanna Formation,23,Beach and Sand,33474
4,Savanna Formation,25,Other non Vegetated Areas,167310
4,Savanna Formation,41,Other Temporary Crops,1148992
4,Savanna Formation,31,Aquaculture,12086
4,Savanna Formation,24,Urban Area,13635
4,Savanna Formation,5,Mangrove,7639
4,Savanna Formation,50,Herbaceous Sandbank Vegetation,5988
4,Savanna Formation,48,Other Perennial Crops,282184
4,Savanna Formation,11,Wetland,66
4,Savanna Formation,32,Hypersaline Tidal Flat,1664
4,Savanna Formation,29,Rocky Outcrop,1124
4,Savanna Formation,49,Wooded Sandbank Vegetation,171
4,Savanna Formation,30,Mining,2665
4,Savanna Formation,9,Forest Plantation,456
21,Mosaic of Uses,4,Savanna Formation,16719199
21,Mosaic of Uses,0,No data,504
21,Mosaic of Uses,15,Pasture,55144975
21,Mosaic of Uses,33,River Lake and Ocean,1628356
21,Mosaic of Uses,3,Forest Formation,563475
21,Mosaic of Uses,12,Grassland,1007760
21,Mosaic of Uses,20,Sugar Cane,91079
21,Mosaic of Uses,23,Beach and Sand,250920
21,Mosaic of Uses,25,Other non Vegetated Areas,473487
21,Mosaic of Uses,41,Other Temporary Crops,2887735
21,Mosaic of Uses,31,Aquaculture,18113
21,Mosaic of Uses,24,Urban Area,350794
21,Mosaic of Uses,5,Mangrove,5250
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,86110
21,Mosaic of Uses,48,Other Perennial Crops,250710
21,Mosaic of Uses,11,Wetland,17096
21,Mosaic of Uses,32,Hypersaline Tidal Flat,3457
21,Mosaic of Uses,29,Rocky Outcrop,1352
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,16740
21,Mosaic of Uses,30,Mining,952
21,Mosaic of Uses,9,Forest Plantation,77
0,No data,4,Savanna Formation,1852
0,No data,21,Mosaic of Uses,1508
0,No data,15,Pasture,3386
0,No data,33,River Lake and Ocean,354
0,No data,3,Forest Formation,89
0,No data,20,Sugar Cane,14
0,No data,23,Beach and Sand,531
0,No data,25,Other non Vegetated Areas,18
0,No data,41,Other Temporary Crops,221
0,No data,31,Aquaculture,5
0,No data,24,Urban Area,1
0,No data,50,Herbaceous Sandbank Vegetation,113
0,No data,48,Other Perennial Crops,1
0,No data,11,Wetland,238
0,No data,49,Wooded Sandbank Vegetation,1
0,No data,9,Forest Plantation,4
15,Pasture,4,Savanna Formation,7851926
15,Pasture,21,Mosaic of Uses,30562123
15,Pasture,0,No data,2111
15,Pasture,33,River Lake and Ocean,1251405
15,Pasture,3,Forest Formation,34184
15,Pasture,12,Grassland,1236321
15,Pasture,20,Sugar Cane,2100
15,Pasture,23,Beach and Sand,149750
15,Pasture,25,Other non Vegetated Areas,424622
15,Pasture,41,Other Temporary Crops,4622042
15,Pasture,31,Aquaculture,31680
15,Pasture,24,Urban Area,286021
15,Pasture,5,Mangrove,10
15,Pasture,50,Herbaceous Sandbank Vegetation,10451
15,Pasture,48,Other Perennial Crops,544534
15,Pasture,11,Wetland,7
15,Pasture,32,Hypersaline Tidal Flat,1458
15,Pasture,29,Rocky Outcrop,1036
15,Pasture,30,Mining,2572
33,River Lake and Ocean,4,Savanna Formation,1568293
33,River Lake and Ocean,21,Mosaic of Uses,1716136
33,River Lake and Ocean,0,No data,345
33,River Lake and Ocean,15,Pasture,1307515
33,River Lake and Ocean,3,Forest Formation,61003
33,River Lake and Ocean,12,Grassland,143105
33,River Lake and Ocean,20,Sugar Cane,1463
33,River Lake and Ocean,23,Beach and Sand,152032
33,River Lake and Ocean,25,Other non Vegetated Areas,219176
33,River Lake and Ocean,41,Other Temporary Crops,28334
33,River Lake and Ocean,31,Aquaculture,180099
33,River Lake and Ocean,24,Urban Area,10106
33,River Lake and Ocean,5,Mangrove,76113
33,River Lake and Ocean,50,Herbaceous Sandbank Vegetation,42670
33,River Lake and Ocean,48,Other Perennial Crops,1248
33,River Lake and Ocean,11,Wetland,12995
33,River Lake and Ocean,32,Hypersaline Tidal Flat,58879
33,River Lake and Ocean,29,Rocky Outcrop,89
33,River Lake and Ocean,49,Wooded Sandbank Vegetation,407
33,River Lake and Ocean,30,Mining,229
3,Forest Formation,4,Savanna Formation,109381
3,Forest Formation,21,Mosaic of Uses,455108
3,Forest Formation,0,No data,55
3,Forest Formation,15,Pasture,24305
3,Forest Formation,33,River Lake and Ocean,54947
3,Forest Formation,12,Grassland,148
3,Forest Formation,20,Sugar Cane,1289
3,Forest Formation,23,Beach and Sand,1522
3,Forest Formation,25,Other non Vegetated Areas,1869
3,Forest Formation,41,Other Temporary Crops,38917
3,Forest Formation,31,Aquaculture,848
3,Forest Formation,24,Urban Area,1697
3,Forest Formation,5,Mangrove,9876
3,Forest Formation,50,Herbaceous Sandbank Vegetation,118
3,Forest Formation,48,Other Perennial Crops,10441
3,Forest Formation,11,Wetland,523
