From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,109381,0.06%
3,Forest Formation,5,Mangrove,9876,0.01%
3,Forest Formation,9,Forest Plantation,21,0.00%
3,Forest Formation,11,Wetland,523,0.00%
3,Forest Formation,12,Grassland,148,0.00%
3,Forest Formation,15,Pasture,24305,0.01%
3,Forest Formation,20,Sugar Cane,1289,0.00%
3,Forest Formation,21,Mosaic of Uses,455108,0.25%
3,Forest Formation,23,Beach and Sand,1522,0.00%
3,Forest Formation,24,Urban Area,1697,0.00%
3,Forest Formation,25,Other non Vegetated Areas,1869,0.00%
3,Forest Formation,29,Rocky Outcrop,9,0.00%
3,Forest Formation,30,Mining,2,0.00%
3,Forest Formation,31,Aquaculture,848,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,203,0.00%
3,Forest Formation,33,River Lake and Ocean,54947,0.03%
3,Forest Formation,41,Other Temporary Crops,38917,0.02%
3,Forest Formation,48,Other Perennial Crops,10441,0.01%
3,Forest Formation,49,Wooded Sandbank Vegetation,99,0.00%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,118,0.00%
4,Savanna Formation,3,Forest Formation,155126,0.09%
4,Savanna Formation,5,Mangrove,7639,0.00%
4,Savanna Formation,9,Forest Plantation,456,0.00%
4,Savanna Formation,11,Wetland,66,0.00%
4,Savanna Formation,12,Grassland,700154,0.38%
4,Savanna Formation,15,Pasture,10658766,5.86%
4,Savanna Formation,20,Sugar Cane,3844,0.00%
4,Savanna Formation,21,Mosaic of Uses,24153957,13.28%
4,Savanna Formation,23,Beach and Sand,33474,0.02%
4,Savanna Formation,24,Urban Area,13635,0.01%
4,Savanna Formation,25,Other non Vegetated Areas,167310,0.09%
4,Savanna Formation,29,Rocky Outcrop,1124,0.00%
4,Savanna Formation,30,Mining,2665,0.00%
4,Savanna Formation,31,Aquaculture,12086,0.01%
4,Savanna Formation,32,Hypersaline Tidal Flat,1664,0.00%
4,Savanna Formation,33,River Lake and Ocean,1482634,0.82%
4,Savanna Formation,41,Other Temporary Crops,1148992,0.63%
4,Savanna Formation,48,Other Perennial Crops,282184,0.16%
4,Savanna Formation,49,Wooded Sandbank Vegetation,171,0.00%
4,Savanna Formation,50,Herbaceous Sandbank Vegetation,5988,0.00%
5,Mangrove,3,Forest Formation,11620,0.01%
5,Mangrove,4,Savanna Formation,9591,0.01%
5,Mangrove,11,Wetland,2252,0.00%
5,Mangrove,12,Grassland,126,0.00%
5,Mangrove,15,Pasture,20,0.00%
5,Mangrove,20,Sugar Cane,5,0.00%
5,Mangrove,21,Mosaic of Uses,3688,0.00%
5,Mangrove,23,Beach and Sand,665,0.00%
5,Mangrove,24,Urban Area,39,0.00%
5,Mangrove,25,Other non Vegetated Areas,85,0.00%
5,Mangrove,31,Aquaculture,3770,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,21030,0.01%
5,Mangrove,33,River Lake and Ocean,59152,0.03%
5,Mangrove,41,Other Temporary Crops,162,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,4,0.00%
5,Mangrove,50,Herbaceous Sandbank Vegetation,2767,0.00%
9,Forest Plantation,3,Forest Formation,21,0.00%
9,Forest Plantation,4,Savanna Formation,608,0.00%
9,Forest Plantation,11,Wetland,1,0.00%
9,Forest Plantation,21,Mosaic of Uses,91,0.00%
9,Forest Plantation,33,River Lake and Ocean,1,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,35,0.00%
9,Forest Plantation,50,Herbaceous Sandbank Vegetation,1,0.00%
11,Wetland,3,Forest Formation,756,0.00%
11,Wetland,4,Savanna Formation,113,0.00%
11,Wetland,5,Mangrove,2167,0.00%
11,Wetland,9,Forest Plantation,1,0.00%
11,Wetland,15,Pasture,105,0.00%
11,Wetland,20,Sugar Cane,175,0.00%
11,Wetland,21,Mosaic of Uses,31860,0.02%
11,Wetland,23,Beach and Sand,247,0.00%
11,Wetland,24,Urban Area,79,0.00%
11,Wetland,25,Other non Vegetated Areas,4,0.00%
11,Wetland,31,Aquaculture,937,0.00%
11,Wetland,32,Hypersaline Tidal Flat,1184,0.00%
11,Wetland,33,River Lake and Ocean,15658,0.01%
11,Wetland,41,Other Temporary Crops,5521,0.00%
11,Wetland,48,Other Perennial Crops,12,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,38,0.00%
11,Wetland,50,Herbaceous Sandbank Vegetation,198,0.00%
12,Grassland,3,Forest Formation,2117,0.00%
12,Grassland,4,Savanna Formation,452906,0.25%
12,Grassland,5,Mangrove,88,0.00%
12,Grassland,15,Pasture,1169043,0.64%
12,Grassland,21,Mosaic of Uses,1324249,0.73%
12,Grassland,23,Beach and Sand,6966,0.00%
12,Grassland,24,Urban Area,4133,0.00%
12,Grassland,25,Other non Vegetated Areas,56786,0.03%
12,Grassland,29,Rocky Outcrop,10,0.00%
12,Grassland,31,Aquaculture,5494,0.00%
12,Grassland,32,Hypersaline Tidal Flat,1113,0.00%
12,Grassland,33,River Lake and Ocean,133017,0.07%
12,Grassland,41,Other Temporary Crops,3743,0.00%
12,Grassland,48,Other Perennial Crops,142,0.00%
12,Grassland,50,Herbaceous Sandbank Vegetation,6,0.00%
15,Pasture,3,Forest Formation,34184,0.02%
15,Pasture,4,Savanna Formation,7851926,4.32%
15,Pasture,5,Mangrove,10,0.00%
15,Pasture,11,Wetland,7,0.00%
15,Pasture,12,Grassland,1236321,0.68%
15,Pasture,20,Sugar Cane,2100,0.00%
15,Pasture,21,Mosaic of Uses,30562123,16.81%
15,Pasture,23,Beach and Sand,149750,0.08%
15,Pasture,24,Urban Area,286021,0.16%
15,Pasture,25,Other non Vegetated Areas,424622,0.23%
15,Pasture,29,Rocky Outcrop,1036,0.00%
15,Pasture,30,Mining,2572,0.00%
15,Pasture,31,Aquaculture,31680,0.02%
15,Pasture,32,Hypersaline Tidal Flat,1458,0.00%
15,Pasture,33,River Lake and Ocean,1251405,0.69%
15,Pasture,41,Other Temporary Crops,4622042,2.54%
15,Pasture,48,Other Perennial Crops,544534,0.30%
15,Pasture,50,Herbaceous Sandbank Vegetation,10451,0.01%
20,Sugar Cane,3,Forest Formation,852,0.00%
20,Sugar Cane,4,Savanna Formation,1327,0.00%
20,Sugar Cane,5,Mangrove,2,0.00%
20,Sugar Cane,11,Wetland,146,0.00%
20,Sugar Cane,12,Grassland,2,0.00%
20,Sugar Cane,15,Pasture,2798,0.00%
20,Sugar Cane,21,Mosaic of Uses,68963,0.04%
20,Sugar Cane,23,Beach and Sand,150,0.00%
20,Sugar Cane,24,Urban Area,484,0.00%
20,Sugar Cane,25,Other non Vegetated Areas,110,0.00%
20,Sugar Cane,32,Hypersaline Tidal Flat,58,0.00%
20,Sugar Cane,33,River Lake and Ocean,1450,0.00%
20,Sugar Cane,41,Other Temporary Crops,83478,0.05%
20,Sugar Cane,48,Other Perennial Crops,6,0.00%
20,Sugar Cane,50,Herbaceous Sandbank Vegetation,2,0.00%
21,Mosaic of Uses,3,Forest Formation,563475,0.31%
21,Mosaic of Uses,4,Savanna Formation,16719199,9.19%
21,Mosaic of Uses,5,Mangrove,5250,0.00%
21,Mosaic of Uses,9,Forest Plantation,77,0.00%
21,Mosaic of Uses,11,Wetland,17096,0.01%
21,Mosaic of Uses,12,Grassland,1007760,0.55%
21,Mosaic of Uses,15,Pasture,55144975,30.32%
21,Mosaic of Uses,20,Sugar Cane,91079,0.05%
21,Mosaic of Uses,23,Beach and Sand,250920,0.14%
21,Mosaic of Uses,24,Urban Area,350794,0.19%
21,Mosaic of Uses,25,Other non Vegetated Areas,473487,0.26%
21,Mosaic of Uses,29,Rocky Outcrop,1352,0.00%
21,Mosaic of Uses,30,Mining,952,0.00%
21,Mosaic of Uses,31,Aquaculture,18113,0.01%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,3457,0.00%
21,Mosaic of Uses,33,River Lake and Ocean,1628356,0.90%
21,Mosaic of Uses,41,Other Temporary Crops,2887735,1.59%
21,Mosaic of Uses,48,Other Perennial Crops,250710,0.14%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,16740,0.01%
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,86110,0.05%
23,Beach and Sand,3,Forest Formation,788,0.00%
23,Beach and Sand,4,Savanna Formation,25060,0.01%
23,Beach and Sand,5,Mangrove,688,0.00%
23,Beach and Sand,11,Wetland,161,0.00%
23,Beach and Sand,12,Grassland,7675,0.00%
23,Beach and Sand,15,Pasture,181108,0.10%
23,Beach and Sand,20,Sugar Cane,242,0.00%
23,Beach and Sand,21,Mosaic of Uses,260659,0.14%
23,Beach and Sand,24,Urban Area,54541,0.03%
