Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
12,Grassland,#d6bc74,143389001,58978073,84410928,41.1%
0,No data,#ffffff,92496684,92347483,149201,99.8%
3,Forest Formation,#1f8d49,79676364,51890721,27785643,65.1%
41,Other Temporary Crops,#f54ca9,53603124,1103853,52499271,2.1%
21,Mosaic of Uses,#ffefc3,44196263,3483833,40712430,7.9%
33,River Lake and Ocean,#259fe4,26377770,24341471,2036299,92.3%
39,Soybean,#f5b3c8,17328763,10727826,6600937,61.9%
15,Pasture,#edde8e,13340903,1393292,11947611,10.4%
40,Rice,#c71585,5737726,40044,5697682,0.7%
11,Wetland,#519799,4469376,3112594,1356782,69.6%
9,Forest Plantation,#7a5900,2239588,1793732,445856,80.1%
25,Other non Vegetated Areas,#db4d4f,2222446,241692,1980754,10.9%
23,Beach and Sand,#ffa07a,1801320,881023,920297,48.9%
24,Urban Area,#d4271e,1775296,1760094,15202,99.1%
50,Herbaceous Sandbank Vegetation,#ad5100,1474065,443422,1030643,30.1%
49,Wooded Sandbank Vegetation,#02d659,1042824,426790,616034,40.9%
29,Rocky Outcrop,#ffaa5f,299574,273481,26093,91.3%
30,Mining,#9c0027,18193,18114,79,99.6%
