From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,5,Mangrove,116,0.00%
3,Forest Formation,9,Forest Plantation,7589199,2.15%
3,Forest Formation,11,Wetland,41583,0.01%
3,Forest Formation,12,Grassland,646798,0.18%
3,Forest Formation,15,Pasture,2688684,0.76%
3,Forest Formation,21,Mosaic of Uses,24859031,7.03%
3,Forest Formation,23,Beach and Sand,5,0.00%
3,Forest Formation,24,Urban Area,91510,0.03%
3,Forest Formation,25,Other non Vegetated Areas,30808,0.01%
3,Forest Formation,29,Rocky Outcrop,355,0.00%
3,Forest Formation,30,Mining,5521,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,5,0.00%
3,Forest Formation,33,River Lake and Ocean,1174987,0.33%
3,Forest Formation,39,Soybean,1785183,0.51%
3,Forest Formation,40,Rice,46747,0.01%
3,Forest Formation,41,Other Temporary Crops,2716368,0.77%
3,Forest Formation,49,Wooded Sandbank Vegetation,7207,0.00%
5,Mangrove,3,Forest Formation,132,0.00%
5,Mangrove,9,Forest Plantation,3119,0.00%
5,Mangrove,11,Wetland,3,0.00%
5,Mangrove,15,Pasture,10,0.00%
5,Mangrove,21,Mosaic of Uses,11563,0.00%
5,Mangrove,23,Beach and Sand,1,0.00%
5,Mangrove,24,Urban Area,336,0.00%
5,Mangrove,25,Other non Vegetated Areas,17,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,2735,0.00%
5,Mangrove,33,River Lake and Ocean,31884,0.01%
5,Mangrove,41,Other Temporary Crops,50,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,45698,0.01%
5,Mangrove,50,Herbaceous Sandbank Vegetation,163,0.00%
9,Forest Plantation,3,Forest Formation,2218598,0.63%
9,Forest Plantation,5,Mangrove,1657,0.00%
9,Forest Plantation,11,Wetland,992,0.00%
9,Forest Plantation,12,Grassland,69277,0.02%
9,Forest Plantation,15,Pasture,248816,0.07%
9,Forest Plantation,21,Mosaic of Uses,935054,0.26%
9,Forest Plantation,24,Urban Area,8010,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,3402,0.00%
9,Forest Plantation,29,Rocky Outcrop,24,0.00%
9,Forest Plantation,30,Mining,129,0.00%
9,Forest Plantation,31,Aquaculture,28,0.00%
9,Forest Plantation,32,Hypersaline Tidal Flat,45,0.00%
9,Forest Plantation,33,River Lake and Ocean,11528,0.00%
9,Forest Plantation,39,Soybean,132469,0.04%
9,Forest Plantation,40,Rice,4820,0.00%
9,Forest Plantation,41,Other Temporary Crops,289080,0.08%
9,Forest Plantation,49,Wooded Sandbank Vegetation,53352,0.02%
11,Wetland,3,Forest Formation,52472,0.01%
11,Wetland,5,Mangrove,3,0.00%
11,Wetland,9,Forest Plantation,3394,0.00%
11,Wetland,12,Grassland,36237,0.01%
11,Wetland,15,Pasture,31939,0.01%
11,Wetland,21,Mosaic of Uses,104639,0.03%
