From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,82007,0.58%
3,Forest Formation,5,Mangrove,4477,0.03%
3,Forest Formation,9,Forest Plantation,10127,0.07%
3,Forest Formation,11,Wetland,196,0.00%
3,Forest Formation,12,Grassland,117,0.00%
3,Forest Formation,15,Pasture,261862,1.86%
3,Forest Formation,20,Sugar Cane,477,0.00%
3,Forest Formation,21,Mosaic of Uses,181042,1.29%
3,Forest Formation,23,Beach and Sand,19,0.00%
3,Forest Formation,24,Urban Area,193,0.00%
3,Forest Formation,25,Other non Vegetated Areas,45,0.00%
3,Forest Formation,30,Mining,34,0.00%
3,Forest Formation,31,Aquaculture,44,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,77,0.00%
3,Forest Formation,33,River Lake and Ocean,6654,0.05%
3,Forest Formation,41,Other Temporary Crops,262,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,3,0.00%
4,Savanna Formation,3,Forest Formation,67861,0.48%
4,Savanna Formation,5,Mangrove,4,0.00%
4,Savanna Formation,9,Forest Plantation,868,0.01%
4,Savanna Formation,11,Wetland,10,0.00%
4,Savanna Formation,12,Grassland,1232,0.01%
4,Savanna Formation,15,Pasture,1763495,12.56%
4,Savanna Formation,20,Sugar Cane,1210,0.01%
4,Savanna Formation,21,Mosaic of Uses,715815,5.10%
4,Savanna Formation,24,Urban Area,553,0.00%
4,Savanna Formation,25,Other non Vegetated Areas,1769,0.01%
4,Savanna Formation,30,Mining,114,0.00%
4,Savanna Formation,31,Aquaculture,6,0.00%
4,Savanna Formation,32,Hypersaline Tidal Flat,16,0.00%
4,Savanna Formation,33,River Lake and Ocean,31665,0.23%
4,Savanna Formation,41,Other Temporary Crops,2484,0.02%
4,Savanna Formation,48,Other Perennial Crops,130,0.00%
5,Mangrove,3,Forest Formation,4946,0.04%
5,Mangrove,4,Savanna Formation,6,0.00%
5,Mangrove,9,Forest Plantation,20,0.00%
5,Mangrove,11,Wetland,1105,0.01%
5,Mangrove,12,Grassland,1,0.00%
5,Mangrove,15,Pasture,163,0.00%
5,Mangrove,20,Sugar Cane,21,0.00%
5,Mangrove,21,Mosaic of Uses,2662,0.02%
5,Mangrove,23,Beach and Sand,12,0.00%
5,Mangrove,24,Urban Area,97,0.00%
5,Mangrove,25,Other non Vegetated Areas,29,0.00%
5,Mangrove,31,Aquaculture,89,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,1558,0.01%
5,Mangrove,33,River Lake and Ocean,21052,0.15%
5,Mangrove,49,Wooded Sandbank Vegetation,1805,0.01%
9,Forest Plantation,3,Forest Formation,1892,0.01%
9,Forest Plantation,4,Savanna Formation,152,0.00%
9,Forest Plantation,5,Mangrove,17,0.00%
9,Forest Plantation,11,Wetland,7,0.00%
9,Forest Plantation,12,Grassland,45,0.00%
9,Forest Plantation,15,Pasture,1256,0.01%
9,Forest Plantation,20,Sugar Cane,1,0.00%
9,Forest Plantation,21,Mosaic of Uses,653,0.00%
9,Forest Plantation,23,Beach and Sand,6,0.00%
9,Forest Plantation,41,Other Temporary Crops,1,0.00%
11,Wetland,3,Forest Formation,177,0.00%
11,Wetland,4,Savanna Formation,11,0.00%
11,Wetland,5,Mangrove,828,0.01%
11,Wetland,9,Forest Plantation,17,0.00%
11,Wetland,15,Pasture,15191,0.11%
11,Wetland,20,Sugar Cane,108,0.00%
11,Wetland,21,Mosaic of Uses,11392,0.08%
11,Wetland,23,Beach and Sand,671,0.00%
11,Wetland,24,Urban Area,403,0.00%
11,Wetland,25,Other non Vegetated Areas,121,0.00%
11,Wetland,31,Aquaculture,100,0.00%
11,Wetland,32,Hypersaline Tidal Flat,521,0.00%
11,Wetland,33,River Lake and Ocean,23680,0.17%
11,Wetland,41,Other Temporary Crops,27,0.00%
11,Wetland,49,Wooded Sandbank Vegetation,116,0.00%
12,Grassland,3,Forest Formation,147,0.00%
12,Grassland,4,Savanna Formation,707,0.01%
12,Grassland,5,Mangrove,1,0.00%
12,Grassland,9,Forest Plantation,336,0.00%
12,Grassland,15,Pasture,25303,0.18%
12,Grassland,20,Sugar Cane,5,0.00%
12,Grassland,21,Mosaic of Uses,8577,0.06%
12,Grassland,24,Urban Area,589,0.00%
12,Grassland,25,Other non Vegetated Areas,237,0.00%
12,Grassland,30,Mining,29,0.00%
12,Grassland,32,Hypersaline Tidal Flat,11,0.00%
12,Grassland,33,River Lake and Ocean,1531,0.01%
12,Grassland,41,Other Temporary Crops,27,0.00%
15,Pasture,3,Forest Formation,171712,1.22%
15,Pasture,4,Savanna Formation,1314245,9.36%
15,Pasture,5,Mangrove,169,0.00%
15,Pasture,9,Forest Plantation,5384,0.04%
15,Pasture,11,Wetland,5881,0.04%
15,Pasture,12,Grassland,6092,0.04%
15,Pasture,20,Sugar Cane,30741,0.22%
15,Pasture,21,Mosaic of Uses,2733108,19.46%
15,Pasture,23,Beach and Sand,20287,0.14%
15,Pasture,24,Urban Area,58028,0.41%
15,Pasture,25,Other non Vegetated Areas,26003,0.19%
15,Pasture,30,Mining,1378,0.01%
15,Pasture,31,Aquaculture,1379,0.01%
15,Pasture,32,Hypersaline Tidal Flat,220,0.00%
15,Pasture,33,River Lake and Ocean,39866,0.28%
15,Pasture,41,Other Temporary Crops,606297,4.32%
15,Pasture,49,Wooded Sandbank Vegetation,2891,0.02%
20,Sugar Cane,3,Forest Formation,142,0.00%
20,Sugar Cane,4,Savanna Formation,512,0.00%
20,Sugar Cane,5,Mangrove,23,0.00%
20,Sugar Cane,9,Forest Plantation,5,0.00%
20,Sugar Cane,11,Wetland,123,0.00%
20,Sugar Cane,12,Grassland,8,0.00%
20,Sugar Cane,15,Pasture,35992,0.26%
20,Sugar Cane,21,Mosaic of Uses,41720,0.30%
20,Sugar Cane,23,Beach and Sand,130,0.00%
20,Sugar Cane,24,Urban Area,242,0.00%
20,Sugar Cane,25,Other non Vegetated Areas,47,0.00%
20,Sugar Cane,30,Mining,7,0.00%
20,Sugar Cane,31,Aquaculture,231,0.00%
20,Sugar Cane,32,Hypersaline Tidal Flat,74,0.00%
20,Sugar Cane,33,River Lake and Ocean,2426,0.02%
20,Sugar Cane,41,Other Temporary Crops,79,0.00%
20,Sugar Cane,49,Wooded Sandbank Vegetation,3,0.00%
21,Mosaic of Uses,3,Forest Formation,236893,1.69%
21,Mosaic of Uses,4,Savanna Formation,531103,3.78%
21,Mosaic of Uses,5,Mangrove,2932,0.02%
21,Mosaic of Uses,9,Forest Plantation,3787,0.03%
21,Mosaic of Uses,11,Wetland,8022,0.06%
21,Mosaic of Uses,12,Grassland,8258,0.06%
21,Mosaic of Uses,15,Pasture,4077405,29.03%
21,Mosaic of Uses,20,Sugar Cane,43667,0.31%
21,Mosaic of Uses,23,Beach and Sand,3872,0.03%
21,Mosaic of Uses,24,Urban Area,16598,0.12%
21,Mosaic of Uses,25,Other non Vegetated Areas,13603,0.10%
21,Mosaic of Uses,30,Mining,518,0.00%
21,Mosaic of Uses,31,Aquaculture,894,0.01%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1982,0.01%
21,Mosaic of Uses,33,River Lake and Ocean,88234,0.63%
21,Mosaic of Uses,41,Other Temporary Crops,4246,0.03%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,10759,0.08%
23,Beach and Sand,3,Forest Formation,1,0.00%
23,Beach and Sand,5,Mangrove,9,0.00%
23,Beach and Sand,11,Wetland,104,0.00%
23,Beach and Sand,15,Pasture,23130,0.16%
