From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,3,Forest Formation,1561601
15,Pasture,21,Mosaic of Uses,60406591
15,Pasture,0,No data,945
15,Pasture,41,Other Temporary Crops,7475398
15,Pasture,20,Sugar Cane,4193341
15,Pasture,33,River Lake and Ocean,360877
15,Pasture,39,Soybean,3525292
15,Pasture,11,Wetland,599095
15,Pasture,9,Forest Plantation,2410798
15,Pasture,4,Savanna Formation,467058
15,Pasture,24,Urban Area,460143
15,Pasture,12,Grassland,310248
15,Pasture,49,Wooded Sandbank Vegetation,259
15,Pasture,46,Coffee,1320283
15,Pasture,25,Other non Vegetated Areas,94512
15,Pasture,29,Rocky Outcrop,11060
15,Pasture,48,Other Perennial Crops,80923
15,Pasture,47,Citrus,133311
15,Pasture,30,Mining,8553
15,Pasture,50,Herbaceous Sandbank Vegetation,23
15,Pasture,31,Aquaculture,3562
15,Pasture,40,Rice,1
15,Pasture,62,Cotton,70
3,Forest Formation,15,Pasture,3739065
3,Forest Formation,21,Mosaic of Uses,11191032
3,Forest Formation,0,No data,7671
3,Forest Formation,41,Other Temporary Crops,360949
3,Forest Formation,20,Sugar Cane,151163
3,Forest Formation,33,River Lake and Ocean,434141
3,Forest Formation,39,Soybean,216631
3,Forest Formation,11,Wetland,434724
3,Forest Formation,9,Forest Plantation,1923537
3,Forest Formation,4,Savanna Formation,464963
3,Forest Formation,24,Urban Area,31747
3,Forest Formation,12,Grassland,45250
3,Forest Formation,49,Wooded Sandbank Vegetation,3553
3,Forest Formation,46,Coffee,275895
3,Forest Formation,25,Other non Vegetated Areas,43847
3,Forest Formation,29,Rocky Outcrop,2275
3,Forest Formation,48,Other Perennial Crops,58959
3,Forest Formation,47,Citrus,117116
3,Forest Formation,5,Mangrove,55
3,Forest Formation,30,Mining,5933
3,Forest Formation,50,Herbaceous Sandbank Vegetation,12
3,Forest Formation,32,Hypersaline Tidal Flat,3
3,Forest Formation,31,Aquaculture,136
