Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
15,Pasture,#edde8e,245912730,71220556,174692174,29.0%
3,Forest Formation,#1f8d49,132506769,85039976,47466793,64.2%
21,Mosaic of Uses,#ffefc3,124420529,12310787,112109742,9.9%
41,Other Temporary Crops,#f54ca9,26882792,192912,26689880,0.7%
0,No data,#ffffff,25124754,25120019,4735,100.0%
20,Sugar Cane,#db7093,17323975,7184629,10139346,41.5%
33,River Lake and Ocean,#259fe4,14776585,11992447,2784138,81.2%
39,Soybean,#f5b3c8,10133396,2394164,7739232,23.6%
11,Wetland,#519799,8921886,3979776,4942110,44.6%
9,Forest Plantation,#7a5900,7111220,5025124,2086096,70.7%
4,Savanna Formation,#7dc975,5513900,1819033,3694867,33.0%
24,Urban Area,#d4271e,4970767,4943050,27717,99.4%
12,Grassland,#d6bc74,4048820,2018387,2030433,49.9%
49,Wooded Sandbank Vegetation,#02d659,3570327,3049630,520697,85.4%
46,Coffee,#d68fe2,3072615,678680,2393935,22.1%
25,Other non Vegetated Areas,#db4d4f,2482786,44418,2438368,1.8%
29,Rocky Outcrop,#ffaa5f,1720083,1627765,92318,94.6%
48,Other Perennial Crops,#e6ccff,532795,8033,524762,1.5%
47,Citrus,#9932cc,423135,123511,299624,29.2%
5,Mangrove,#04381d,300124,188589,111535,62.8%
30,Mining,#9c0027,66511,56176,10335,84.5%
50,Herbaceous Sandbank Vegetation,#ad5100,65031,48386,16645,74.4%
23,Beach and Sand,#ffa07a,15920,4597,11323,28.9%
32,Hypersaline Tidal Flat,#fc8114,11434,731,10703,6.4%
31,Aquaculture,#091077,1004,202,802,20.1%
