From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,418467,0.15%
3,Forest Formation,5,Mangrove,49,0.00%
3,Forest Formation,9,Forest Plantation,1731184,0.62%
3,Forest Formation,11,Wetland,391251,0.14%
3,Forest Formation,12,Grassland,40725,0.01%
3,Forest Formation,15,Pasture,3365158,1.20%
3,Forest Formation,20,Sugar Cane,136047,0.05%
3,Forest Formation,21,Mosaic of Uses,10071929,3.59%
3,Forest Formation,24,Urban Area,28572,0.01%
3,Forest Formation,25,Other non Vegetated Areas,39462,0.01%
3,Forest Formation,29,Rocky Outcrop,2047,0.00%
3,Forest Formation,30,Mining,5340,0.00%
3,Forest Formation,31,Aquaculture,122,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,3,0.00%
3,Forest Formation,33,River Lake and Ocean,390726,0.14%
3,Forest Formation,39,Soybean,194968,0.07%
3,Forest Formation,41,Other Temporary Crops,324854,0.12%
3,Forest Formation,46,Coffee,248306,0.09%
3,Forest Formation,47,Citrus,105404,0.04%
3,Forest Formation,48,Other Perennial Crops,53063,0.02%
3,Forest Formation,49,Wooded Sandbank Vegetation,3198,0.00%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,10,0.00%
4,Savanna Formation,3,Forest Formation,536472,0.19%
4,Savanna Formation,9,Forest Plantation,44092,0.02%
4,Savanna Formation,11,Wetland,143468,0.05%
4,Savanna Formation,12,Grassland,51450,0.02%
4,Savanna Formation,15,Pasture,813403,0.29%
4,Savanna Formation,20,Sugar Cane,7086,0.00%
4,Savanna Formation,21,Mosaic of Uses,573583,0.20%
4,Savanna Formation,24,Urban Area,6432,0.00%
4,Savanna Formation,25,Other non Vegetated Areas,16817,0.01%
4,Savanna Formation,29,Rocky Outcrop,3085,0.00%
4,Savanna Formation,30,Mining,603,0.00%
4,Savanna Formation,33,River Lake and Ocean,7218,0.00%
4,Savanna Formation,39,Soybean,3779,0.00%
4,Savanna Formation,41,Other Temporary Crops,4570,0.00%
4,Savanna Formation,46,Coffee,5369,0.00%
4,Savanna Formation,47,Citrus,59994,0.02%
4,Savanna Formation,48,Other Perennial Crops,6463,0.00%
5,Mangrove,3,Forest Formation,121,0.00%
5,Mangrove,11,Wetland,70,0.00%
