From_Class,From_Label,To_Class,To_Label,Count
3,Forest Formation,11,Wetland,65
3,Forest Formation,5,Mangrove,559
3,Forest Formation,21,Mosaic of Uses,952
3,Forest Formation,33,River Lake and Ocean,206
3,Forest Formation,15,Pasture,632
3,Forest Formation,24,Urban Area,52
3,Forest Formation,9,Forest Plantation,99
11,Wetland,3,Forest Formation,69
11,Wetland,5,Mangrove,209
11,Wetland,21,Mosaic of Uses,1046
11,Wetland,33,River Lake and Ocean,373
11,Wetland,15,Pasture,193
11,Wetland,24,Urban Area,81
11,Wetland,9,Forest Plantation,38
11,Wetland,32,Hypersaline Tidal Flat,194
11,Wetland,25,Other non Vegetated Areas,3
5,Mangrove,3,Forest Formation,477
5,Mangrove,11,Wetland,191
5,Mangrove,21,Mosaic of Uses,8
5,Mangrove,33,River Lake and Ocean,481
5,Mangrove,32,Hypersaline Tidal Flat,5
21,Mosaic of Uses,3,Forest Formation,743
21,Mosaic of Uses,11,Wetland,892
21,Mosaic of Uses,5,Mangrove,7
21,Mosaic of Uses,33,River Lake and Ocean,98
21,Mosaic of Uses,15,Pasture,2116
21,Mosaic of Uses,24,Urban Area,413
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1
21,Mosaic of Uses,25,Other non Vegetated Areas,17
33,River Lake and Ocean,3,Forest Formation,360
33,River Lake and Ocean,11,Wetland,387
33,River Lake and Ocean,5,Mangrove,737
33,River Lake and Ocean,21,Mosaic of Uses,90
33,River Lake and Ocean,24,Urban Area,6
33,River Lake and Ocean,32,Hypersaline Tidal Flat,44
33,River Lake and Ocean,25,Other non Vegetated Areas,29
15,Pasture,3,Forest Formation,185
15,Pasture,11,Wetland,91
15,Pasture,21,Mosaic of Uses,1734
15,Pasture,33,River Lake and Ocean,3
15,Pasture,24,Urban Area,127
15,Pasture,25,Other non Vegetated Areas,2
24,Urban Area,3,Forest Formation,5
24,Urban Area,21,Mosaic of Uses,1
24,Urban Area,33,River Lake and Ocean,2
24,Urban Area,15,Pasture,1
9,Forest Plantation,3,Forest Formation,86
9,Forest Plantation,11,Wetland,101
9,Forest Plantation,21,Mosaic of Uses,21
32,Hypersaline Tidal Flat,11,Wetland,214
32,Hypersaline Tidal Flat,5,Mangrove,5
32,Hypersaline Tidal Flat,21,Mosaic of Uses,1
32,Hypersaline Tidal Flat,33,River Lake and Ocean,74
25,Other non Vegetated Areas,11,Wetland,16
25,Other non Vegetated Areas,21,Mosaic of Uses,14
25,Other non Vegetated Areas,33,River Lake and Ocean,15
25,Other non Vegetated Areas,24,Urban Area,1
