From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,5,Mangrove,117,3.84%
3,Forest Formation,9,Forest Plantation,20,0.66%
3,Forest Formation,11,Wetland,13,0.43%
3,Forest Formation,15,Pasture,133,4.37%
3,Forest Formation,21,Mosaic of Uses,200,6.57%
3,Forest Formation,24,Urban Area,10,0.33%
3,Forest Formation,33,River Lake and Ocean,43,1.41%
5,Mangrove,3,Forest Formation,100,3.29%
5,Mangrove,11,Wetland,40,1.31%
5,Mangrove,21,Mosaic of Uses,1,0.03%
5,Mangrove,32,Hypersaline Tidal Flat,1,0.03%
5,Mangrove,33,River Lake and Ocean,101,3.32%
9,Forest Plantation,3,Forest Formation,18,0.59%
9,Forest Plantation,11,Wetland,21,0.69%
9,Forest Plantation,21,Mosaic of Uses,4,0.13%
11,Wetland,3,Forest Formation,14,0.46%
11,Wetland,5,Mangrove,44,1.45%
11,Wetland,9,Forest Plantation,8,0.26%
11,Wetland,15,Pasture,40,1.31%
11,Wetland,21,Mosaic of Uses,220,7.23%
11,Wetland,24,Urban Area,17,0.56%
11,Wetland,32,Hypersaline Tidal Flat,40,1.31%
11,Wetland,33,River Lake and Ocean,78,2.56%
15,Pasture,3,Forest Formation,38,1.25%
15,Pasture,11,Wetland,19,0.62%
15,Pasture,21,Mosaic of Uses,365,11.99%
15,Pasture,24,Urban Area,26,0.85%
21,Mosaic of Uses,3,Forest Formation,156,5.12%
21,Mosaic of Uses,5,Mangrove,1,0.03%
21,Mosaic of Uses,11,Wetland,187,6.14%
21,Mosaic of Uses,15,Pasture,445,14.62%
21,Mosaic of Uses,24,Urban Area,86,2.83%
21,Mosaic of Uses,25,Other non Vegetated Areas,3,0.10%
21,Mosaic of Uses,33,River Lake and Ocean,20,0.66%
24,Urban Area,3,Forest Formation,1,0.03%
25,Other non Vegetated Areas,11,Wetland,3,0.10%
25,Other non Vegetated Areas,21,Mosaic of Uses,2,0.07%
25,Other non Vegetated Areas,33,River Lake and Ocean,3,0.10%
32,Hypersaline Tidal Flat,5,Mangrove,1,0.03%
32,Hypersaline Tidal Flat,11,Wetland,45,1.48%
32,Hypersaline Tidal Flat,33,River Lake and Ocean,15,0.49%
33,River Lake and Ocean,3,Forest Formation,75,2.46%
33,River Lake and Ocean,5,Mangrove,155,5.09%
33,River Lake and Ocean,11,Wetland,81,2.66%
33,River Lake and Ocean,21,Mosaic of Uses,18,0.59%
33,River Lake and Ocean,24,Urban Area,1,0.03%
33,River Lake and Ocean,25,Other non Vegetated Areas,6,0.20%
33,River Lake and Ocean,32,Hypersaline Tidal Flat,9,0.30%
