From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,11,Wetland,34.0,0.78%
3,Forest Formation,5,Mangrove,159.0,3.62%
3,Forest Formation,21,Mosaic of Uses,256.0,5.84%
3,Forest Formation,33,River Lake and Ocean,21.0,0.48%
3,Forest Formation,15,Pasture,504.0,11.49%
3,Forest Formation,24,Urban Area,61.0,1.39%
3,Forest Formation,9,Forest Plantation,57.0,1.30%
11,Wetland,3,Forest Formation,10.0,0.23%
11,Wetland,5,Mangrove,35.0,0.80%
11,Wetland,21,Mosaic of Uses,496.0,11.31%
11,Wetland,33,River Lake and Ocean,43.0,0.98%
11,Wetland,15,Pasture,164.0,3.74%
11,Wetland,24,Urban Area,178.0,4.06%
11,Wetland,9,Forest Plantation,3.0,0.07%
11,Wetland,32,Hypersaline Tidal Flat,12.0,0.27%
5,Mangrove,3,Forest Formation,53.0,1.21%
5,Mangrove,11,Wetland,4.0,0.09%
5,Mangrove,21,Mosaic of Uses,1.0,0.02%
5,Mangrove,33,River Lake and Ocean,26.0,0.59%
21,Mosaic of Uses,3,Forest Formation,109.0,2.48%
21,Mosaic of Uses,11,Wetland,421.0,9.60%
21,Mosaic of Uses,33,River Lake and Ocean,6.0,0.14%
21,Mosaic of Uses,15,Pasture,429.0,9.78%
21,Mosaic of Uses,24,Urban Area,305.0,6.95%
21,Mosaic of Uses,25,Other non Vegetated Areas,2.0,0.05%
33,River Lake and Ocean,3,Forest Formation,213.0,4.86%
33,River Lake and Ocean,11,Wetland,50.0,1.14%
33,River Lake and Ocean,5,Mangrove,239.0,5.45%
33,River Lake and Ocean,21,Mosaic of Uses,4.0,0.09%
15,Pasture,3,Forest Formation,21.0,0.48%
15,Pasture,11,Wetland,67.0,1.53%
15,Pasture,21,Mosaic of Uses,77.0,1.76%
15,Pasture,24,Urban Area,129.0,2.94%
15,Pasture,25,Other non Vegetated Areas,3.0,0.07%
24,Urban Area,3,Forest Formation,2.0,0.05%
9,Forest Plantation,3,Forest Formation,44.0,1.00%
9,Forest Plantation,11,Wetland,69.0,1.57%
9,Forest Plantation,21,Mosaic of Uses,18.0,0.41%
32,Hypersaline Tidal Flat,11,Wetland,47.0,1.07%
32,Hypersaline Tidal Flat,5,Mangrove,6.0,0.14%
32,Hypersaline Tidal Flat,33,River Lake and Ocean,9.0,0.21%
