From_Class,From_Label,To_Class,To_Label,Count
3,Forest Formation,11,Wetland,15
3,Forest Formation,5,Mangrove,132
3,Forest Formation,21,Mosaic of Uses,225
3,Forest Formation,33,River Lake and Ocean,48
3,Forest Formation,15,Pasture,149
3,Forest Formation,24,Urban Area,12
3,Forest Formation,9,Forest Plantation,23
11,Wetland,3,Forest Formation,16
11,Wetland,5,Mangrove,49
11,Wetland,21,Mosaic of Uses,247
11,Wetland,33,River Lake and Ocean,88
11,Wetland,15,Pasture,45
11,Wetland,24,Urban Area,19
11,Wetland,9,Forest Plantation,9
11,Wetland,32,Hypersaline Tidal Flat,45
5,Mangrove,3,Forest Formation,112
5,Mangrove,11,Wetland,45
5,Mangrove,21,Mosaic of Uses,1
5,Mangrove,33,River Lake and Ocean,113
5,Mangrove,32,Hypersaline Tidal Flat,1
21,Mosaic of Uses,3,Forest Formation,175
21,Mosaic of Uses,11,Wetland,211
21,Mosaic of Uses,5,Mangrove,1
21,Mosaic of Uses,33,River Lake and Ocean,23
21,Mosaic of Uses,15,Pasture,501
21,Mosaic of Uses,24,Urban Area,97
21,Mosaic of Uses,25,Other non Vegetated Areas,4
33,River Lake and Ocean,3,Forest Formation,85
33,River Lake and Ocean,11,Wetland,91
33,River Lake and Ocean,5,Mangrove,174
33,River Lake and Ocean,21,Mosaic of Uses,21
33,River Lake and Ocean,24,Urban Area,1
33,River Lake and Ocean,32,Hypersaline Tidal Flat,10
33,River Lake and Ocean,25,Other non Vegetated Areas,6
15,Pasture,3,Forest Formation,43
15,Pasture,11,Wetland,21
15,Pasture,21,Mosaic of Uses,410
15,Pasture,24,Urban Area,30
24,Urban Area,3,Forest Formation,1
9,Forest Plantation,3,Forest Formation,20
9,Forest Plantation,11,Wetland,23
9,Forest Plantation,21,Mosaic of Uses,4
32,Hypersaline Tidal Flat,11,Wetland,50
32,Hypersaline Tidal Flat,5,Mangrove,1
32,Hypersaline Tidal Flat,33,River Lake and Ocean,17
25,Other non Vegetated Areas,11,Wetland,3
25,Other non Vegetated Areas,21,Mosaic of Uses,3
25,Other non Vegetated Areas,33,River Lake and Ocean,3
