From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,11,Wetland,65,0.45%
3,Forest Formation,5,Mangrove,559,3.84%
3,Forest Formation,21,Mosaic of Uses,952,6.53%
3,Forest Formation,33,River Lake and Ocean,206,1.41%
3,Forest Formation,15,Pasture,632,4.34%
3,Forest Formation,24,Urban Area,52,0.36%
3,Forest Formation,9,Forest Plantation,99,0.68%
11,Wetland,3,Forest Formation,69,0.47%
11,Wetland,5,Mangrove,209,1.43%
11,Wetland,21,Mosaic of Uses,1046,7.18%
11,Wetland,33,River Lake and Ocean,373,2.56%
11,Wetland,15,Pasture,193,1.32%
11,Wetland,24,Urban Area,81,0.56%
11,Wetland,9,Forest Plantation,38,0.26%
11,Wetland,32,Hypersaline Tidal Flat,194,1.33%
11,Wetland,25,Other non Vegetated Areas,3,0.02%
5,Mangrove,3,Forest Formation,477,3.27%
5,Mangrove,11,Wetland,191,1.31%
5,Mangrove,21,Mosaic of Uses,8,0.05%
5,Mangrove,33,River Lake and Ocean,481,3.30%
5,Mangrove,32,Hypersaline Tidal Flat,5,0.03%
21,Mosaic of Uses,3,Forest Formation,743,5.10%
21,Mosaic of Uses,11,Wetland,892,6.12%
21,Mosaic of Uses,5,Mangrove,7,0.05%
21,Mosaic of Uses,33,River Lake and Ocean,98,0.67%
21,Mosaic of Uses,15,Pasture,2116,14.52%
21,Mosaic of Uses,24,Urban Area,413,2.83%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,1,0.01%
21,Mosaic of Uses,25,Other non Vegetated Areas,17,0.12%
33,River Lake and Ocean,3,Forest Formation,360,2.47%
33,River Lake and Ocean,11,Wetland,387,2.66%
33,River Lake and Ocean,5,Mangrove,737,5.06%
33,River Lake and Ocean,21,Mosaic of Uses,90,0.62%
33,River Lake and Ocean,24,Urban Area,6,0.04%
33,River Lake and Ocean,32,Hypersaline Tidal Flat,44,0.30%
33,River Lake and Ocean,25,Other non Vegetated Areas,29,0.20%
15,Pasture,3,Forest Formation,185,1.27%
15,Pasture,11,Wetland,91,0.62%
15,Pasture,21,Mosaic of Uses,1734,11.90%
15,Pasture,33,River Lake and Ocean,3,0.02%
15,Pasture,24,Urban Area,127,0.87%
15,Pasture,25,Other non Vegetated Areas,2,0.01%
24,Urban Area,3,Forest Formation,5,0.03%
24,Urban Area,21,Mosaic of Uses,1,0.01%
24,Urban Area,33,River Lake and Ocean,2,0.01%
24,Urban Area,15,Pasture,1,0.01%
9,Forest Plantation,3,Forest Formation,86,0.59%
9,Forest Plantation,11,Wetland,101,0.69%
9,Forest Plantation,21,Mosaic of Uses,21,0.14%
32,Hypersaline Tidal Flat,11,Wetland,214,1.47%
32,Hypersaline Tidal Flat,5,Mangrove,5,0.03%
32,Hypersaline Tidal Flat,21,Mosaic of Uses,1,0.01%
32,Hypersaline Tidal Flat,33,River Lake and Ocean,74,0.51%
25,Other non Vegetated Areas,11,Wetland,16,0.11%
25,Other non Vegetated Areas,21,Mosaic of Uses,14,0.10%
25,Other non Vegetated Areas,33,River Lake and Ocean,15,0.10%
25,Other non Vegetated Areas,24,Urban Area,1,0.01%
