From_Class,To_Class,Count
3,3,21143397.0
3,5,254338.0
3,9,24478.0
3,11,68117.0
3,15,456815.0
3,20,7133.0
3,21,7417.0
3,23,1657.0
3,24,7699.0
3,25,11304.0
3,31,15.0
3,32,292.0
3,33,3852.0
3,41,579.0
3,48,4.0
3,49,12.0
5,3,48207.0
5,5,10332010.0
5,9,140469.0
5,11,37558.0
5,15,22870.0
5,20,749.0
5,21,746.0
5,23,18902.0
5,24,81.0
5,25,147.0
5,31,871.0
5,33,159.0
5,41,12.0
5,48,51.0
9,3,143986.0
9,5,367695.0
9,9,10528879.0
9,11,1795.0
9,15,99914.0
9,20,5218.0
9,21,3.0
9,23,16.0
9,24,12.0
9,25,300.0
9,31,1589.0
9,33,12.0
9,41,29.0
9,48,10.0
11,3,175580.0
11,5,24395.0
11,9,1675.0
11,11,8843387.0
11,15,49818.0
11,20,21044.0
11,21,322.0
11,23,463.0
11,24,3231.0
11,25,1722.0
11,31,1009.0
11,32,13.0
11,33,104.0
11,41,235.0
11,48,971.0
15,3,610117.0
15,5,106014.0
15,9,71973.0
15,11,61998.0
15,15,4176202.0
15,20,15329.0
15,21,4054.0
15,23,7431.0
15,24,7033.0
15,25,5140.0
15,31,267.0
15,33,406.0
15,41,1819.0
15,48,56.0
20,3,9668.0
20,5,698.0
20,9,7678.0
20,11,28114.0
20,15,17985.0
20,20,3878144.0
20,21,975.0
20,23,165.0
20,24,5284.0
20,25,296.0
20,31,2851.0
20,41,949.0
20,48,525.0
21,3,10783.0
21,5,574.0
21,9,1.0
21,11,509.0
21,15,3455.0
21,20,627.0
21,21,1018135.0
21,23,29.0
21,24,16181.0
21,25,1144.0
21,41,190.0
23,3,10173.0
23,5,10404.0
23,9,23.0
23,11,737.0
23,15,6101.0
23,20,126.0
23,21,29.0
23,23,834693.0
23,24,34.0
23,25,6.0
23,31,245.0
23,41,2.0
23,48,1.0
24,3,6273.0
24,5,22.0
24,9,5.0
24,11,2955.0
24,15,5765.0
24,20,3714.0
24,21,14936.0
24,23,34.0
24,24,397330.0
24,25,1300.0
24,41,1875.0
25,3,70.0
25,11,1.0
25,15,71.0
25,20,312.0
25,21,4.0
25,24,1188.0
25,25,199211.0
25,31,5.0
25,41,4.0
31,3,10.0
31,5,1187.0
31,9,842.0
31,11,561.0
31,15,163.0
31,20,2403.0
31,23,66.0
31,24,3.0
31,25,5.0
31,31,258826.0
31,41,3.0
31,48,320.0
32,3,232.0
32,11,2.0
32,15,6.0
32,32,3038.0
33,3,2935.0
33,5,186.0
33,9,49.0
33,11,16.0
33,15,94.0
33,33,14884.0
41,3,5744.0
41,5,807.0
41,9,106.0
41,11,409.0
41,15,2114.0
41,20,1723.0
41,21,64.0
41,24,1617.0
41,25,13.0
41,33,22.0
41,41,34795.0
48,3,1.0
48,9,61.0
48,11,1660.0
48,15,60.0
48,20,687.0
48,23,30.0
48,25,19.0
48,31,446.0
48,48,15415.0
49,3,636.0
49,9,4.0
49,15,1.0
49,32,2.0
49,49,1308.0
