From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,11,Wetland,6446.0,1.17%
15,Pasture,3,Forest Formation,4584.0,0.83%
15,Pasture,21,Mosaic of Uses,168972.0,30.60%
15,Pasture,33,River Lake and Ocean,3878.0,0.70%
15,Pasture,50,Herbaceous Sandbank Vegetation,12629.0,2.29%
15,Pasture,49,Wooded Sandbank Vegetation,1621.0,0.29%
15,Pasture,23,Beach and Sand,435.0,0.08%
15,Pasture,9,Forest Plantation,1487.0,0.27%
15,Pasture,24,Urban Area,363.0,0.07%
15,Pasture,25,Other non Vegetated Areas,879.0,0.16%
15,Pasture,46,Coffee,984.0,0.18%
15,Pasture,20,Sugar Cane,6008.0,1.09%
15,Pasture,41,Other Temporary Crops,920.0,0.17%
15,Pasture,48,Other Perennial Crops,424.0,0.08%
15,Pasture,31,Aquaculture,8.0,0.00%
11,Wetland,15,Pasture,32019.0,5.80%
11,Wetland,3,Forest Formation,190.0,0.03%
11,Wetland,21,Mosaic of Uses,15796.0,2.86%
11,Wetland,33,River Lake and Ocean,19358.0,3.51%
11,Wetland,50,Herbaceous Sandbank Vegetation,147.0,0.03%
11,Wetland,49,Wooded Sandbank Vegetation,123.0,0.02%
11,Wetland,23,Beach and Sand,276.0,0.05%
11,Wetland,9,Forest Plantation,973.0,0.18%
11,Wetland,24,Urban Area,177.0,0.03%
11,Wetland,5,Mangrove,98.0,0.02%
11,Wetland,25,Other non Vegetated Areas,285.0,0.05%
11,Wetland,46,Coffee,22.0,0.00%
11,Wetland,20,Sugar Cane,32.0,0.01%
11,Wetland,32,Hypersaline Tidal Flat,451.0,0.08%
11,Wetland,48,Other Perennial Crops,20.0,0.00%
11,Wetland,31,Aquaculture,1.0,0.00%
3,Forest Formation,15,Pasture,6760.0,1.22%
3,Forest Formation,11,Wetland,119.0,0.02%
3,Forest Formation,21,Mosaic of Uses,15536.0,2.81%
3,Forest Formation,33,River Lake and Ocean,1517.0,0.27%
3,Forest Formation,50,Herbaceous Sandbank Vegetation,2.0,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,17.0,0.00%
3,Forest Formation,9,Forest Plantation,1481.0,0.27%
3,Forest Formation,5,Mangrove,149.0,0.03%
3,Forest Formation,25,Other non Vegetated Areas,2.0,0.00%
3,Forest Formation,46,Coffee,8.0,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,8.0,0.00%
3,Forest Formation,41,Other Temporary Crops,221.0,0.04%
3,Forest Formation,48,Other Perennial Crops,2.0,0.00%
21,Mosaic of Uses,15,Pasture,109194.0,19.77%
21,Mosaic of Uses,11,Wetland,4249.0,0.77%
21,Mosaic of Uses,3,Forest Formation,15271.0,2.77%
21,Mosaic of Uses,33,River Lake and Ocean,20391.0,3.69%
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,3676.0,0.67%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,6706.0,1.21%
21,Mosaic of Uses,23,Beach and Sand,337.0,0.06%
21,Mosaic of Uses,9,Forest Plantation,1933.0,0.35%
21,Mosaic of Uses,24,Urban Area,85.0,0.02%
21,Mosaic of Uses,5,Mangrove,26.0,0.00%
21,Mosaic of Uses,25,Other non Vegetated Areas,1363.0,0.25%
21,Mosaic of Uses,46,Coffee,284.0,0.05%
21,Mosaic of Uses,20,Sugar Cane,22.0,0.00%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,8.0,0.00%
