From_Class,From_Label,To_Class,To_Label,Count
31,Aquaculture,15,Pasture,629.0
31,Aquaculture,11,Wetland,84.0
31,Aquaculture,3,Forest Formation,15.0
31,Aquaculture,21,Mosaic of Uses,2712.0
31,Aquaculture,33,River Lake and Ocean,178.0
31,Aquaculture,50,Herbaceous Sandbank Vegetation,17.0
31,Aquaculture,23,Beach and Sand,15.0
31,Aquaculture,9,Forest Plantation,397.0
31,Aquaculture,5,Mangrove,8.0
31,Aquaculture,25,Other non Vegetated Areas,9.0
31,Aquaculture,46,Coffee,2.0
31,Aquaculture,41,Other Temporary Crops,115.0
