From_Class,From_Label,To_Class,To_Label,Count
31,Aquaculture,15,Pasture,13829.0
31,Aquaculture,3,Forest Formation,212.0
31,Aquaculture,21,Mosaic of Uses,27193.0
31,Aquaculture,9,Forest Plantation,85.0
31,Aquaculture,46,Coffee,9.0
31,Aquaculture,33,River Lake and Ocean,6216.0
31,Aquaculture,24,Urban Area,1330.0
31,Aquaculture,49,Wooded Sandbank Vegetation,86.0
31,Aquaculture,41,Other Temporary Crops,164.0
31,Aquaculture,5,Mangrove,256.0
31,Aquaculture,25,Other non Vegetated Areas,862.0
31,Aquaculture,32,Hypersaline Tidal Flat,413.0
31,Aquaculture,23,Beach and Sand,404.0
