From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,129545.0,1.16%
15,Pasture,21,Mosaic of Uses,3507826.0,31.36%
15,Pasture,0,No data,262.0,0.00%
15,Pasture,9,Forest Plantation,69824.0,0.62%
15,Pasture,46,Coffee,148391.0,1.33%
15,Pasture,33,River Lake and Ocean,37238.0,0.33%
15,Pasture,24,Urban Area,52507.0,0.47%
15,Pasture,29,Rocky Outcrop,3813.0,0.03%
15,Pasture,11,Wetland,12247.0,0.11%
15,Pasture,49,Wooded Sandbank Vegetation,1030.0,0.01%
15,Pasture,41,Other Temporary Crops,90195.0,0.81%
15,Pasture,5,Mangrove,18.0,0.00%
15,Pasture,25,Other non Vegetated Areas,3032.0,0.03%
15,Pasture,48,Other Perennial Crops,1221.0,0.01%
15,Pasture,32,Hypersaline Tidal Flat,10.0,0.00%
15,Pasture,23,Beach and Sand,103.0,0.00%
15,Pasture,4,Savanna Formation,26.0,0.00%
15,Pasture,50,Herbaceous Sandbank Vegetation,7.0,0.00%
3,Forest Formation,15,Pasture,503697.0,4.50%
3,Forest Formation,21,Mosaic of Uses,954067.0,8.53%
3,Forest Formation,0,No data,875.0,0.01%
3,Forest Formation,9,Forest Plantation,235867.0,2.11%
3,Forest Formation,46,Coffee,26824.0,0.24%
3,Forest Formation,33,River Lake and Ocean,15958.0,0.14%
3,Forest Formation,24,Urban Area,1185.0,0.01%
3,Forest Formation,29,Rocky Outcrop,957.0,0.01%
3,Forest Formation,11,Wetland,350.0,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,214.0,0.00%
3,Forest Formation,41,Other Temporary Crops,3912.0,0.03%
3,Forest Formation,5,Mangrove,1084.0,0.01%
3,Forest Formation,25,Other non Vegetated Areas,363.0,0.00%
3,Forest Formation,48,Other Perennial Crops,374.0,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,129.0,0.00%
3,Forest Formation,4,Savanna Formation,5.0,0.00%
21,Mosaic of Uses,15,Pasture,3612804.0,32.30%
21,Mosaic of Uses,3,Forest Formation,792834.0,7.09%
21,Mosaic of Uses,0,No data,930.0,0.01%
21,Mosaic of Uses,9,Forest Plantation,66644.0,0.60%
21,Mosaic of Uses,46,Coffee,40594.0,0.36%
21,Mosaic of Uses,33,River Lake and Ocean,55459.0,0.50%
21,Mosaic of Uses,24,Urban Area,37032.0,0.33%
21,Mosaic of Uses,29,Rocky Outcrop,3783.0,0.03%
21,Mosaic of Uses,11,Wetland,30389.0,0.27%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,15013.0,0.13%
21,Mosaic of Uses,41,Other Temporary Crops,16679.0,0.15%
21,Mosaic of Uses,5,Mangrove,466.0,0.00%
21,Mosaic of Uses,25,Other non Vegetated Areas,6731.0,0.06%
21,Mosaic of Uses,48,Other Perennial Crops,756.0,0.01%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,383.0,0.00%
21,Mosaic of Uses,23,Beach and Sand,554.0,0.00%
21,Mosaic of Uses,4,Savanna Formation,36.0,0.00%
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,3.0,0.00%
0,No data,15,Pasture,269.0,0.00%
0,No data,3,Forest Formation,845.0,0.01%
0,No data,21,Mosaic of Uses,948.0,0.01%
0,No data,46,Coffee,6.0,0.00%
0,No data,33,River Lake and Ocean,20.0,0.00%
0,No data,24,Urban Area,5.0,0.00%
0,No data,29,Rocky Outcrop,63.0,0.00%
0,No data,49,Wooded Sandbank Vegetation,2.0,0.00%
0,No data,25,Other non Vegetated Areas,2.0,0.00%
9,Forest Plantation,15,Pasture,9752.0,0.09%
9,Forest Plantation,3,Forest Formation,43944.0,0.39%
9,Forest Plantation,21,Mosaic of Uses,7537.0,0.07%
9,Forest Plantation,46,Coffee,170.0,0.00%
9,Forest Plantation,33,River Lake and Ocean,493.0,0.00%
9,Forest Plantation,24,Urban Area,546.0,0.00%
9,Forest Plantation,11,Wetland,156.0,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,1950.0,0.02%
9,Forest Plantation,41,Other Temporary Crops,21.0,0.00%
9,Forest Plantation,5,Mangrove,50.0,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,131.0,0.00%
9,Forest Plantation,48,Other Perennial Crops,2.0,0.00%
46,Coffee,15,Pasture,110158.0,0.98%
46,Coffee,3,Forest Formation,38423.0,0.34%
46,Coffee,21,Mosaic of Uses,50441.0,0.45%
46,Coffee,0,No data,9.0,0.00%
46,Coffee,9,Forest Plantation,280.0,0.00%
46,Coffee,33,River Lake and Ocean,18.0,0.00%
46,Coffee,24,Urban Area,19.0,0.00%
46,Coffee,29,Rocky Outcrop,347.0,0.00%
46,Coffee,41,Other Temporary Crops,14.0,0.00%
46,Coffee,48,Other Perennial Crops,218.0,0.00%
46,Coffee,4,Savanna Formation,5.0,0.00%
33,River Lake and Ocean,15,Pasture,35074.0,0.31%
33,River Lake and Ocean,3,Forest Formation,15013.0,0.13%
33,River Lake and Ocean,21,Mosaic of Uses,53530.0,0.48%
33,River Lake and Ocean,0,No data,28.0,0.00%
33,River Lake and Ocean,9,Forest Plantation,136.0,0.00%
33,River Lake and Ocean,46,Coffee,37.0,0.00%
33,River Lake and Ocean,24,Urban Area,4967.0,0.04%
33,River Lake and Ocean,29,Rocky Outcrop,491.0,0.00%
33,River Lake and Ocean,11,Wetland,7213.0,0.06%
33,River Lake and Ocean,49,Wooded Sandbank Vegetation,1304.0,0.01%
33,River Lake and Ocean,41,Other Temporary Crops,76.0,0.00%
33,River Lake and Ocean,5,Mangrove,3404.0,0.03%
33,River Lake and Ocean,25,Other non Vegetated Areas,3769.0,0.03%
33,River Lake and Ocean,32,Hypersaline Tidal Flat,884.0,0.01%
33,River Lake and Ocean,23,Beach and Sand,1299.0,0.01%
24,Urban Area,15,Pasture,493.0,0.00%
24,Urban Area,3,Forest Formation,46.0,0.00%
24,Urban Area,21,Mosaic of Uses,1324.0,0.01%
24,Urban Area,9,Forest Plantation,3.0,0.00%
24,Urban Area,46,Coffee,1.0,0.00%
24,Urban Area,33,River Lake and Ocean,4417.0,0.04%
24,Urban Area,11,Wetland,12.0,0.00%
24,Urban Area,49,Wooded Sandbank Vegetation,35.0,0.00%
24,Urban Area,5,Mangrove,152.0,0.00%
24,Urban Area,25,Other non Vegetated Areas,186.0,0.00%
24,Urban Area,32,Hypersaline Tidal Flat,116.0,0.00%
24,Urban Area,23,Beach and Sand,570.0,0.01%
29,Rocky Outcrop,15,Pasture,6038.0,0.05%
29,Rocky Outcrop,3,Forest Formation,510.0,0.00%
29,Rocky Outcrop,21,Mosaic of Uses,6762.0,0.06%
29,Rocky Outcrop,0,No data,86.0,0.00%
29,Rocky Outcrop,46,Coffee,446.0,0.00%
29,Rocky Outcrop,33,River Lake and Ocean,556.0,0.00%
29,Rocky Outcrop,24,Urban Area,9.0,0.00%
29,Rocky Outcrop,11,Wetland,2.0,0.00%
29,Rocky Outcrop,48,Other Perennial Crops,2.0,0.00%
11,Wetland,15,Pasture,32380.0,0.29%
11,Wetland,3,Forest Formation,354.0,0.00%
11,Wetland,21,Mosaic of Uses,33733.0,0.30%
11,Wetland,9,Forest Plantation,176.0,0.00%
11,Wetland,46,Coffee,1.0,0.00%
11,Wetland,33,River Lake and Ocean,6234.0,0.06%
11,Wetland,24,Urban Area,3005.0,0.03%
11,Wetland,49,Wooded Sandbank Vegetation,102.0,0.00%
11,Wetland,41,Other Temporary Crops,301.0,0.00%
11,Wetland,5,Mangrove,120.0,0.00%
11,Wetland,25,Other non Vegetated Areas,334.0,0.00%
11,Wetland,32,Hypersaline Tidal Flat,301.0,0.00%
11,Wetland,23,Beach and Sand,384.0,0.00%
49,Wooded Sandbank Vegetation,15,Pasture,9859.0,0.09%
49,Wooded Sandbank Vegetation,3,Forest Formation,252.0,0.00%
49,Wooded Sandbank Vegetation,21,Mosaic of Uses,20029.0,0.18%
49,Wooded Sandbank Vegetation,9,Forest Plantation,1102.0,0.01%
49,Wooded Sandbank Vegetation,33,River Lake and Ocean,1159.0,0.01%
49,Wooded Sandbank Vegetation,24,Urban Area,793.0,0.01%
49,Wooded Sandbank Vegetation,11,Wetland,146.0,0.00%
49,Wooded Sandbank Vegetation,5,Mangrove,1527.0,0.01%
49,Wooded Sandbank Vegetation,25,Other non Vegetated Areas,74.0,0.00%
49,Wooded Sandbank Vegetation,32,Hypersaline Tidal Flat,23.0,0.00%
49,Wooded Sandbank Vegetation,23,Beach and Sand,21.0,0.00%
41,Other Temporary Crops,15,Pasture,27154.0,0.24%
41,Other Temporary Crops,3,Forest Formation,577.0,0.01%
41,Other Temporary Crops,21,Mosaic of Uses,2584.0,0.02%
41,Other Temporary Crops,9,Forest Plantation,11.0,0.00%
41,Other Temporary Crops,46,Coffee,5.0,0.00%
41,Other Temporary Crops,33,River Lake and Ocean,95.0,0.00%
41,Other Temporary Crops,11,Wetland,30.0,0.00%
5,Mangrove,15,Pasture,8.0,0.00%
5,Mangrove,3,Forest Formation,628.0,0.01%
5,Mangrove,21,Mosaic of Uses,270.0,0.00%
5,Mangrove,9,Forest Plantation,52.0,0.00%
5,Mangrove,33,River Lake and Ocean,2774.0,0.02%
5,Mangrove,24,Urban Area,110.0,0.00%
5,Mangrove,11,Wetland,85.0,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,785.0,0.01%
5,Mangrove,25,Other non Vegetated Areas,12.0,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,327.0,0.00%
25,Other non Vegetated Areas,15,Pasture,24563.0,0.22%
25,Other non Vegetated Areas,3,Forest Formation,3373.0,0.03%
25,Other non Vegetated Areas,21,Mosaic of Uses,15167.0,0.14%
25,Other non Vegetated Areas,0,No data,1.0,0.00%
25,Other non Vegetated Areas,9,Forest Plantation,3274.0,0.03%
