From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,119688.0,1.15%
15,Pasture,21,Mosaic of Uses,4094776.0,39.43%
15,Pasture,0,No data,300.0,0.00%
15,Pasture,9,Forest Plantation,136837.0,1.32%
15,Pasture,46,Coffee,172463.0,1.66%
15,Pasture,33,River Lake and Ocean,54994.0,0.53%
15,Pasture,24,Urban Area,33345.0,0.32%
15,Pasture,29,Rocky Outcrop,4214.0,0.04%
15,Pasture,11,Wetland,15891.0,0.15%
15,Pasture,49,Wooded Sandbank Vegetation,3080.0,0.03%
15,Pasture,41,Other Temporary Crops,63455.0,0.61%
15,Pasture,5,Mangrove,5.0,0.00%
15,Pasture,25,Other non Vegetated Areas,6776.0,0.07%
15,Pasture,48,Other Perennial Crops,302.0,0.00%
15,Pasture,20,Sugar Cane,77.0,0.00%
15,Pasture,32,Hypersaline Tidal Flat,2.0,0.00%
15,Pasture,23,Beach and Sand,133.0,0.00%
15,Pasture,4,Savanna Formation,39.0,0.00%
15,Pasture,50,Herbaceous Sandbank Vegetation,36.0,0.00%
3,Forest Formation,15,Pasture,233869.0,2.25%
3,Forest Formation,21,Mosaic of Uses,909833.0,8.76%
3,Forest Formation,0,No data,994.0,0.01%
3,Forest Formation,9,Forest Plantation,36462.0,0.35%
3,Forest Formation,46,Coffee,27649.0,0.27%
3,Forest Formation,33,River Lake and Ocean,11942.0,0.12%
3,Forest Formation,24,Urban Area,826.0,0.01%
3,Forest Formation,29,Rocky Outcrop,886.0,0.01%
3,Forest Formation,11,Wetland,274.0,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,207.0,0.00%
3,Forest Formation,41,Other Temporary Crops,582.0,0.01%
3,Forest Formation,5,Mangrove,1278.0,0.01%
3,Forest Formation,25,Other non Vegetated Areas,452.0,0.00%
3,Forest Formation,48,Other Perennial Crops,91.0,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,118.0,0.00%
3,Forest Formation,4,Savanna Formation,3.0,0.00%
21,Mosaic of Uses,15,Pasture,2753779.0,26.52%
21,Mosaic of Uses,3,Forest Formation,739545.0,7.12%
21,Mosaic of Uses,0,No data,893.0,0.01%
21,Mosaic of Uses,9,Forest Plantation,78759.0,0.76%
21,Mosaic of Uses,46,Coffee,63754.0,0.61%
21,Mosaic of Uses,33,River Lake and Ocean,73470.0,0.71%
21,Mosaic of Uses,24,Urban Area,25429.0,0.24%
21,Mosaic of Uses,29,Rocky Outcrop,4444.0,0.04%
21,Mosaic of Uses,11,Wetland,31867.0,0.31%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,14143.0,0.14%
21,Mosaic of Uses,41,Other Temporary Crops,5562.0,0.05%
21,Mosaic of Uses,5,Mangrove,472.0,0.00%
21,Mosaic of Uses,25,Other non Vegetated Areas,9605.0,0.09%
21,Mosaic of Uses,48,Other Perennial Crops,130.0,0.00%
21,Mosaic of Uses,20,Sugar Cane,118.0,0.00%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,233.0,0.00%
