From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,99637.0,1.31%
15,Pasture,0,No data,226.0,0.00%
15,Pasture,21,Mosaic of Uses,2590365.0,33.93%
15,Pasture,33,River Lake and Ocean,7237.0,0.09%
15,Pasture,46,Coffee,239417.0,3.14%
15,Pasture,9,Forest Plantation,124466.0,1.63%
15,Pasture,24,Urban Area,30960.0,0.41%
15,Pasture,29,Rocky Outcrop,1700.0,0.02%
15,Pasture,11,Wetland,9176.0,0.12%
15,Pasture,49,Wooded Sandbank Vegetation,588.0,0.01%
15,Pasture,5,Mangrove,6.0,0.00%
15,Pasture,41,Other Temporary Crops,14278.0,0.19%
15,Pasture,25,Other non Vegetated Areas,4208.0,0.06%
15,Pasture,48,Other Perennial Crops,251.0,0.00%
15,Pasture,32,Hypersaline Tidal Flat,1.0,0.00%
15,Pasture,23,Beach and Sand,142.0,0.00%
15,Pasture,4,Savanna Formation,44.0,0.00%
15,Pasture,20,Sugar Cane,328.0,0.00%
15,Pasture,50,Herbaceous Sandbank Vegetation,21.0,0.00%
3,Forest Formation,15,Pasture,92894.0,1.22%
3,Forest Formation,0,No data,484.0,0.01%
3,Forest Formation,21,Mosaic of Uses,600790.0,7.87%
3,Forest Formation,33,River Lake and Ocean,11378.0,0.15%
3,Forest Formation,46,Coffee,45711.0,0.60%
3,Forest Formation,9,Forest Plantation,28793.0,0.38%
3,Forest Formation,24,Urban Area,2313.0,0.03%
3,Forest Formation,29,Rocky Outcrop,244.0,0.00%
3,Forest Formation,11,Wetland,226.0,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,322.0,0.00%
3,Forest Formation,5,Mangrove,1109.0,0.01%
3,Forest Formation,41,Other Temporary Crops,375.0,0.00%
3,Forest Formation,25,Other non Vegetated Areas,419.0,0.01%
3,Forest Formation,48,Other Perennial Crops,84.0,0.00%
3,Forest Formation,32,Hypersaline Tidal Flat,27.0,0.00%
3,Forest Formation,4,Savanna Formation,4.0,0.00%
0,No data,15,Pasture,156.0,0.00%
0,No data,3,Forest Formation,542.0,0.01%
0,No data,21,Mosaic of Uses,707.0,0.01%
0,No data,33,River Lake and Ocean,22.0,0.00%
0,No data,46,Coffee,11.0,0.00%
0,No data,9,Forest Plantation,7.0,0.00%
0,No data,24,Urban Area,2.0,0.00%
0,No data,29,Rocky Outcrop,53.0,0.00%
0,No data,11,Wetland,2.0,0.00%
0,No data,49,Wooded Sandbank Vegetation,1.0,0.00%
0,No data,25,Other non Vegetated Areas,3.0,0.00%
21,Mosaic of Uses,15,Pasture,1757996.0,23.03%
21,Mosaic of Uses,3,Forest Formation,793676.0,10.40%
21,Mosaic of Uses,0,No data,790.0,0.01%
21,Mosaic of Uses,33,River Lake and Ocean,45981.0,0.60%
21,Mosaic of Uses,46,Coffee,197431.0,2.59%
21,Mosaic of Uses,9,Forest Plantation,149131.0,1.95%
21,Mosaic of Uses,24,Urban Area,29736.0,0.39%
21,Mosaic of Uses,29,Rocky Outcrop,2428.0,0.03%
21,Mosaic of Uses,11,Wetland,24801.0,0.32%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,12898.0,0.17%
21,Mosaic of Uses,5,Mangrove,279.0,0.00%
21,Mosaic of Uses,41,Other Temporary Crops,6390.0,0.08%
21,Mosaic of Uses,25,Other non Vegetated Areas,7306.0,0.10%
21,Mosaic of Uses,48,Other Perennial Crops,249.0,0.00%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,154.0,0.00%
21,Mosaic of Uses,23,Beach and Sand,655.0,0.01%
21,Mosaic of Uses,4,Savanna Formation,40.0,0.00%
21,Mosaic of Uses,20,Sugar Cane,307.0,0.00%
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,2.0,0.00%
33,River Lake and Ocean,15,Pasture,7640.0,0.10%
33,River Lake and Ocean,3,Forest Formation,14023.0,0.18%
33,River Lake and Ocean,0,No data,26.0,0.00%
33,River Lake and Ocean,21,Mosaic of Uses,54553.0,0.71%
33,River Lake and Ocean,46,Coffee,2.0,0.00%
33,River Lake and Ocean,9,Forest Plantation,56.0,0.00%
33,River Lake and Ocean,24,Urban Area,4024.0,0.05%
33,River Lake and Ocean,29,Rocky Outcrop,25.0,0.00%
33,River Lake and Ocean,11,Wetland,7390.0,0.10%
33,River Lake and Ocean,49,Wooded Sandbank Vegetation,1286.0,0.02%
33,River Lake and Ocean,5,Mangrove,2437.0,0.03%
33,River Lake and Ocean,41,Other Temporary Crops,20.0,0.00%
33,River Lake and Ocean,25,Other non Vegetated Areas,6731.0,0.09%
33,River Lake and Ocean,32,Hypersaline Tidal Flat,94.0,0.00%
33,River Lake and Ocean,23,Beach and Sand,773.0,0.01%
46,Coffee,15,Pasture,76947.0,1.01%
46,Coffee,3,Forest Formation,25693.0,0.34%
46,Coffee,0,No data,1.0,0.00%
46,Coffee,21,Mosaic of Uses,89786.0,1.18%
46,Coffee,9,Forest Plantation,515.0,0.01%
46,Coffee,24,Urban Area,3.0,0.00%
46,Coffee,29,Rocky Outcrop,188.0,0.00%
46,Coffee,49,Wooded Sandbank Vegetation,5.0,0.00%
46,Coffee,41,Other Temporary Crops,550.0,0.01%
46,Coffee,25,Other non Vegetated Areas,4.0,0.00%
46,Coffee,48,Other Perennial Crops,54.0,0.00%
9,Forest Plantation,15,Pasture,46457.0,0.61%
9,Forest Plantation,3,Forest Formation,72118.0,0.94%
9,Forest Plantation,21,Mosaic of Uses,152043.0,1.99%
9,Forest Plantation,33,River Lake and Ocean,95.0,0.00%
9,Forest Plantation,46,Coffee,270.0,0.00%
9,Forest Plantation,24,Urban Area,354.0,0.00%
9,Forest Plantation,29,Rocky Outcrop,1.0,0.00%
9,Forest Plantation,11,Wetland,63.0,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,248.0,0.00%
9,Forest Plantation,5,Mangrove,1.0,0.00%
9,Forest Plantation,41,Other Temporary Crops,121.0,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,78.0,0.00%
9,Forest Plantation,48,Other Perennial Crops,7.0,0.00%
24,Urban Area,15,Pasture,384.0,0.01%
24,Urban Area,3,Forest Formation,84.0,0.00%
24,Urban Area,21,Mosaic of Uses,1386.0,0.02%
24,Urban Area,33,River Lake and Ocean,3294.0,0.04%
24,Urban Area,46,Coffee,3.0,0.00%
24,Urban Area,9,Forest Plantation,1.0,0.00%
24,Urban Area,11,Wetland,45.0,0.00%
24,Urban Area,49,Wooded Sandbank Vegetation,72.0,0.00%
24,Urban Area,5,Mangrove,134.0,0.00%
24,Urban Area,41,Other Temporary Crops,1.0,0.00%
24,Urban Area,25,Other non Vegetated Areas,229.0,0.00%
24,Urban Area,32,Hypersaline Tidal Flat,54.0,0.00%
24,Urban Area,23,Beach and Sand,230.0,0.00%
29,Rocky Outcrop,15,Pasture,1474.0,0.02%
29,Rocky Outcrop,3,Forest Formation,419.0,0.01%
29,Rocky Outcrop,0,No data,63.0,0.00%
29,Rocky Outcrop,21,Mosaic of Uses,3296.0,0.04%
29,Rocky Outcrop,33,River Lake and Ocean,19.0,0.00%
29,Rocky Outcrop,46,Coffee,238.0,0.00%
29,Rocky Outcrop,9,Forest Plantation,1.0,0.00%
29,Rocky Outcrop,24,Urban Area,14.0,0.00%
29,Rocky Outcrop,25,Other non Vegetated Areas,20.0,0.00%
11,Wetland,15,Pasture,10141.0,0.13%
11,Wetland,3,Forest Formation,203.0,0.00%
11,Wetland,0,No data,3.0,0.00%
