From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,434390.0,5.35%
15,Pasture,0,No data,179.0,0.00%
15,Pasture,21,Mosaic of Uses,2745830.0,33.83%
15,Pasture,33,River Lake and Ocean,22382.0,0.28%
15,Pasture,46,Coffee,426549.0,5.26%
15,Pasture,9,Forest Plantation,258594.0,3.19%
15,Pasture,24,Urban Area,129957.0,1.60%
15,Pasture,29,Rocky Outcrop,1611.0,0.02%
15,Pasture,11,Wetland,17123.0,0.21%
15,Pasture,49,Wooded Sandbank Vegetation,9276.0,0.11%
15,Pasture,41,Other Temporary Crops,23442.0,0.29%
15,Pasture,25,Other non Vegetated Areas,28095.0,0.35%
15,Pasture,48,Other Perennial Crops,18650.0,0.23%
15,Pasture,23,Beach and Sand,35.0,0.00%
15,Pasture,4,Savanna Formation,105.0,0.00%
15,Pasture,20,Sugar Cane,5819.0,0.07%
15,Pasture,50,Herbaceous Sandbank Vegetation,79.0,0.00%
3,Forest Formation,15,Pasture,394004.0,4.85%
3,Forest Formation,0,No data,108.0,0.00%
3,Forest Formation,21,Mosaic of Uses,871401.0,10.74%
3,Forest Formation,33,River Lake and Ocean,7225.0,0.09%
3,Forest Formation,46,Coffee,106815.0,1.32%
3,Forest Formation,9,Forest Plantation,157309.0,1.94%
3,Forest Formation,24,Urban Area,9494.0,0.12%
3,Forest Formation,29,Rocky Outcrop,493.0,0.01%
3,Forest Formation,11,Wetland,319.0,0.00%
3,Forest Formation,49,Wooded Sandbank Vegetation,177.0,0.00%
3,Forest Formation,5,Mangrove,1023.0,0.01%
3,Forest Formation,41,Other Temporary Crops,2480.0,0.03%
3,Forest Formation,25,Other non Vegetated Areas,4149.0,0.05%
3,Forest Formation,48,Other Perennial Crops,3040.0,0.04%
3,Forest Formation,32,Hypersaline Tidal Flat,25.0,0.00%
3,Forest Formation,4,Savanna Formation,9.0,0.00%
3,Forest Formation,20,Sugar Cane,141.0,0.00%
0,No data,15,Pasture,50.0,0.00%
0,No data,3,Forest Formation,76.0,0.00%
0,No data,21,Mosaic of Uses,49.0,0.00%
0,No data,33,River Lake and Ocean,2.0,0.00%
0,No data,46,Coffee,7.0,0.00%
0,No data,9,Forest Plantation,2.0,0.00%
0,No data,24,Urban Area,2.0,0.00%
0,No data,29,Rocky Outcrop,15.0,0.00%
0,No data,25,Other non Vegetated Areas,1.0,0.00%
21,Mosaic of Uses,15,Pasture,757350.0,9.33%
21,Mosaic of Uses,3,Forest Formation,646904.0,7.97%
21,Mosaic of Uses,0,No data,176.0,0.00%
21,Mosaic of Uses,33,River Lake and Ocean,20938.0,0.26%
21,Mosaic of Uses,46,Coffee,91831.0,1.13%
21,Mosaic of Uses,9,Forest Plantation,55236.0,0.68%
21,Mosaic of Uses,24,Urban Area,75338.0,0.93%
21,Mosaic of Uses,29,Rocky Outcrop,879.0,0.01%
21,Mosaic of Uses,11,Wetland,32564.0,0.40%
21,Mosaic of Uses,49,Wooded Sandbank Vegetation,20096.0,0.25%
21,Mosaic of Uses,5,Mangrove,564.0,0.01%
21,Mosaic of Uses,41,Other Temporary Crops,6822.0,0.08%
21,Mosaic of Uses,25,Other non Vegetated Areas,13866.0,0.17%
21,Mosaic of Uses,48,Other Perennial Crops,3160.0,0.04%
21,Mosaic of Uses,32,Hypersaline Tidal Flat,97.0,0.00%
21,Mosaic of Uses,23,Beach and Sand,110.0,0.00%
21,Mosaic of Uses,4,Savanna Formation,141.0,0.00%
21,Mosaic of Uses,20,Sugar Cane,941.0,0.01%
21,Mosaic of Uses,50,Herbaceous Sandbank Vegetation,154.0,0.00%
33,River Lake and Ocean,15,Pasture,5055.0,0.06%
33,River Lake and Ocean,3,Forest Formation,15601.0,0.19%
33,River Lake and Ocean,0,No data,11.0,0.00%
33,River Lake and Ocean,21,Mosaic of Uses,25583.0,0.32%
33,River Lake and Ocean,46,Coffee,29.0,0.00%
33,River Lake and Ocean,9,Forest Plantation,248.0,0.00%
33,River Lake and Ocean,24,Urban Area,3705.0,0.05%
33,River Lake and Ocean,29,Rocky Outcrop,23.0,0.00%
33,River Lake and Ocean,11,Wetland,5957.0,0.07%
33,River Lake and Ocean,49,Wooded Sandbank Vegetation,1328.0,0.02%
33,River Lake and Ocean,5,Mangrove,2547.0,0.03%
33,River Lake and Ocean,41,Other Temporary Crops,16.0,0.00%
33,River Lake and Ocean,25,Other non Vegetated Areas,3094.0,0.04%
33,River Lake and Ocean,32,Hypersaline Tidal Flat,7.0,0.00%
33,River Lake and Ocean,23,Beach and Sand,253.0,0.00%
33,River Lake and Ocean,20,Sugar Cane,1.0,0.00%
33,River Lake and Ocean,31,Aquaculture,4.0,0.00%
46,Coffee,15,Pasture,87945.0,1.08%
46,Coffee,3,Forest Formation,68184.0,0.84%
46,Coffee,0,No data,2.0,0.00%
46,Coffee,21,Mosaic of Uses,128449.0,1.58%
46,Coffee,33,River Lake and Ocean,18.0,0.00%
46,Coffee,9,Forest Plantation,492.0,0.01%
46,Coffee,24,Urban Area,279.0,0.00%
46,Coffee,29,Rocky Outcrop,188.0,0.00%
46,Coffee,41,Other Temporary Crops,2.0,0.00%
46,Coffee,25,Other non Vegetated Areas,172.0,0.00%
46,Coffee,48,Other Perennial Crops,157.0,0.00%
46,Coffee,4,Savanna Formation,5.0,0.00%
9,Forest Plantation,15,Pasture,37701.0,0.46%
9,Forest Plantation,3,Forest Formation,32506.0,0.40%
9,Forest Plantation,21,Mosaic of Uses,33530.0,0.41%
9,Forest Plantation,33,River Lake and Ocean,599.0,0.01%
9,Forest Plantation,46,Coffee,41.0,0.00%
9,Forest Plantation,24,Urban Area,2635.0,0.03%
9,Forest Plantation,11,Wetland,36.0,0.00%
9,Forest Plantation,49,Wooded Sandbank Vegetation,645.0,0.01%
9,Forest Plantation,41,Other Temporary Crops,59.0,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,539.0,0.01%
9,Forest Plantation,48,Other Perennial Crops,2.0,0.00%
9,Forest Plantation,20,Sugar Cane,10.0,0.00%
24,Urban Area,15,Pasture,19.0,0.00%
24,Urban Area,3,Forest Formation,46.0,0.00%
24,Urban Area,21,Mosaic of Uses,152.0,0.00%
24,Urban Area,33,River Lake and Ocean,738.0,0.01%
24,Urban Area,29,Rocky Outcrop,1.0,0.00%
24,Urban Area,11,Wetland,13.0,0.00%
24,Urban Area,49,Wooded Sandbank Vegetation,24.0,0.00%
24,Urban Area,5,Mangrove,67.0,0.00%
24,Urban Area,41,Other Temporary Crops,1.0,0.00%
24,Urban Area,25,Other non Vegetated Areas,84.0,0.00%
24,Urban Area,23,Beach and Sand,5.0,0.00%
24,Urban Area,31,Aquaculture,91.0,0.00%
29,Rocky Outcrop,15,Pasture,602.0,0.01%
29,Rocky Outcrop,3,Forest Formation,357.0,0.00%
29,Rocky Outcrop,0,No data,152.0,0.00%
29,Rocky Outcrop,21,Mosaic of Uses,6030.0,0.07%
29,Rocky Outcrop,33,River Lake and Ocean,29.0,0.00%
29,Rocky Outcrop,46,Coffee,359.0,0.00%
29,Rocky Outcrop,24,Urban Area,47.0,0.00%
29,Rocky Outcrop,11,Wetland,3.0,0.00%
29,Rocky Outcrop,25,Other non Vegetated Areas,59.0,0.00%
29,Rocky Outcrop,48,Other Perennial Crops,3.0,0.00%
11,Wetland,15,Pasture,31153.0,0.38%
11,Wetland,3,Forest Formation,195.0,0.00%
11,Wetland,21,Mosaic of Uses,27867.0,0.34%
11,Wetland,33,River Lake and Ocean,3579.0,0.04%
11,Wetland,46,Coffee,152.0,0.00%
11,Wetland,9,Forest Plantation,190.0,0.00%
11,Wetland,24,Urban Area,9990.0,0.12%
11,Wetland,49,Wooded Sandbank Vegetation,102.0,0.00%
11,Wetland,5,Mangrove,182.0,0.00%
11,Wetland,41,Other Temporary Crops,562.0,0.01%
11,Wetland,25,Other non Vegetated Areas,1361.0,0.02%
11,Wetland,48,Other Perennial Crops,14.0,0.00%
11,Wetland,32,Hypersaline Tidal Flat,126.0,0.00%
11,Wetland,23,Beach and Sand,26.0,0.00%
11,Wetland,20,Sugar Cane,11.0,0.00%
49,Wooded Sandbank Vegetation,15,Pasture,18006.0,0.22%
49,Wooded Sandbank Vegetation,3,Forest Formation,208.0,0.00%
49,Wooded Sandbank Vegetation,21,Mosaic of Uses,17668.0,0.22%
49,Wooded Sandbank Vegetation,33,River Lake and Ocean,592.0,0.01%
49,Wooded Sandbank Vegetation,46,Coffee,8.0,0.00%
49,Wooded Sandbank Vegetation,9,Forest Plantation,276.0,0.00%
49,Wooded Sandbank Vegetation,24,Urban Area,5030.0,0.06%
49,Wooded Sandbank Vegetation,11,Wetland,175.0,0.00%
49,Wooded Sandbank Vegetation,5,Mangrove,1319.0,0.02%
49,Wooded Sandbank Vegetation,25,Other non Vegetated Areas,567.0,0.01%
49,Wooded Sandbank Vegetation,32,Hypersaline Tidal Flat,2.0,0.00%
49,Wooded Sandbank Vegetation,23,Beach and Sand,1.0,0.00%
5,Mangrove,15,Pasture,1.0,0.00%
5,Mangrove,3,Forest Formation,1447.0,0.02%
5,Mangrove,21,Mosaic of Uses,120.0,0.00%
5,Mangrove,33,River Lake and Ocean,1372.0,0.02%
5,Mangrove,9,Forest Plantation,2.0,0.00%
5,Mangrove,24,Urban Area,99.0,0.00%
5,Mangrove,11,Wetland,128.0,0.00%
5,Mangrove,49,Wooded Sandbank Vegetation,309.0,0.00%
5,Mangrove,25,Other non Vegetated Areas,12.0,0.00%
5,Mangrove,32,Hypersaline Tidal Flat,214.0,0.00%
41,Other Temporary Crops,15,Pasture,3183.0,0.04%
41,Other Temporary Crops,3,Forest Formation,351.0,0.00%
41,Other Temporary Crops,21,Mosaic of Uses,536.0,0.01%
41,Other Temporary Crops,33,River Lake and Ocean,32.0,0.00%
41,Other Temporary Crops,46,Coffee,172.0,0.00%
41,Other Temporary Crops,9,Forest Plantation,41.0,0.00%
41,Other Temporary Crops,24,Urban Area,137.0,0.00%
41,Other Temporary Crops,25,Other non Vegetated Areas,71.0,0.00%
25,Other non Vegetated Areas,15,Pasture,10957.0,0.14%
25,Other non Vegetated Areas,3,Forest Formation,2509.0,0.03%
25,Other non Vegetated Areas,21,Mosaic of Uses,13061.0,0.16%
25,Other non Vegetated Areas,33,River Lake and Ocean,1393.0,0.02%
25,Other non Vegetated Areas,46,Coffee,1004.0,0.01%
25,Other non Vegetated Areas,9,Forest Plantation,5201.0,0.06%
25,Other non Vegetated Areas,24,Urban Area,2302.0,0.03%
25,Other non Vegetated Areas,29,Rocky Outcrop,2.0,0.00%
25,Other non Vegetated Areas,11,Wetland,1760.0,0.02%
25,Other non Vegetated Areas,49,Wooded Sandbank Vegetation,653.0,0.01%
25,Other non Vegetated Areas,5,Mangrove,34.0,0.00%
25,Other non Vegetated Areas,41,Other Temporary Crops,5.0,0.00%
25,Other non Vegetated Areas,48,Other Perennial Crops,38.0,0.00%
25,Other non Vegetated Areas,23,Beach and Sand,51.0,0.00%
25,Other non Vegetated Areas,50,Herbaceous Sandbank Vegetation,1.0,0.00%
48,Other Perennial Crops,15,Pasture,17917.0,0.22%
48,Other Perennial Crops,3,Forest Formation,25058.0,0.31%
48,Other Perennial Crops,21,Mosaic of Uses,21549.0,0.27%
48,Other Perennial Crops,33,River Lake and Ocean,13.0,0.00%
48,Other Perennial Crops,46,Coffee,377.0,0.00%
48,Other Perennial Crops,9,Forest Plantation,24.0,0.00%
48,Other Perennial Crops,24,Urban Area,79.0,0.00%
48,Other Perennial Crops,29,Rocky Outcrop,15.0,0.00%
48,Other Perennial Crops,25,Other non Vegetated Areas,40.0,0.00%
32,Hypersaline Tidal Flat,15,Pasture,8.0,0.00%
32,Hypersaline Tidal Flat,3,Forest Formation,260.0,0.00%
32,Hypersaline Tidal Flat,21,Mosaic of Uses,136.0,0.00%
32,Hypersaline Tidal Flat,33,River Lake and Ocean,173.0,0.00%
32,Hypersaline Tidal Flat,24,Urban Area,447.0,0.01%
32,Hypersaline Tidal Flat,11,Wetland,1251.0,0.02%
32,Hypersaline Tidal Flat,49,Wooded Sandbank Vegetation,51.0,0.00%
32,Hypersaline Tidal Flat,5,Mangrove,2121.0,0.03%
23,Beach and Sand,15,Pasture,214.0,0.00%
23,Beach and Sand,21,Mosaic of Uses,1091.0,0.01%
23,Beach and Sand,33,River Lake and Ocean,802.0,0.01%
23,Beach and Sand,24,Urban Area,636.0,0.01%
23,Beach and Sand,11,Wetland,702.0,0.01%
23,Beach and Sand,49,Wooded Sandbank Vegetation,7.0,0.00%
23,Beach and Sand,25,Other non Vegetated Areas,1374.0,0.02%
23,Beach and Sand,50,Herbaceous Sandbank Vegetation,6.0,0.00%
4,Savanna Formation,15,Pasture,78.0,0.00%
4,Savanna Formation,3,Forest Formation,21.0,0.00%
4,Savanna Formation,21,Mosaic of Uses,83.0,0.00%
4,Savanna Formation,46,Coffee,41.0,0.00%
