From_Class,From_Label,To_Class,To_Label,Count,Percent
0,No data,0,No data,1377260626.0,46.31%
15,Pasture,15,Pasture,777443374.0,26.14%
3,Forest Formation,3,Forest Formation,336868541.0,11.33%
21,Mosaic of Uses,21,Mosaic of Uses,207313450.0,6.97%
4,Savanna Formation,4,Savanna Formation,57377082.0,1.93%
9,Forest Plantation,9,Forest Plantation,57644327.0,1.94%
11,Wetland,11,Wetland,26839483.0,0.90%
33,River, Lake and Ocean,33,River, Lake and Ocean,21078060.0,0.71%
46,Coffee,46,Coffee,17964674.0,0.60%
41,Other Temporary Crops,41,Other Temporary Crops,16207810.0,0.54%
