From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,500103.0,2.00%
15,Pasture,21,Mosaic of Uses,8303725.0,33.17%
15,Pasture,46,Coffee,678893.0,2.71%
15,Pasture,9,Forest Plantation,75283.0,0.30%
15,Pasture,29,Rocky Outcrop,4417.0,0.02%
15,Pasture,33,River Lake and Ocean,68322.0,0.27%
15,Pasture,24,Urban Area,72727.0,0.29%
15,Pasture,4,Savanna Formation,18707.0,0.07%
15,Pasture,41,Other Temporary Crops,19625.0,0.08%
15,Pasture,25,Other non Vegetated Areas,6638.0,0.03%
15,Pasture,11,Wetland,1201.0,0.00%
15,Pasture,12,Grassland,554.0,0.00%
15,Pasture,48,Other Perennial Crops,142.0,0.00%
15,Pasture,30,Mining,637.0,0.00%
15,Pasture,0,No data,993.0,0.00%
3,Forest Formation,15,Pasture,1187577.0,4.74%
3,Forest Formation,21,Mosaic of Uses,2842798.0,11.35%
3,Forest Formation,46,Coffee,49358.0,0.20%
3,Forest Formation,9,Forest Plantation,199415.0,0.80%
3,Forest Formation,29,Rocky Outcrop,923.0,0.00%
3,Forest Formation,33,River Lake and Ocean,38344.0,0.15%
3,Forest Formation,24,Urban Area,1932.0,0.01%
3,Forest Formation,4,Savanna Formation,2915.0,0.01%
3,Forest Formation,41,Other Temporary Crops,1521.0,0.01%
3,Forest Formation,25,Other non Vegetated Areas,1067.0,0.00%
3,Forest Formation,11,Wetland,66.0,0.00%
3,Forest Formation,12,Grassland,136.0,0.00%
3,Forest Formation,48,Other Perennial Crops,50.0,0.00%
3,Forest Formation,30,Mining,188.0,0.00%
3,Forest Formation,0,No data,3338.0,0.01%
21,Mosaic of Uses,15,Pasture,7290670.0,29.12%
21,Mosaic of Uses,3,Forest Formation,2278064.0,9.10%
21,Mosaic of Uses,46,Coffee,186372.0,0.74%
21,Mosaic of Uses,9,Forest Plantation,80504.0,0.32%
21,Mosaic of Uses,29,Rocky Outcrop,6134.0,0.02%
21,Mosaic of Uses,33,River Lake and Ocean,79900.0,0.32%
21,Mosaic of Uses,24,Urban Area,30205.0,0.12%
21,Mosaic of Uses,4,Savanna Formation,18167.0,0.07%
21,Mosaic of Uses,41,Other Temporary Crops,5068.0,0.02%
21,Mosaic of Uses,25,Other non Vegetated Areas,7711.0,0.03%
21,Mosaic of Uses,11,Wetland,4422.0,0.02%
21,Mosaic of Uses,12,Grassland,1332.0,0.01%
21,Mosaic of Uses,48,Other Perennial Crops,92.0,0.00%
21,Mosaic of Uses,30,Mining,111.0,0.00%
21,Mosaic of Uses,0,No data,2953.0,0.01%
46,Coffee,15,Pasture,302006.0,1.21%
46,Coffee,3,Forest Formation,48875.0,0.20%
46,Coffee,21,Mosaic of Uses,155943.0,0.62%
46,Coffee,9,Forest Plantation,817.0,0.00%
46,Coffee,29,Rocky Outcrop,175.0,0.00%
46,Coffee,33,River Lake and Ocean,4.0,0.00%
46,Coffee,24,Urban Area,12.0,0.00%
46,Coffee,4,Savanna Formation,21.0,0.00%
46,Coffee,41,Other Temporary Crops,771.0,0.00%
46,Coffee,25,Other non Vegetated Areas,4.0,0.00%
46,Coffee,48,Other Perennial Crops,28.0,0.00%
46,Coffee,30,Mining,3.0,0.00%
46,Coffee,0,No data,5.0,0.00%
9,Forest Plantation,15,Pasture,15692.0,0.06%
9,Forest Plantation,3,Forest Formation,111030.0,0.44%
9,Forest Plantation,21,Mosaic of Uses,24221.0,0.10%
9,Forest Plantation,46,Coffee,439.0,0.00%
