From_Class,From_Label,To_Class,To_Label,Count
20,Sugar Cane,15,Pasture,10894.0
20,Sugar Cane,3,Forest Formation,3732.0
20,Sugar Cane,21,Mosaic of Uses,12061.0
20,Sugar Cane,46,Coffee,27.0
20,Sugar Cane,9,Forest Plantation,20.0
20,Sugar Cane,29,Rocky Outcrop,104.0
20,Sugar Cane,33,River Lake and Ocean,339.0
20,Sugar Cane,24,Urban Area,10.0
20,Sugar Cane,41,Other Temporary Crops,59.0
20,Sugar Cane,25,Other non Vegetated Areas,20.0
20,Sugar Cane,12,Grassland,7.0
20,Sugar Cane,30,Mining,9.0
20,Sugar Cane,0,No data,11.0
