From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,369361.0,1.48%
15,Pasture,21,Mosaic of Uses,6595458.0,26.51%
15,Pasture,46,Coffee,538250.0,2.16%
15,Pasture,9,Forest Plantation,94701.0,0.38%
15,Pasture,29,Rocky Outcrop,4048.0,0.02%
15,Pasture,33,River Lake and Ocean,52845.0,0.21%
15,Pasture,24,Urban Area,60730.0,0.24%
15,Pasture,4,Savanna Formation,7789.0,0.03%
15,Pasture,41,Other Temporary Crops,11099.0,0.04%
15,Pasture,25,Other non Vegetated Areas,7024.0,0.03%
15,Pasture,11,Wetland,164.0,0.00%
15,Pasture,12,Grassland,770.0,0.00%
15,Pasture,48,Other Perennial Crops,3496.0,0.01%
15,Pasture,30,Mining,89.0,0.00%
15,Pasture,0,No data,607.0,0.00%
3,Forest Formation,15,Pasture,1196553.0,4.81%
3,Forest Formation,21,Mosaic of Uses,2567782.0,10.32%
3,Forest Formation,46,Coffee,62510.0,0.25%
3,Forest Formation,9,Forest Plantation,539936.0,2.17%
3,Forest Formation,29,Rocky Outcrop,1297.0,0.01%
3,Forest Formation,33,River Lake and Ocean,45980.0,0.18%
3,Forest Formation,24,Urban Area,916.0,0.00%
3,Forest Formation,4,Savanna Formation,2436.0,0.01%
3,Forest Formation,41,Other Temporary Crops,1490.0,0.01%
3,Forest Formation,25,Other non Vegetated Areas,1277.0,0.01%
3,Forest Formation,11,Wetland,35.0,0.00%
3,Forest Formation,12,Grassland,199.0,0.00%
3,Forest Formation,48,Other Perennial Crops,908.0,0.00%
3,Forest Formation,30,Mining,74.0,0.00%
3,Forest Formation,0,No data,3079.0,0.01%
21,Mosaic of Uses,15,Pasture,9204847.0,36.99%
21,Mosaic of Uses,3,Forest Formation,2053471.0,8.25%
21,Mosaic of Uses,46,Coffee,107804.0,0.43%
21,Mosaic of Uses,9,Forest Plantation,109957.0,0.44%
21,Mosaic of Uses,29,Rocky Outcrop,4398.0,0.02%
21,Mosaic of Uses,33,River Lake and Ocean,66325.0,0.27%
21,Mosaic of Uses,24,Urban Area,27336.0,0.11%
21,Mosaic of Uses,4,Savanna Formation,10092.0,0.04%
21,Mosaic of Uses,41,Other Temporary Crops,4620.0,0.02%
21,Mosaic of Uses,25,Other non Vegetated Areas,4739.0,0.02%
21,Mosaic of Uses,11,Wetland,1927.0,0.01%
21,Mosaic of Uses,12,Grassland,908.0,0.00%
21,Mosaic of Uses,48,Other Perennial Crops,1241.0,0.00%
21,Mosaic of Uses,30,Mining,48.0,0.00%
21,Mosaic of Uses,0,No data,2988.0,0.01%
46,Coffee,15,Pasture,183860.0,0.74%
46,Coffee,3,Forest Formation,50740.0,0.20%
46,Coffee,21,Mosaic of Uses,66483.0,0.27%
46,Coffee,9,Forest Plantation,517.0,0.00%
46,Coffee,29,Rocky Outcrop,124.0,0.00%
46,Coffee,24,Urban Area,11.0,0.00%
46,Coffee,4,Savanna Formation,41.0,0.00%
46,Coffee,41,Other Temporary Crops,235.0,0.00%
46,Coffee,48,Other Perennial Crops,284.0,0.00%
46,Coffee,30,Mining,7.0,0.00%
46,Coffee,0,No data,4.0,0.00%
9,Forest Plantation,15,Pasture,8909.0,0.04%
9,Forest Plantation,3,Forest Formation,39778.0,0.16%
9,Forest Plantation,21,Mosaic of Uses,9609.0,0.04%
9,Forest Plantation,46,Coffee,610.0,0.00%
9,Forest Plantation,33,River Lake and Ocean,9.0,0.00%
9,Forest Plantation,41,Other Temporary Crops,106.0,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,2.0,0.00%
9,Forest Plantation,12,Grassland,6.0,0.00%
9,Forest Plantation,48,Other Perennial Crops,2.0,0.00%
9,Forest Plantation,0,No data,5.0,0.00%
29,Rocky Outcrop,15,Pasture,9423.0,0.04%
29,Rocky Outcrop,3,Forest Formation,569.0,0.00%
29,Rocky Outcrop,21,Mosaic of Uses,7920.0,0.03%
29,Rocky Outcrop,46,Coffee,254.0,0.00%
29,Rocky Outcrop,9,Forest Plantation,1.0,0.00%
29,Rocky Outcrop,33,River Lake and Ocean,802.0,0.00%
29,Rocky Outcrop,24,Urban Area,48.0,0.00%
29,Rocky Outcrop,4,Savanna Formation,68.0,0.00%
29,Rocky Outcrop,25,Other non Vegetated Areas,25.0,0.00%
29,Rocky Outcrop,12,Grassland,5.0,0.00%
29,Rocky Outcrop,48,Other Perennial Crops,6.0,0.00%
29,Rocky Outcrop,30,Mining,158.0,0.00%
29,Rocky Outcrop,0,No data,43.0,0.00%
33,River Lake and Ocean,15,Pasture,48588.0,0.20%
33,River Lake and Ocean,3,Forest Formation,42414.0,0.17%
33,River Lake and Ocean,21,Mosaic of Uses,77120.0,0.31%
33,River Lake and Ocean,46,Coffee,10.0,0.00%
33,River Lake and Ocean,9,Forest Plantation,69.0,0.00%
33,River Lake and Ocean,29,Rocky Outcrop,649.0,0.00%
33,River Lake and Ocean,24,Urban Area,3406.0,0.01%
33,River Lake and Ocean,4,Savanna Formation,652.0,0.00%
33,River Lake and Ocean,41,Other Temporary Crops,180.0,0.00%
33,River Lake and Ocean,25,Other non Vegetated Areas,5410.0,0.02%
33,River Lake and Ocean,11,Wetland,357.0,0.00%
33,River Lake and Ocean,12,Grassland,525.0,0.00%
33,River Lake and Ocean,30,Mining,27.0,0.00%
33,River Lake and Ocean,0,No data,53.0,0.00%
24,Urban Area,15,Pasture,696.0,0.00%
24,Urban Area,3,Forest Formation,67.0,0.00%
24,Urban Area,21,Mosaic of Uses,935.0,0.00%
24,Urban Area,33,River Lake and Ocean,2148.0,0.01%
24,Urban Area,25,Other non Vegetated Areas,13.0,0.00%
24,Urban Area,12,Grassland,18.0,0.00%
24,Urban Area,30,Mining,43.0,0.00%
24,Urban Area,0,No data,1.0,0.00%
