From_Class,From_Label,To_Class,To_Label,Count,Percent
15,Pasture,3,Forest Formation,2381291.0,8.96%
15,Pasture,21,Mosaic of Uses,5336193.0,20.07%
15,Pasture,46,Coffee,1565842.0,5.89%
15,Pasture,9,Forest Plantation,539101.0,2.03%
15,Pasture,29,Rocky Outcrop,4629.0,0.02%
15,Pasture,33,River Lake and Ocean,53671.0,0.20%
15,Pasture,24,Urban Area,245200.0,0.92%
15,Pasture,4,Savanna Formation,71074.0,0.27%
15,Pasture,41,Other Temporary Crops,166841.0,0.63%
15,Pasture,25,Other non Vegetated Areas,47784.0,0.18%
15,Pasture,11,Wetland,801.0,0.00%
15,Pasture,12,Grassland,724.0,0.00%
15,Pasture,48,Other Perennial Crops,12753.0,0.05%
15,Pasture,30,Mining,1760.0,0.01%
15,Pasture,0,No data,980.0,0.00%
15,Pasture,20,Sugar Cane,1189.0,0.00%
3,Forest Formation,15,Pasture,2764086.0,10.40%
3,Forest Formation,21,Mosaic of Uses,2404770.0,9.05%
3,Forest Formation,46,Coffee,243274.0,0.92%
3,Forest Formation,9,Forest Plantation,1011953.0,3.81%
3,Forest Formation,29,Rocky Outcrop,1522.0,0.01%
3,Forest Formation,33,River Lake and Ocean,15308.0,0.06%
3,Forest Formation,24,Urban Area,16289.0,0.06%
3,Forest Formation,4,Savanna Formation,3715.0,0.01%
3,Forest Formation,41,Other Temporary Crops,9308.0,0.04%
3,Forest Formation,25,Other non Vegetated Areas,9301.0,0.03%
3,Forest Formation,11,Wetland,35.0,0.00%
3,Forest Formation,12,Grassland,209.0,0.00%
3,Forest Formation,48,Other Perennial Crops,5993.0,0.02%
3,Forest Formation,30,Mining,1546.0,0.01%
3,Forest Formation,0,No data,501.0,0.00%
3,Forest Formation,20,Sugar Cane,8.0,0.00%
21,Mosaic of Uses,15,Pasture,4815479.0,18.12%
21,Mosaic of Uses,3,Forest Formation,2819269.0,10.61%
21,Mosaic of Uses,46,Coffee,375888.0,1.41%
21,Mosaic of Uses,9,Forest Plantation,228402.0,0.86%
21,Mosaic of Uses,29,Rocky Outcrop,3863.0,0.01%
21,Mosaic of Uses,33,River Lake and Ocean,33720.0,0.13%
21,Mosaic of Uses,24,Urban Area,85758.0,0.32%
21,Mosaic of Uses,4,Savanna Formation,29722.0,0.11%
21,Mosaic of Uses,41,Other Temporary Crops,30251.0,0.11%
21,Mosaic of Uses,25,Other non Vegetated Areas,13666.0,0.05%
