From_Class,From_Label,To_Class,To_Label,Count
62,Cotton,15,Pasture,150109.0
62,Cotton,3,Forest Formation,181808.0
62,Cotton,21,Mosaic of Uses,345295.0
62,Cotton,4,Savanna Formation,29799.0
62,Cotton,0,No data,334.0
62,Cotton,29,Rocky Outcrop,2127.0
62,Cotton,9,Forest Plantation,222.0
62,Cotton,12,Grassland,43901.0
62,Cotton,24,Urban Area,21769.0
62,Cotton,41,Other Temporary Crops,5974.0
62,Cotton,46,Coffee,12.0
62,Cotton,11,Wetland,174991.0
62,Cotton,25,Other non Vegetated Areas,54403.0
62,Cotton,30,Mining,15338.0
62,Cotton,50,Herbaceous Sandbank Vegetation,99.0
62,Cotton,49,Wooded Sandbank Vegetation,9934.0
62,Cotton,23,Beach and Sand,6082.0
62,Cotton,5,Mangrove,11173.0
62,Cotton,48,Other Perennial Crops,9.0
62,Cotton,31,Aquaculture,8880.0
62,Cotton,32,Hypersaline Tidal Flat,2888.0
