Source,Target,Value
0,2,10983402
0,3,8794570
0,6,10244376
0,9,49210542
0,11,69272165
1,2,10983402
1,3,8794570
1,6,10244376
1,9,49210542
1,11,69272165
2,2,10983402
2,3,8794570
2,6,10244376
2,9,49210542
2,11,69272165
3,2,10983402
3,3,8794570
3,6,10244376
3,9,49210542
3,11,69272165
4,2,10983402
4,3,8794570
4,6,10244376
4,9,49210542
4,11,69272165
5,2,10983402
5,3,8794570
5,6,10244376
5,9,49210542
5,11,69272165
6,2,10983402
6,3,8794570
6,6,10244376
6,9,49210542
6,11,69272165
7,2,10983402
7,3,8794570
7,6,10244376
7,9,49210542
7,11,69272165
8,2,10983402
8,3,8794570
8,6,10244376
8,9,49210542
8,11,69272165
9,2,10983402
9,3,8794570
9,6,10244376
9,9,49210542
9,11,69272165
10,2,10983402
10,3,8794570
10,6,10244376
10,9,49210542
10,11,69272165
11,2,10983402
11,3,8794570
11,6,10244376
11,9,49210542
11,11,69272165
12,2,10983402
12,3,8794570
12,6,10244376
12,9,49210542
12,11,69272165
13,2,10983402
13,3,8794570
13,6,10244376
13,9,49210542
13,11,69272165
14,2,10983402
14,3,8794570
14,6,10244376
14,9,49210542
14,11,69272165
15,2,10983402
15,3,8794570
15,6,10244376
15,9,49210542
15,11,69272165
16,2,10983402
16,3,8794570
16,6,10244376
16,9,49210542
16,11,69272165
17,2,10983402
17,3,8794570
17,6,10244376
17,9,49210542
17,11,69272165
18,2,10983402
18,3,8794570
18,6,10244376
18,9,49210542
18,11,69272165
19,2,10983402
19,3,8794570
19,6,10244376
19,9,49210542
19,11,69272165
20,2,10983402
20,3,8794570
20,6,10244376
20,9,49210542
20,11,69272165
21,2,10983402
21,3,8794570
21,6,10244376
21,9,49210542
21,11,69272165
22,2,10983402
22,3,8794570
22,6,10244376
22,9,49210542
22,11,69272165
23,2,10983402
23,3,8794570
23,6,10244376
23,9,49210542
23,11,69272165
24,2,10983402
24,3,8794570
24,6,10244376
24,9,49210542
24,11,69272165
25,2,10983402
25,3,8794570
25,6,10244376
25,9,49210542
25,11,69272165
26,2,10983402
26,3,8794570
26,6,10244376
26,9,49210542
26,11,69272165
27,2,10983402
27,3,8794570
27,6,10244376
27,9,49210542
27,11,69272165
28,2,10983402
28,3,8794570
28,6,10244376
28,9,49210542
28,11,69272165
29,2,10983402
29,3,8794570
29,6,10244376
29,9,49210542
29,11,69272165
