From_Class,From_Label,To_Class,To_Label,Count
15,Pasture,21,Mosaic of Uses,1479824
15,Pasture,3,Forest Formation,55300
15,Pasture,41,Other Temporary Crops,151775
15,Pasture,9,Forest Plantation,42236
15,Pasture,39,Soybean,280004
15,Pasture,20,Sugar Cane,3103
15,Pasture,11,Wetland,18423
15,Pasture,46,Coffee,9456
15,Pasture,12,Grassland,13214
15,Pasture,33,River Lake and Ocean,1092
15,Pasture,24,Urban Area,3211
15,Pasture,29,Rocky Outcrop,313
15,Pasture,25,Other non Vegetated Areas,437
15,Pasture,48,Other Perennial Crops,442
15,Pasture,4,Savanna Formation,1303
15,Pasture,0,No data,84
21,Mosaic of Uses,15,Pasture,1243660
21,Mosaic of Uses,3,Forest Formation,332340
21,Mosaic of Uses,41,Other Temporary Crops,324893
21,Mosaic of Uses,9,Forest Plantation,131130
21,Mosaic of Uses,39,Soybean,368422
21,Mosaic of Uses,20,Sugar Cane,152206
21,Mosaic of Uses,11,Wetland,4622
21,Mosaic of Uses,46,Coffee,24852
21,Mosaic of Uses,12,Grassland,1923
21,Mosaic of Uses,33,River Lake and Ocean,21905
21,Mosaic of Uses,24,Urban Area,20650
21,Mosaic of Uses,29,Rocky Outcrop,53
21,Mosaic of Uses,25,Other non Vegetated Areas,4998
21,Mosaic of Uses,48,Other Perennial Crops,891
21,Mosaic of Uses,4,Savanna Formation,504
21,Mosaic of Uses,0,No data,523
3,Forest Formation,15,Pasture,73200
3,Forest Formation,21,Mosaic of Uses,331906
3,Forest Formation,41,Other Temporary Crops,14205
3,Forest Formation,9,Forest Plantation,109618
3,Forest Formation,39,Soybean,20943
3,Forest Formation,20,Sugar Cane,841
3,Forest Formation,11,Wetland,12956
3,Forest Formation,46,Coffee,5636
3,Forest Formation,12,Grassland,8670
3,Forest Formation,33,River Lake and Ocean,7938
3,Forest Formation,24,Urban Area,174
3,Forest Formation,29,Rocky Outcrop,209
3,Forest Formation,25,Other non Vegetated Areas,210
3,Forest Formation,48,Other Perennial Crops,223
3,Forest Formation,4,Savanna Formation,1008
3,Forest Formation,0,No data,637
41,Other Temporary Crops,15,Pasture,169485
41,Other Temporary Crops,21,Mosaic of Uses,237071
41,Other Temporary Crops,3,Forest Formation,15232
41,Other Temporary Crops,9,Forest Plantation,77992
41,Other Temporary Crops,39,Soybean,1896223
41,Other Temporary Crops,20,Sugar Cane,250711
41,Other Temporary Crops,11,Wetland,2868
41,Other Temporary Crops,46,Coffee,18356
41,Other Temporary Crops,12,Grassland,2776
41,Other Temporary Crops,33,River Lake and Ocean,3516
41,Other Temporary Crops,24,Urban Area,4599
41,Other Temporary Crops,29,Rocky Outcrop,27
41,Other Temporary Crops,25,Other non Vegetated Areas,795
41,Other Temporary Crops,48,Other Perennial Crops,78
41,Other Temporary Crops,4,Savanna Formation,88
41,Other Temporary Crops,0,No data,7
9,Forest Plantation,15,Pasture,5060
9,Forest Plantation,21,Mosaic of Uses,25522
9,Forest Plantation,3,Forest Formation,55584
9,Forest Plantation,41,Other Temporary Crops,6635
9,Forest Plantation,39,Soybean,6000
9,Forest Plantation,20,Sugar Cane,60
9,Forest Plantation,11,Wetland,992
9,Forest Plantation,46,Coffee,188
9,Forest Plantation,12,Grassland,2870
9,Forest Plantation,33,River Lake and Ocean,82
9,Forest Plantation,24,Urban Area,171
9,Forest Plantation,29,Rocky Outcrop,12
9,Forest Plantation,25,Other non Vegetated Areas,152
9,Forest Plantation,48,Other Perennial Crops,1
9,Forest Plantation,4,Savanna Formation,181
9,Forest Plantation,0,No data,17
39,Soybean,15,Pasture,47552
39,Soybean,21,Mosaic of Uses,35379
39,Soybean,3,Forest Formation,11980
39,Soybean,41,Other Temporary Crops,1527870
39,Soybean,9,Forest Plantation,6194
39,Soybean,20,Sugar Cane,102614
39,Soybean,11,Wetland,1555
39,Soybean,46,Coffee,502
39,Soybean,12,Grassland,258
39,Soybean,33,River Lake and Ocean,626
39,Soybean,24,Urban Area,1793
39,Soybean,29,Rocky Outcrop,46
39,Soybean,25,Other non Vegetated Areas,145
39,Soybean,48,Other Perennial Crops,2
39,Soybean,4,Savanna Formation,21
39,Soybean,0,No data,2
20,Sugar Cane,15,Pasture,3152
20,Sugar Cane,21,Mosaic of Uses,125462
20,Sugar Cane,3,Forest Formation,435
20,Sugar Cane,41,Other Temporary Crops,140986
20,Sugar Cane,9,Forest Plantation,276
20,Sugar Cane,39,Soybean,143875
20,Sugar Cane,11,Wetland,12
20,Sugar Cane,46,Coffee,38
20,Sugar Cane,33,River Lake and Ocean,254
20,Sugar Cane,24,Urban Area,433
20,Sugar Cane,25,Other non Vegetated Areas,40
20,Sugar Cane,48,Other Perennial Crops,17
20,Sugar Cane,0,No data,4
11,Wetland,15,Pasture,17962
11,Wetland,21,Mosaic of Uses,10002
11,Wetland,3,Forest Formation,28675
11,Wetland,41,Other Temporary Crops,3897
11,Wetland,9,Forest Plantation,5085
11,Wetland,39,Soybean,3845
11,Wetland,20,Sugar Cane,10
11,Wetland,46,Coffee,2
11,Wetland,12,Grassland,6777
11,Wetland,33,River Lake and Ocean,1119
11,Wetland,24,Urban Area,20
11,Wetland,29,Rocky Outcrop,218
11,Wetland,25,Other non Vegetated Areas,62
11,Wetland,4,Savanna Formation,768
46,Coffee,15,Pasture,9878
46,Coffee,21,Mosaic of Uses,24548
46,Coffee,3,Forest Formation,2980
46,Coffee,41,Other Temporary Crops,23730
46,Coffee,9,Forest Plantation,251
46,Coffee,39,Soybean,5746
46,Coffee,20,Sugar Cane,71
46,Coffee,11,Wetland,3
46,Coffee,33,River Lake and Ocean,5
46,Coffee,24,Urban Area,491
46,Coffee,25,Other non Vegetated Areas,42
46,Coffee,48,Other Perennial Crops,36
46,Coffee,4,Savanna Formation,8
12,Grassland,15,Pasture,16177
12,Grassland,21,Mosaic of Uses,4775
12,Grassland,3,Forest Formation,7072
12,Grassland,41,Other Temporary Crops,4820
12,Grassland,9,Forest Plantation,6129
12,Grassland,39,Soybean,2256
12,Grassland,11,Wetland,10022
12,Grassland,33,River Lake and Ocean,296
12,Grassland,24,Urban Area,2
12,Grassland,29,Rocky Outcrop,348
12,Grassland,25,Other non Vegetated Areas,338
12,Grassland,4,Savanna Formation,876
33,River Lake and Ocean,15,Pasture,497
33,River Lake and Ocean,21,Mosaic of Uses,21368
33,River Lake and Ocean,3,Forest Formation,8998
33,River Lake and Ocean,41,Other Temporary Crops,1267
33,River Lake and Ocean,9,Forest Plantation,145
33,River Lake and Ocean,39,Soybean,257
33,River Lake and Ocean,20,Sugar Cane,178
33,River Lake and Ocean,11,Wetland,1399
33,River Lake and Ocean,46,Coffee,1
33,River Lake and Ocean,12,Grassland,454
33,River Lake and Ocean,24,Urban Area,234
33,River Lake and Ocean,29,Rocky Outcrop,1
33,River Lake and Ocean,25,Other non Vegetated Areas,453
33,River Lake and Ocean,4,Savanna Formation,2
33,River Lake and Ocean,0,No data,9
24,Urban Area,15,Pasture,105
24,Urban Area,21,Mosaic of Uses,507
24,Urban Area,3,Forest Formation,19
24,Urban Area,41,Other Temporary Crops,176
24,Urban Area,9,Forest Plantation,6
24,Urban Area,39,Soybean,132
24,Urban Area,20,Sugar Cane,11
24,Urban Area,11,Wetland,4
24,Urban Area,46,Coffee,35
24,Urban Area,33,River Lake and Ocean,121
24,Urban Area,25,Other non Vegetated Areas,10
24,Urban Area,4,Savanna Formation,1
29,Rocky Outcrop,15,Pasture,201
29,Rocky Outcrop,21,Mosaic of Uses,48
29,Rocky Outcrop,3,Forest Formation,267
29,Rocky Outcrop,41,Other Temporary Crops,25
29,Rocky Outcrop,9,Forest Plantation,99
29,Rocky Outcrop,39,Soybean,53
29,Rocky Outcrop,11,Wetland,249
29,Rocky Outcrop,12,Grassland,318
29,Rocky Outcrop,33,River Lake and Ocean,1
29,Rocky Outcrop,4,Savanna Formation,8
25,Other non Vegetated Areas,15,Pasture,1217
25,Other non Vegetated Areas,21,Mosaic of Uses,6607
25,Other non Vegetated Areas,3,Forest Formation,188
25,Other non Vegetated Areas,41,Other Temporary Crops,269
25,Other non Vegetated Areas,9,Forest Plantation,71
25,Other non Vegetated Areas,39,Soybean,476
25,Other non Vegetated Areas,20,Sugar Cane,5
25,Other non Vegetated Areas,11,Wetland,79
25,Other non Vegetated Areas,46,Coffee,87
25,Other non Vegetated Areas,12,Grassland,128
25,Other non Vegetated Areas,33,River Lake and Ocean,415
25,Other non Vegetated Areas,24,Urban Area,115
25,Other non Vegetated Areas,4,Savanna Formation,71
48,Other Perennial Crops,15,Pasture,2256
48,Other Perennial Crops,21,Mosaic of Uses,2964
48,Other Perennial Crops,3,Forest Formation,834
48,Other Perennial Crops,41,Other Temporary Crops,530
48,Other Perennial Crops,9,Forest Plantation,5
48,Other Perennial Crops,39,Soybean,138
48,Other Perennial Crops,20,Sugar Cane,27
48,Other Perennial Crops,46,Coffee,108
48,Other Perennial Crops,24,Urban Area,17
4,Savanna Formation,15,Pasture,670
4,Savanna Formation,21,Mosaic of Uses,860
4,Savanna Formation,3,Forest Formation,1553
4,Savanna Formation,41,Other Temporary Crops,77
4,Savanna Formation,9,Forest Plantation,122
4,Savanna Formation,39,Soybean,105
4,Savanna Formation,11,Wetland,771
4,Savanna Formation,46,Coffee,7
4,Savanna Formation,12,Grassland,292
4,Savanna Formation,33,River Lake and Ocean,1
4,Savanna Formation,24,Urban Area,7
4,Savanna Formation,29,Rocky Outcrop,6
4,Savanna Formation,25,Other non Vegetated Areas,51
0,No data,15,Pasture,75
0,No data,21,Mosaic of Uses,522
0,No data,3,Forest Formation,672
0,No data,41,Other Temporary Crops,12
0,No data,9,Forest Plantation,32
0,No data,39,Soybean,5
0,No data,20,Sugar Cane,1
0,No data,46,Coffee,1
0,No data,33,River Lake and Ocean,6
