Class,Label,Color,Initial_Pixels,Persistent_Pixels,Changed_Pixels,Persistent_Percent
15,Pasture,#edde8e,5576786,1697562,3879224,30.4%
21,Mosaic of Uses,#ffefc3,4101103,366208,3734895,8.9%
3,Forest Formation,#1f8d49,3851960,2394867,1457093,62.2%
41,Other Temporary Crops,#f54ca9,2073195,7601,2065594,0.4%
9,Forest Plantation,#7a5900,1127635,973833,153802,86.4%
39,Soybean,#f5b3c8,583061,199606,383455,34.2%
20,Sugar Cane,#db7093,265882,36174,229708,13.6%
11,Wetland,#519799,221084,72186,148898,32.7%
46,Coffee,#d68fe2,113021,7885,105136,7.0%
12,Grassland,#d6bc74,104279,21367,82912,20.5%
33,River Lake and Ocean,#259fe4,94700,57353,37347,60.6%
24,Urban Area,#d4271e,75212,74721,491,99.3%
29,Rocky Outcrop,#ffaa5f,29285,28099,1186,96.0%
25,Other non Vegetated Areas,#db4d4f,22287,486,21801,2.2%
48,Other Perennial Crops,#e6ccff,20736,229,20507,1.1%
4,Savanna Formation,#7dc975,798,0,798,0.0%
0,No data,#ffffff,363,0,363,0.0%
