From_Class,From_Label,To_Class,To_Label,Count,Percent
3,Forest Formation,4,Savanna Formation,907,0.01%
3,Forest Formation,9,Forest Plantation,98657,1.05%
3,Forest Formation,11,Wetland,11660,0.12%
3,Forest Formation,12,Grassland,7803,0.08%
3,Forest Formation,15,Pasture,65880,0.70%
3,Forest Formation,20,Sugar Cane,757,0.01%
3,Forest Formation,21,Mosaic of Uses,298716,3.17%
3,Forest Formation,24,Urban Area,157,0.00%
3,Forest Formation,25,Other non Vegetated Areas,189,0.00%
3,Forest Formation,29,Rocky Outcrop,188,0.00%
3,Forest Formation,33,River Lake and Ocean,7145,0.08%
3,Forest Formation,39,Soybean,18849,0.20%
3,Forest Formation,41,Other Temporary Crops,12784,0.14%
3,Forest Formation,46,Coffee,5073,0.05%
3,Forest Formation,48,Other Perennial Crops,201,0.00%
4,Savanna Formation,3,Forest Formation,1398,0.01%
4,Savanna Formation,9,Forest Plantation,110,0.00%
4,Savanna Formation,11,Wetland,694,0.01%
4,Savanna Formation,12,Grassland,262,0.00%
4,Savanna Formation,15,Pasture,603,0.01%
4,Savanna Formation,21,Mosaic of Uses,774,0.01%
4,Savanna Formation,24,Urban Area,6,0.00%
4,Savanna Formation,25,Other non Vegetated Areas,46,0.00%
4,Savanna Formation,29,Rocky Outcrop,5,0.00%
4,Savanna Formation,33,River Lake and Ocean,1,0.00%
4,Savanna Formation,39,Soybean,94,0.00%
4,Savanna Formation,41,Other Temporary Crops,69,0.00%
4,Savanna Formation,46,Coffee,6,0.00%
9,Forest Plantation,3,Forest Formation,50025,0.53%
9,Forest Plantation,4,Savanna Formation,163,0.00%
9,Forest Plantation,11,Wetland,893,0.01%
9,Forest Plantation,12,Grassland,2583,0.03%
9,Forest Plantation,15,Pasture,4554,0.05%
9,Forest Plantation,20,Sugar Cane,54,0.00%
9,Forest Plantation,21,Mosaic of Uses,22970,0.24%
9,Forest Plantation,24,Urban Area,154,0.00%
9,Forest Plantation,25,Other non Vegetated Areas,137,0.00%
9,Forest Plantation,29,Rocky Outcrop,11,0.00%
9,Forest Plantation,33,River Lake and Ocean,74,0.00%
9,Forest Plantation,39,Soybean,5400,0.06%
9,Forest Plantation,41,Other Temporary Crops,5971,0.06%
