Class,Label,Initial,Persistent,Changed,Persistence_Pct,Color
15,Pasture,489616208,218429652,271186556,44.6124226345056,#edde8e
4,Savanna Formation,250662815,137501074,113161741,54.85499474662805,#7dc975
3,Forest Formation,213912185,131999837,81912348,61.70748851917903,#1f8d49
21,Mosaic of Uses,190673382,13789998,176883384,7.232261711285952,#ffefc3
12,Grassland,30849634,18199947,12649687,58.995665880509314,#d6bc74
41,Other Temporary Crops,20005057,676530,19328527,3.3817949131562086,#f54ca9
0,No data,19604092,19596754,7338,99.96256903915774,#ffffff
33,River Lake and Ocean,17740462,12452026,5288436,70.189975886761,#259fe4
20,Sugar Cane,16400129,6987666,9412463,42.6073843687449,#db7093
11,Wetland,14876889,7366065,7510824,49.513476910394374,#519799
29,Rocky Outcrop,14316554,14003770,312784,97.81522844114582,#ffaa5f
25,Other non Vegetated Areas,10710750,601142,10109608,5.612510795229093,#db4d4f
9,Forest Plantation,6727795,4290537,2437258,63.7733016538108,#7a5900
24,Urban Area,5929557,5886441,43116,99.27286304862236,#d4271e
46,Coffee,3832129,1471441,2360688,38.39748087812284,#d68fe2
